證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2634,2015年第3季,,,              7243340,              7243340,,              6516134,                727206,                727206,,,                 39937,,                102580,,                 97891,                240408,                486798,,,                 31501,,                402214,,                 37101,,                 69819,                466433,                953231,,                159393,                793838,                793838,,,                 30735,                              0,                 30735,                 30735,                824573,,                              0.87,,                              0.87,,,,
2634,2015年第2季,,,              6920821,              6920821,,              6015989,                904832,                904832,,,                 34584,,                122057,,                102786,                259427,                645405,,,                 36902,,               -220857,,                 32322,,                101289,               -114988,                530417,,                 85799,                444618,                444618,,,                 -6297,                              0,                 -6297,                 -6297,                438321,,                              0.49,,                              0.49,,,,
2634,2015年01月01日至2015年09月30日,,,             20004078,             20004078,,             17605083,              2398995,              2398995,,,                105124,,                310123,,                274697,                689944,              1709051,,,                109950,,                 60662,,                 97945,,                212412,                285079,              1994130,,                332247,              1661883,              1661883,,,                 19736,                              0,                 19736,                 19736,              1681619,,                              1.83,,                              1.82,,,,
2634,2015年01月01日至2015年06月30日,,,             12760738,             12760738,,             11088949,              1671789,              1671789,,,                 65187,,                207543,,                176806,                449536,              1222253,,,                 78449,,               -341552,,                 60844,,                142593,               -181354,              1040899,,                172854,                868045,                868045,,,                -10999,                              0,                -10999,                -10999,                857046,,                              0.96,,                              0.95,,,,
2634,2015年01月01日至2015年03月31日,,,              5839917,              5839917,,              5072960,                766957,                766957,,,                 30603,,                 85486,,                 74020,                190109,                576848,,,                 41547,,               -120695,,                 28522,,                 41304,                -66366,                510482,,                 87055,                423427,                423427,,,                 -4702,                              0,                 -4702,                 -4702,                418725,,                              0.47,,                              0.46,,,,
2634,2014年第3季,,,              6012093,              6012093,,              5853412,                158681,                158681,,,                 68153,,                132241,,                164651,                365045,               -206364,,,                158261,,                 54313,,                 23666,,                 50905,                239813,                 33449,,               -307576,                341025,                341025,,,                  7600,                    110,                  7710,                  7710,                348735,,                              0.38,,                              0.38,,,,
2634,2014年第2季,,,              5394873,              5394873,,              4381602,              1013271,              1013271,,,                 37526,,                 86075,,                105176,                228777,                784494,,,                 48667,,               -430487,,                  8603,,                 69954,               -320469,                464025,,                 46786,                417239,                417239,,,                 -7298,                    382,                 -6916,                 -6916,                410323,,                              0.46,,                              0.46,,,,
2634,2014年度,,,             24924039,             24924039,,             22158906,              2765133,              2765133,,,                212742,,                438809,,                659149,              1310700,              1454433,,,                344763,,               -138149,,                 64256,,                241815,                384173,              1838606,,                -32897,              1871503,              1871503,,,,,,                 22900,              1894403,,                              2.06,,,                 25461,                   -256,                              0,                  2305
2634,2014年上半年度,,,             10961714,             10961714,,              9402649,              1559065,              1559065,,,                 75002,,                146455,,                201479,                422936,              1136129,,,                 74961,,               -344163,,                 14761,,                124144,               -159819,                976310,,                136753,                839557,                839557,,,,,,                     55,                839612,,                              0.92,,,                   -287,                    342,,                              0
2634,2014年01月01日至2014年09月30日,,,             16973807,             16973807,,             15256061,              1717746,              1717746,,,                143155,,                278696,,                366130,                787981,                929765,,,                233222,,               -289850,,                 38427,,                175049,                 79994,              1009759,,               -170823,              1180582,              1180582,,,                  7313,                    452,                  7765,                  7765,              1188347,,                              1.30,,                              1.30,,,,
2634,2014年01月01日至2014年06月30日,,,             10961714,             10961714,,              9402649,              1559065,              1559065,,,                 75002,,                146455,,                201479,                422936,              1136129,,,                 74961,,               -344163,,                 14761,,                124144,               -159819,                976310,,                136753,                839557,                839557,,,                   -287,                    342,                     55,                     55,                839612,,                              0.92,,                              0.92,,,,
2634,2014年01月01日至2014年03月31日,,,              5566841,              5566841,,              5021047,                545794,                545794,,,                 37476,,                 60380,,                 96303,                194159,                351635,,,                 26294,,                 86324,,                  6158,,                 54190,                160650,                512285,,                 89967,                422318,                422318,,,                  7011,                    -40,                  6971,                  6971,                429289,,                              0.46,,                              0.46,,,,
2634,2013年第3季,,,              5723970,              5723970,,              4933150,                790820,                790820,,,                 38293,,                 85928,,                 79326,                203547,                587273,,,                 24199,,               -101213,,                  7640,,                 17292,                -67362,                519911,,                 85742,                434169,                434169,,,,,,                 -2449,                431720,,                              0.48,,,                 -3817,                              0,,                 -1368
2634,2013年度,,,             23086459,             23086459,,             20819879,              2266580,              2266580,,,                191874,,                419488,,                390794,              1002156,              1264424,,,                328508,,               -292056,,                 38201,,                110143,                108394,              1372818,,                 96954,              1275864,              1275864,,,,,,                 70143,              1346007,,                              1.40,,,                  6516,                    369,                 76214,                 12956
2634,2013年上半年度,,,             11630689,             11630689,,             10381120,              1249569,              1249569,,,                 72550,,                152958,,                114439,                339947,                909622,,,                128711,,                -64391,,                 19201,,                 27148,                 72267,                981889,,                              0,                981889,                981889,,,,,,                  6681,                988570,,                              1.08,,,                  8049,                              0,,                  1368
