證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務收益,　　　　　 保險業務收益合計,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 出售不良債權淨利益（損失）,　　　　　 出售不良債權淨利益（損失）,　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 確定福利計畫之再衡量數,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]68,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 母公司業主[duplicate]67,　　 母公司業主[duplicate]65,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]60,　　 母公司業主[duplicate]59,　　 母公司業主[duplicate]58,　　　　 資產減損損失（迴轉利益）,　　 母公司業主[duplicate]47,　　 母公司業主[duplicate]46
2885,2015年第3季,,,              6251170,              2107708,              4143462,,,              3446529,,,              7432611,              7432611,,               -483865,,                 40812,,              1494923,,                  2851,,              2682337,,                -61970,,                 40882,,,                 91396,,                413426,,                -65690,                439132,             15034242,             19177704,,                108726,,              7459769,,              4552092,                508661,              2803976,              7864729,              3744480,               -408571,              3335909,              3335909,,,                -35619,                 65365,                              0,                 29746,,              1072580,                223700,                -13437,                 38122,              1320965,              1350711,              4686620,,              2838818,                497091,,              4348986,                337634,,                              0.26,,                              0.26,,,,,,,,,,,,,,,
2885,2015年第2季,,,              6277218,              2273247,              4003971,,,              4598553,,,              4312233,              4312233,,              2574008,,                 97535,,                618396,,                 24252,,               -508207,,                -20573,,                 73068,,,                107505,,                371655,,                292366,                771526,             12540791,             16544762,,                234448,,              4456639,,              4665826,                527660,              2586130,              7779616,              4074059,               -216990,              3857069,              3857069,,,                 29108,                 -6422,,                 22686,,               -597388,                265270,                -10180,                 10373,               -331925,               -309239,              3547830,,              3477173,                379896,,,                371907,,                              0.33,,                              0.33,              3175923,,,,,,,,,,,,,,
2885,2015年第1季,,,              5916785,              2168121,              3748664,,,              3647065,,,,              1725829,,              3051415,,                 51781,,                506776,,                  5486,,                375842,,                -60619,,                 -1353,,,                106840,,                376263,,                411207,                894310,             10196532,             13945196,,                 15867,,              1821569,,              4378117,                619926,              2420416,              7418459,              4689301,               -455933,              4233368,              4233368,,,                -57933,                 11099,,                -46834,,               -858060,              1367825,                 12721,                 -5024,                517462,                470628,              4703996,,              4108239,                125129,,,               -263339,,                              0.41,,                              0.40,,              4967335,,,,,,,,,,,,,
2885,2015年01月01日至2015年09月30日,,,             18445173,              6549076,             11896097,,,             11692147,,,             13470673,             13470673,,              5141558,,                190128,,              2620095,,                 32589,,              2549972,,               -143162,,                112597,,,                305741,,              1161344,,                637883,              2104968,             37771565,             49667662,,                359041,,             13737977,,             13596035,              1656247,              7810522,             23062804,             12507840,             -1081494,             11426346,             11426346,,,                -65008,                 70042,                    564,                  5598,,               -382868,              1865086,                -10828,                 35112,              1506502,              1512100,             12938446,,             10424230,              1002116,,             12492244,                446202,,                              0.99,,                              0.99,,,,,,,,,,,,,,,
2885,2015年01月01日至2015年06月30日,,,             12194003,              4441368,              7752635,,,              8245618,,,              6038062,              6038062,,              5625423,,                149316,,              1125172,,                 29738,,               -132365,,                -81192,,                 71715,,,                214345,,                747918,,                703573,              1665836,             22737323,             30489958,,                250315,,              6278208,,              9043943,              1147586,              5006546,             15198075,              8763360,               -672923,              8090437,              8090437,,,                -28825,                  4677,,                -24148,,             -1455448,              1633095,                  2541,                  5349,                185537,                161389,              8251826,,              7585412,                505025,,,                108568,,                              0.73,,                              0.73,              8143258,,,,,,,,,,,,,,
2885,2014年第3季,,,              5579960,              2060539,              3519421,,,              3701768,,,              3022471,              3022471,,              1108945,,                336385,,                640454,,                  3912,,                428184,,                -17672,,                 11116,,,                129667,,                414311,,                314639,                858617,             10094180,             13613601,,                115076,,              3170005,,              4235735,                661455,              2923841,              7821031,              2507489,               -423177,              2084312,              2084312,,,                 -2685,                              0,                    172,                 -2513,,               -372454,               -405987,                  6806,                   -141,               -771776,               -774289,              1310023,,              2175982,                -91670,,              1514483,               -204460,,                              0.21,,                              0.21,,,,,,,,,,,,,,,
2885,2014年第2季,,,              4579136,              1303004,              3276132,,,              2726668,,,              3180944,              3180944,,              2056439,,               -109659,,                407412,,                 27150,,               -500303,,                 27997,,                 -7239,,,                283256,,                355143,,              5827725,              6466124,             14275533,             17551665,,                  8635,,              3107666,,              3398453,                545757,              1961020,              5905230,              8530134,               -490703,              8039431,              8039431,,,                  5429,                              0,,                  5429,,               -392587,                234339,                  1277,                 -2229,               -159200,               -153771,              7885660,,              8114029,                -74598,,,                -83212,,                              0.78,,                              0.76,              7968872,,,,,,,,,,,,,,
2885,2014年第1季,,,              4220057,              1066831,              3153226,,,              2769823,,,,              1260862,,                589363,,                 20280,,              1433278,,                  7446,,              1021196,,               -165336,,                -20840,,,                500760,,                365056,,                184610,              1050426,              7966498,             11119724,,                446676,,              1518194,,              2873445,                495922,              1536794,              4906161,              4248693,               -458750,              3789943,              3789943,,,                              0,                              0,,                              0,,                366834,                 36644,                              0,                 -4155,                399323,                399323,              4189266,,              3607646,                182297,,,                163833,,                              0.36,,                              0.35,,              4025433,,,,,,,,,,,,,
2885,2014年度,,,             20008841,              6647768,             13361073,,,             12839831,,,,              9092537,,              4240248,,              1596178,,              2528770,,                 31440,,              2418976,,               -380822,,                -17384,,,              1020640,,              1504348,,              6847903,              9372891,             41722665,             55083738,,              1257054,,              9681361,,             14457596,              2339768,              9460137,             26257501,,             -1462878,             16424944,             16424944,,,,,,,,,,,,,,             17873917,,             16472023,                -47079,,,                152221,,                              1.62,,                              1.59,,,             17887822,                460774,              1203127,               -141427,                  4409,                -77910,              1448973,             17721696,,,,,
2885,2014年01月01日至2014年09月30日,,,             14379153,              4430374,              9948779,,,              9198259,,,              7464277,              7464277,,              3754747,,                247006,,              2481144,,                 38508,,                949077,,               -155011,,                -16963,,,                913683,,              1134510,,              6326974,              8375167,             32336211,             42284990,,                570387,,              7795865,,             10507633,              1703134,              6421655,             18632422,             15286316,             -1372630,             13913686,             13913686,,,                  3115,                              0,                   -199,                  2916,,               -398207,               -105132,                  8083,                -36397,               -531653,               -528737,             13384949,,             13897657,                 16029,,             13508788,               -123839,,                              1.34,,                              1.31,,,,,,,,,,,,,,,
