證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　　 利息收入,　　　　 利息收入合計
2903,2015年第3季,,             10261623,,              5152578,              5109045,              5109045,,,                182546,,              4688024,              4870570,                238475,,,                313522,                313522,,                -47042,,                121440,,                476139,                621179,                859654,,                168407,                691247,                691247,,,                              0,                              0,                              0,,                  2770,               -548556,,               -547361,             -1093147,             -1093147,               -401900,,                727758,                -36511,,               -358525,                -43375,,                              0.51,,                              0.51,,,,,,,,,,
2903,2015年第2季,,             10371295,,              5048080,              5323215,              5323215,,,                274894,,              4571402,              4846296,                476919,,,,                 21670,,                 57176,,                117617,,                 -8556,                -47327,                429592,,                209130,                220462,                220462,,,,,,,                -27144,               -251411,,                -35451,               -314006,               -314006,                -93544,,                135324,                 85138,,               -176362,                 82818,,                              0.09,,                              0.09,,,,,,,,,,
2903,2015年第1季,,             11012342,,              5361111,              5651231,              5651231,,,                294969,,              4607488,              4902457,                748774,,,,                 25971,,               -130429,,                114447,,                -42534,               -261439,                487335,,                286512,                200823,                200823,,,,,,,                -17616,                 87661,,                 25033,                 95078,                 95078,                295901,,                144948,                 55875,,                242140,                 53761,,                              0.10,,                              0.10,,,,,,,,,,
2903,2015年01月01日至2015年09月30日,,             31645260,,             15561769,             16083491,             16083491,,,                752409,,             13866914,             14619323,              1464168,,,                361163,                361163,,               -120295,,                353504,,                425049,                312413,              1776581,,                664049,              1112532,              1112532,,,                              0,                              0,                              0,,                -41990,               -712306,,               -557779,             -1312075,             -1312075,               -199543,,              1008030,                104502,,               -292747,                 93204,,                              0.70,,                              0.70,,,,,,,,,,
2903,2015年01月01日至2015年06月30日,,             21383637,,             10409191,             10974446,             10974446,,,                569863,,              9178890,              9748753,              1225693,,,,                 47641,,                -73253,,                232064,,                -51090,               -308766,                916927,,                495642,                421285,                421285,,,,,,,                -44760,               -163750,,                -10418,               -218928,               -218928,                202357,,                280272,                141013,,                 65778,                136579,,                              0.20,,                              0.20,,,,,,,,,,
2903,2014年第3季,,             10652589,,              5375520,              5277069,              5277069,,,                226820,,              4641645,              4868465,                408604,,,                264238,                264238,,                -57929,,                118283,,                 -6510,                 81516,                490120,,                106413,                383707,                383707,,,              2328026,                157056,              2170970,,                 14571,               -170330,,                -87850,               -243609,              1927361,              2311068,,                333528,                 50179,,              2261533,                 49535,,                              0.23,,                              0.23,,,,,,,,,,
2903,2014年第2季,,             10604931,,              5243206,              5361725,              5361725,,,                277014,,              4521792,              4798806,                562919,,,,                 45457,,                  2759,,                111017,,                 83134,                 20333,                583252,,                148339,                434913,                434913,,,,,,,                -27345,                261817,,                 41801,                276273,                276273,                711186,,                299222,                135691,,                582647,                128539,,                              0.21,,                              0.21,,,,,,,,,,
2903,2014年第1季,,             11080195,,              5428772,              5651423,              5651423,,,                349672,,              4507098,              4856770,                794653,,,,                 25653,,                 32358,,                112046,,                 27870,                -26165,                768488,,                268289,                500199,                500199,,,,,,,                 22503,               -213978,,                -19705,               -211180,               -211180,                289019,,                385529,                114670,,                169763,                119256,,                              0.27,,                              0.27,,,,,,,,,,
2903,2014年度,,             45928793,,             22719427,             23209366,             23209366,,,              1218973,,             18661878,             19880851,              3328515,,,                369884,                369884,,               -276669,,                465191,,                133261,               -238715,              3089800,,                925311,              2164489,              2164489,,,,,,,,,,,,              2191937,              4356426,,              1529065,                635424,,              3722459,                633967,,                              1.07,,                              1.07,                 48411,                -61995,              2328026,                -65763,,                 89552,                146294,                              1.07,,
2903,2014年01月01日至2014年09月30日,,             32337715,,             16047498,             16290217,             16290217,,,                853506,,             13670535,             14524041,              1766176,,,                335348,                335348,,                -22812,,                341346,,                104494,                 75684,              1841860,,                523041,              1318819,              1318819,,,              2328026,                157056,              2170970,,                  9729,               -122491,,                -65754,               -178516,              1992454,              3311273,,              1018279,                300540,,              3013943,                297330,,                              0.71,,                              0.71,,,,,,,,,,
