證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
3017,2015年第3季,,,,              6837581,              6837581,              6837581,,              5962050,                875531,                875531,,,                154390,,                123356,,                302378,                580124,                295407,,,                 52465,,                  3209,,                 26194,,                  3413,                 32893,                328300,,                104532,                223768,                223768,,,                494602,,                     24,                 56754,                437872,                437872,                661640,,                218727,                  5041,,                662418,                   -778,,                              0.62,,                              0.61,,,,,,
3017,2015年第2季,,,,,              6221854,              6221854,,              5549389,                672465,                672465,,,                117662,,                116594,,                301013,                535269,                137196,,,                 51599,,                 19666,,                 25612,,                  3918,                 49571,                186767,,                 54634,                132133,                132133,,,               -152592,,                   -448,                -17121,               -135919,               -135919,                 -3786,,                152367,                -20234,,                 17447,                -21233,,                              0.43,,                              0.43,,,,,,
3017,2015年01月01日至2015年09月30日,,,,             18946901,             18946901,             18946901,,             16673272,              2273629,              2273629,,,                396889,,                335327,,                902678,              1634894,                638735,,,                143807,,                 41404,,                 77767,,                 11351,                118795,                757530,,                232408,                525122,                525122,,,                240283,,                    236,                 28148,                212371,                212371,                737493,,                526261,                 -1139,,                746384,                 -8891,,                              1.49,,                              1.48,,,,,,
3017,2015年01月01日至2015年06月30日,,,,,             12109320,             12109320,,             10711222,              1398098,              1398098,,,                242499,,                211971,,                600300,              1054770,                343328,,,                 91342,,                 38195,,                 51573,,                  7938,                 85902,                429230,,                127876,                301354,                301354,,,               -254319,,                    212,                -28606,               -225501,               -225501,                 75853,,                307534,                 -6180,,                 83966,                 -8113,,                              0.87,,                              0.87,,,,,,
3017,2015年01月01日至2015年03月31日,,,,,,              5887466,,              5161833,                725633,                725633,,,                124837,,                 95377,,                299287,                519501,                206132,,,                 39743,,                 18529,,                 25961,,                  4020,                 36331,                242463,,                 73242,                169221,                169221,,,               -101727,,                    660,                -11485,                -89582,                -89582,                 79639,,                155167,                 14054,,                 66519,                 13120,,                              0.44,,                              0.44,,,,,,
3017,2014年第3季,,,,              6131373,              6131373,              6131373,,              5383290,                748083,                748083,,,                167691,,                114826,,                329295,                611812,                136271,,,                571545,,               -283697,,                 24862,,                 17623,                280609,                416880,,                 65480,                351400,                351400,,,                221445,,                    951,                 24456,                197940,                197940,                549340,,                360474,                 -9074,,                557144,                 -7804,,                              1.03,,                              1.01,,,,,,
3017,2014年第2季,,,,,              6240418,              6240418,,              5421255,                819163,                819163,,,                148467,,                115443,,                323255,                587165,                231998,,,                 30174,,                -31452,,                 25766,,                 10676,                -16368,                215630,,                 78147,                137483,                137483,,,               -157141,,                   -551,                -17181,               -140511,               -140511,                 -3028,,                150144,                -12661,,                 10261,                -13289,,                              0.42,,                              0.42,,,,,,
3017,2014年度,,,,,             24046713,             24046713,,             21116904,              2929809,              2929809,,,                628509,,                435390,,              1313872,              2377771,                552038,,,                760358,,               -281883,,                101091,,                 36516,                413900,                965938,,                222744,                743194,                743194,,,,,,,,                378401,              1121595,,                728997,                 14197,,              1102364,                 19231,,                              2.06,,                              2.04,                422433,                  7498,,                   -674,                -50856,
3017,2014年01月01日至2014年09月30日,,,,             17970209,             17970209,             17970209,,             15815559,              2154650,              2154650,,,                455373,,                329327,,                933610,              1718310,                436340,,,                640590,,               -297506,,                 76620,,                 22858,                289322,                725662,,                175024,                550638,                550638,,,                 84940,,                   -959,                 11527,                 72454,                 72454,                623092,,                574534,                -23896,,                646278,                -23186,,                              1.63,,                              1.61,,,,,,
3017,2014年01月01日至2014年06月30日,,,,,             11838836,             11838836,,             10432269,              1406567,              1406567,,,                287682,,                214501,,                604315,              1106498,                300069,,,                 69045,,                -13809,,                 51758,,                  5235,                  8713,                308782,,                109544,                199238,                199238,,,               -136505,,                 -1910,                -12929,               -125486,               -125486,                 73752,,                214060,                -14822,,                 89134,                -15382,,                              0.60,,                              0.60,,,,,,
