證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額
3035,2015年第3季,,,,              1590807,              1590807,              1590807,,                809898,                780909,                780909,,,                 61596,,                112335,,                422422,                596353,                184556,,,                  7979,,                 27362,,                              0,,                -11505,                 23836,                208392,,                 40531,                167861,                167861,,,                 24523,                 82744,,                  4136,                111403,                111403,                279264,,                168460,                   -599,,                279863,                   -599,,                              0.43,,                              0.43,,,,,,,,,
3035,2015年第2季,,,,,,              1751975,,                965601,                786374,                786374,,,                 73009,,                 99641,,                406682,                579332,                207042,,,                 11148,,                 -3620,,                              0,,                 -2942,                  4586,                211628,,                 33519,                178109,                178109,,,                 -2553,                 -2526,,                 -3123,                 -8202,                 -8202,                169907,,                178902,                   -793,,                170700,                   -793,,                              0.43,,                              0.43,,,,,,,,,
3035,2015年01月01日至2015年09月30日,,,,              4956427,              4956427,              4956427,,              2594566,              2361861,              2361861,,,                194049,,                323760,,              1220483,              1738292,                623569,,,                 28719,,                 24049,,                              0,,                -30058,                 22710,                646279,,                109916,                536363,                536363,,,                  8277,                 80417,,                  2278,                 90972,                 90972,                627335,,                537983,                 -1620,,                628955,                 -1620,,                              1.33,,                              1.31,,,,,,,,,
3035,2015年01月01日至2015年06月30日,,,,,,              3365620,,              1784668,              1580952,              1580952,,,                132453,,                211425,,                798061,              1141939,                439013,,,                 20740,,                 -3313,,                              0,,                -18553,                 -1126,                437887,,                 69385,                368502,                368502,,,                -16246,                 -2327,,                 -1858,                -20431,                -20431,                348071,,                369523,                 -1021,,                349092,                 -1021,,                              0.89,,                              0.88,,,,,,,,,
3035,2015年01月01日至2015年03月31日,,,,,,              1613645,,                819067,                794578,                794578,,,                 59444,,                111784,,                391379,                562607,                231971,,,                 15375,,                 -5476,,                              0,,                -15611,                 -5712,                226259,,                 35866,                190393,                190393,,,                -13693,                    199,,                  1265,                -12229,                -12229,                178164,,                190621,                   -228,,                178392,                   -228,,                              0.46,,                              0.46,,,,,,,,,
3035,2014年第3季,,,,              1373934,              1373934,              1373934,,                649486,                724448,                724448,,,                 61493,,                102423,,                389552,                553468,                170980,,,                 14505,,                 -6263,,                     83,,                -14239,                 -6080,                164900,,                 30828,                134072,                134072,,,                  5409,                 -2221,,                  1156,                  4344,                  4344,                138416,,                134954,                   -882,,                139298,                   -882,,                              0.33,,                              0.32,,,,,,,,,
3035,2014年第2季,,,,,,              1465641,,                702485,                763156,                763156,,,                 57170,,                104280,,                391659,                553109,                210047,,,                 14480,,                 -7328,,                     52,,                 19875,                 26975,                237022,,                 32780,                204242,                204242,,,                 -1094,                  1743,,                   -763,                   -114,                   -114,                204128,,                205507,                 -1265,,                205393,                 -1265,,                              0.50,,                              0.49,,,,,,,,,
3035,2014年度,,,,,              5741781,              5741781,,              2770140,              2971641,              2971641,,,                245669,,                402495,,              1585574,              2233738,                737903,,,                 60680,,                 19928,,                    211,,                -14508,                 65889,                803792,,                128629,                675163,                675163,,,,,,,,                 27968,                703131,,                678684,                 -3521,,                706652,                 -3521,,                              1.65,,                              1.63,                 23451,                  3480,                 -1564,,                  2336,                   -265,,,
3035,2014年01月01日至2014年09月30日,,,,              4279455,              4279455,              4279455,,              2041638,              2237817,              2237817,,,                174260,,                300623,,              1183400,              1658283,                579534,,,                 42198,,                -11867,,                    211,,                 -5956,                 24164,                603698,,                 98892,                504806,                504806,,,                  9083,                  3234,,                  1217,                 13534,                 13534,                518340,,                508829,                 -4023,,                522363,                 -4023,,                              1.24,,                              1.22,,,,,,,,,
3035,2014年01月01日至2014年06月30日,,,,,,              2905521,,              1392152,              1513369,              1513369,,,                112767,,                198200,,                793848,              1104815,                408554,,,                 27693,,                 -5604,,                    128,,                  8283,                 30244,                438798,,                 68064,                370734,                370734,,,                  3674,                  5455,,                     61,                  9190,                  9190,                379924,,                373875,                 -3141,,                383065,                 -3141,,                              0.91,,                              0.90,,,,,,,,,
