證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3045,2015年第3季,,             27565863,,             18192954,              9372909,              9372909,,,              3007778,,              1248310,              4256088,,                 26765,              5143586,,,                 63648,,                 22294,,                195944,,                 16898,                -93104,              5050482,,                773247,              4277235,,                              0,              4277235,,,,,,,,                  6587,               -627598,,                -17553,               -638564,               -638564,              3638671,,              4159184,                118051,,              3555361,                 83310,,                              1.53,                              0.00,                              1.53,,                              1.52,                              0.00,                              1.52,                              0,,,,,,
3045,2015年第2季,,             28326891,,             19056207,              9270684,              9270684,,,              3134489,,              1219035,              4353524,,                 30915,              4948075,,,                 57540,,                -18390,,                172238,,                 15695,               -117393,              4830682,,                762647,              4068035,,                              0,              4068035,,,,,,,,                 -8764,               -301565,,                  4599,               -305730,               -305730,              3762305,,              3947422,                120613,,              3655069,                107236,,                              1.45,                              0.00,                              1.45,,                              1.45,                              0.00,                              1.45,                              0,,,,,,
3045,2015年度,,            116144205,,             79785135,             36359070,             36359070,,,             12820487,,              5074014,             17894501,,                304580,             18769149,,,                448789,,               -388633,,                730917,,                 67562,               -603199,             18165950,,              1997921,             16168029,,                              0,             16168029,,,               -133738,,                 -1275,               -135013,,                -12254,               -907330,,                -36512,               -956096,             -1091109,             15076920,,             15686186,                481843,,             14681379,                395541,,                              5.76,                              0.00,                              5.76,,                              5.75,                              0.00,                              5.75,,,,,,,
3045,2015年01月01日至2015年09月30日,,             85610324,,             58228857,             27381467,             27381467,,,              9355931,,              3701085,             13057016,,                107929,             14432380,,,                160019,,                -60243,,                538708,,                 34062,               -404870,             14027510,,              1747206,             12280304,,                              0,             12280304,,,,,,,,                 -7530,             -1211163,,                -30879,             -1249572,             -1249572,             11030732,,             11919293,                361011,,             10734629,                296103,,                              4.38,                              0.00,                              4.38,,                              4.37,                              0.00,                              4.37,                              0,,,,,,
3045,2015年01月01日至2015年06月30日,,             58044461,,             40035903,             18008558,             18008558,,,              6348153,,              2452775,              8800928,,                 81164,              9288794,,,                 96371,,                -82537,,                342764,,                 17164,               -311766,              8977028,,                973959,              8003069,,                              0,              8003069,,,,,,,,                -14117,               -583565,,                -13326,               -611008,               -611008,              7392061,,              7760109,                242960,,              7179268,                212793,,                              2.85,                              0.00,                              2.85,,                              2.85,                              0.00,                              2.85,                              0,,,,,,
3045,2015年01月01日至2015年03月31日,,             29717570,,             20979696,              8737874,              8737874,,,              3213664,,              1233740,              4447404,,                 50249,              4340719,,,                 38831,,                -64147,,                170526,,                  1469,               -194373,              4146346,,                211312,              3935034,,                              0,              3935034,,,,,,,,                 -5353,               -282000,,                -17925,               -305278,               -305278,              3629756,,              3812687,                122347,,              3524199,                105557,,                              1.40,                              0.00,                              1.40,,                              1.40,                              0.00,                              1.40,                              0,,,,,,
3045,2014年第3季,,             27767615,,             18318923,              9448692,              9448692,,,              3140758,,              1254544,              4395302,,                 33277,              5086667,,,                 52288,,               -422074,,                174384,,                 -2425,               -546595,              4540072,,                623239,              3916833,,                              0,              3916833,,,,,,,,                  7316,                -85736,,                    466,                -77954,                -77954,              3838879,,              3737361,                179472,,              3670967,                167912,,                              1.39,                              0.00,                              1.39,,                              1.39,                              0.00,                              1.39,                              0,,,,,,
3045,2014年第2季,,             26936239,,             17332345,              9603894,              9603894,,,              3055196,,              1184287,              4239483,,                 29595,              5394006,,,                 49366,,               -104795,,                144584,,                    897,               -199116,              5194890,,                888527,              4306363,,                -38597,              4267766,,,,,,,,                 -7403,                -46165,,                 32946,                -20622,                -20622,              4247144,,              4137137,                130629,,              4100404,                146740,,                              1.54,                              0.00,                              1.54,,                              1.54,                              0.00,                              1.54,                              0,,,,,,
3045,2014年度,,            112623879,,             75097542,             37526337,             37526337,,,             12979678,,              4944960,             17924638,,                110111,             19711810,,,                541030,,               -780195,,                601834,,                 -4639,               -845638,             18866172,,              3233829,             15632343,,                -78329,             15554014,,,                -18726,,                              0,                -18726,,                 14226,               -763588,,                 47120,               -702242,               -720968,             14833046,,             15006337,                547677,,             14272725,                560321,,                              5.57,                             -0.01,                              5.56,,                              5.56,                             -0.01,                              5.55,,,,,,,
3045,2014年01月01日至2014年09月30日,,             82430328,,             53641647,             28788681,             28788681,,,              9630913,,              3655113,             13286026,,                 89323,             15591978,,,                136326,,               -435826,,                470699,,                 -7478,               -777677,             14814301,,              2375254,             12439047,,                -78329,             12360718,,,,,,,,                    188,               -284477,,                 33500,               -250789,               -250789,             12109929,,             11958948,                401770,,             11700389,                409540,,                              4.46,                             -0.01,                              4.45,,                              4.45,                             -0.01,                              4.44,                              0,,,,,,
