證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3052,2015年第3季,,                817746,,                747611,                 70135,                 70135,,,                 10124,,                 21428,,                    762,                 32314,                 37821,,,                  7452,,                 -2905,,                  8415,,                    405,                 -3463,                 34358,,                  1943,                 32415,                 32415,,,                  4498,                  4498,                  4498,                 36913,,                 32752,                   -337,,                 37250,                   -337,,                              0.16,                              0.16,,                              0.16,                              0.16,,
3052,2015年01月01日至2015年09月30日,,              1812086,,              1590386,                221700,                221700,,,                 35696,,                 80490,,                  2019,                118205,                103495,,,                 24369,,                 -3875,,                 24178,,                  1990,                 -1694,                101801,,                 11407,                 90394,                 90394,,,                  1655,                  1655,                  1655,                 92049,,                 94344,                 -3950,,                 95999,                 -3950,,                              0.46,                              0.46,,                              0.46,                              0.46,,
3052,2014年第3季,,                574050,,                587035,                -12985,                -12985,,,                 11070,,                  8975,,                    538,                 20583,                -33568,,,                  6795,,                 -3975,,                  6487,,                    874,                 -2793,                -36361,,                    365,                -36726,                -36726,,,                  3171,                  3171,                  3171,                -33555,,                -38207,                  1481,,                -35036,                  1481,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,,
3052,2014年第2季,,                774826,,                738578,                 36248,                 36248,,,                  9109,,                 25813,,                    616,                 35538,                    710,,,                  5518,,                    -67,,                  5858,,                  1422,                  1015,                  1725,,                 33137,                -31412,                -31412,,,,,                 -1909,                -33321,,                -29997,                 -1415,,                -31906,                 -1415,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,                 -1909,
3052,2014年01月01日至2014年09月30日,,              2405098,,              2145411,                259687,                259687,,,                 43624,,                 90372,,                  1814,                135810,                123877,,,                 16073,,                 -2781,,                 18231,,                  3283,                 -1656,                122221,,                 35229,                 86992,                 86992,,,                    765,                    765,                    765,                 87757,,                 87722,                   -730,,                 88487,                   -730,,                              0.43,                              0.43,,                              0.43,                              0.43,,
3052,2014年01月01日至2014年06月30日,,              1831048,,              1559245,                271803,                271803,,,                 32554,,                 81397,,                  1276,                115227,                156576,,,                  9278,,                  1194,,                 11744,,                  2409,                  1137,                157713,,                 33995,                123718,                123718,,,,,                 -2406,                121312,,                125929,                 -2211,,                123523,                 -2211,,                              0.70,                              0.70,,                              0.70,                              0.70,                 -2406,
3052,2014年01月01日至2014年03月31日,,              1056222,,                820667,                235555,                235555,,,                 23445,,                 55584,,                    660,                 79689,                155866,,,                  3760,,                  1261,,                  5886,,                    987,                    122,                155988,,                    858,                155130,                155130,,,,,                   -497,                154633,,                155926,                   -796,,                155429,                   -796,,                              0.87,                              0.87,,                              0.87,                              0.87,                   -497,
3052,2013年第2季,,                772014,,                744971,                 27043,                 27043,,,                  5450,,                 28288,,                    738,                 34476,                 -7433,,,                  9593,,                 -2154,,                 10581,,                    945,                 -2197,                 -9630,,                -16232,                  6602,                  6602,,,,,                  2131,                  8733,,                  6890,                   -288,,                  9021,                   -288,,                              0.04,                              0.04,,                              0.04,                              0.04,                  2131,
3052,2013年07月01日至2013年09月30日,,              1974737,,              1682551,                292186,                292186,,,                 69000,,                 26758,,                    728,                 96486,                195700,,,                  3240,,                 -2881,,                  4579,,                    724,                 -3496,                192204,,                   -398,                192602,                192602,,,,,                 -1264,                191338,,                187996,                  4606,,                186732,                  4606,,                              1.05,                              1.05,,                              1.05,                              1.05,                 -1264,
3052,2013年04月01日至2013年06月30日,,                772014,,                744971,                 27043,                 27043,,,                  5450,,                 28288,,                    738,                 34476,                 -7433,,,                  9593,,                 -2154,,                 10581,,                    945,                 -2197,                 -9630,,                -16232,                  6602,                  6602,,,,,                  2131,                  8733,,                  6890,                   -288,,                  9021,                   -288,,                              0.04,                              0.04,,                              0.04,                              0.04,                  2131,
3052,2013年01月01日至2013年12月31日,,              8176431,,              6428915,              1747516,              1747516,,,                313622,,                187422,,                  2973,                504017,              1243499,,,                 23784,,                 10874,,                 29782,,                  2982,                  7858,              1251357,,                 -9354,              1260711,              1260711,,,,,                  4522,              1265233,,              1252948,                  7763,,              1257470,                  7763,,                              7.00,                              7.00,,                              6.95,                              6.95,                  5626,                 -1104
3052,2013年01月01日至2013年09月30日,,              3357805,,              3002703,                355102,                355102,,,                 80062,,                 80555,,                  2244,                162861,                192241,,,                 19975,,                 -4296,,                 22232,,                  1669,                 -4884,                187357,,                -15344,                202701,                202701,,,,,                  3562,                206263,,                198017,                  4684,,                201579,                  4684,,                              1.11,                              1.11,,                              1.11,                              1.11,                  3562,
3052,2013年01月01日至2013年06月30日,,              1383068,,              1320152,                 62916,                 62916,,,                 11062,,                 53797,,                  1516,                 66375,                 -3459,,,                 16735,,                 -1415,,                 17653,,                    945,                 -1388,                 -4847,,                -14946,                 10099,                 10099,,,,,                  4826,                 14925,,                 10021,                     78,,                 14847,                     78,,                              0.06,                              0.06,,                              0.06,                              0.06,                  4826,
3052,2013年01月01日至2013年03月31日,,                611054,,                575181,                 35873,                 35873,,,                  5612,,                 25509,,                    778,                 31899,                  3974,,,                  7142,,                    739,,                  7072,,                              0,                    809,                  4783,,                  1286,                  3497,                  3497,,,,,                  2695,                  6192,,                  3131,                    366,,                  5826,                    366,,                              0.02,                              0.02,,                              0.02,                              0.02,                  2695,
3052,2012年07月01日至2012年09月30日,,                513290,,                485157,                 28133,                 28133,,,                  6188,,                 33719,,                  1051,                 40958,                -12825,,,                  4431,,                   -779,,                  6062,,                     -7,                 -2417,                -15242,,                 -4858,                -10384,                -10384,,,,,                 -1989,                -12373,,                -12175,                  1791,,                -14164,                  1791,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,                 -1989,
3052,2012年04月01日至2012年06月30日,,                824057,,                786471,                 37586,                 37586,,,                  5535,,                 38810,,                  1001,                 45346,                 -7760,,,                  2854,,                 -1172,,                  5532,,                  1469,                 -2381,                -10141,,                  5766,                -15907,                -15907,,,,,                  4830,                -11077,,                -14642,                 -1265,,                 -9812,                 -1265,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,                  4830,
3052,2012年01月01日至2012年12月31日,,              2858922,,              2716556,                142366,                142366,,,                 20830,,                141644,,                  3740,                166214,                -23848,,,                 17982,,                -20170,,                 24313,,                  3856,                -22645,                -46493,,                  6620,                -53113,                -53113,,,,,                 -5533,                -58646,,                -47742,                 -5371,,                -53275,                 -5371,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,                 -3122,                 -2411
3052,2012年01月01日至2012年09月30日,,              2371860,,              2241074,                130786,                130786,,,                 15728,,                106573,,                  2894,                125195,                  5591,,,                 11139,,                 -1932,,                 16513,,                  1462,                 -5844,                   -253,,                  6290,                 -6543,                 -6543,,,,,                    339,                 -6204,,                 -8274,                  1731,,                 -7935,                  1731,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                    339,
3052,2012年01月01日至2012年06月30日,,              1858570,,              1755917,                102653,                102653,,,                  9540,,                 72854,,                  1843,                 84237,                 18416,,,                  6708,,                 -1153,,                 10451,,                  1469,                 -3427,                 14989,,                 11148,                  3841,                  3841,,,,,                  2328,                  6169,,                  3901,                    -60,,                  6229,                    -60,,                              0.02,                              0.02,,                              0.02,                              0.02,                  2328,
3052,2012年01月01日至2012年03月31日,,              1034513,,                969446,                 65067,                 65067,,,                  4005,,                 34044,,                    842,                 38891,                 26176,,,                  3854,,                     19,,                  4919,,,                 -1046,                 25130,,                  5382,                 19748,                 19748,,,,,                 -2502,                 17246,,                 18543,                  1205,,                 16041,                  1205,,                              0.11,                              0.11,,                              0.11,                              0.11,                 -2502,
