證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
3055,2015年第3季,,                555595,,                432202,                123393,                123393,,,                 72163,,                 34162,,                 17138,                123463,                    -70,,,                  6886,,                  9322,,                    167,                 16041,                 15971,,                  3059,                 12912,                 12912,,,                 37818,                 37818,                 37818,                 50730,,                 12796,                    116,,                 50614,                    116,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,
3055,2015年第2季,,                925300,,                727127,                198173,                198173,,,                 74434,,                 47499,,                 18706,                140639,                 57534,,,                  7692,,                 -4012,,                    138,                  3542,                 61076,,                 25826,                 35250,                 35250,,,                 -9430,                 -9430,                 -9430,                 25820,,                 35042,                    208,,                 25612,                    208,,                              0.27,                              0.27,,                              0.26,                              0.26,                              0,,,,,,
3055,2015年01月01日至2015年09月30日,,              2132759,,              1652878,                479881,                479881,,,                203918,,                138287,,                 51699,                393904,                 85977,,,                 20279,,                   -303,,                    427,                 19549,                105526,,                 30008,                 75518,                 75518,,,                 20966,                 20966,                 20966,                 96484,,                 75187,                    331,,                 96153,                    331,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,
3055,2015年01月01日至2015年06月30日,,              1577164,,              1220676,                356488,                356488,,,                131755,,                104125,,                 34561,                270441,                 86047,,,                 13393,,                 -9625,,                    260,                  3508,                 89555,,                 26949,                 62606,                 62606,,,                -16852,                -16852,                -16852,                 45754,,                 62391,                    215,,                 45539,                    215,,                              0.47,                              0.47,,                              0.47,                              0.47,                              0,,,,,,
3055,2015年01月01日至2015年03月31日,,                651864,,                493549,                158315,                158315,,,                 57321,,                 56626,,                 15855,                129802,                 28513,,,                  5701,,                 -5613,,                    122,                    -34,                 28479,,                  1123,                 27356,                 27356,,,                  7422,                  7422,                  7422,                 34778,,                 27349,                      7,,                 34771,                      7,,                              0.21,                              0.21,,                              0.21,                              0.21,                              0,,,,,,
3055,2014年第3季,,              1013910,,                771019,                242891,                242891,,,                 15293,,                109101,,                 18139,                142533,                100358,,,                  7098,,                  9394,,                     12,                 16480,                116838,,                 13494,                103344,                103344,,,                 14502,                 14502,                 14502,                117846,,                103055,                    289,,                117557,                    289,,                              0.81,                              0.81,,                              0.80,                              0.80,,,,,,,
3055,2014年第2季,,              1083561,,                803580,                279981,                279981,,,                 28130,,                 93361,,                 17916,                139407,                140574,,,                  5164,,                -10682,,                      3,                 -5521,                135053,,                 10453,                124600,                124600,,,                -13144,                -13144,                -13144,                111456,,                124426,                    174,,                111282,                    174,,                              0.98,                              0.98,,                              0.97,                              0.97,                              0,,,,,,
3055,2014年度,,              3443605,,              2605373,                838232,                838232,,,                149311,,                320740,,                 69366,                539417,                298815,,,                 25813,,                  9279,,                     96,                 34996,                333811,,                 44121,                289690,                289690,,,,,                 33695,                323385,,                287260,                  2430,,                320955,                  2430,,                              2.25,                              2.25,,                              2.21,                              2.21,,                 34632,                              0,                 -5527,                 -4590,,
3055,2014年01月01日至2014年09月30日,,              2819339,,              2132984,                686355,                686355,,,                 90076,,                263267,,                 52574,                405917,                280438,,,                 16956,,                  6998,,                     18,                 23936,                304374,,                 32505,                271869,                271869,,,                 10214,                 10214,                 10214,                282083,,                269453,                  2416,,                279667,                  2416,,                              2.11,                              2.11,,                              2.08,                              2.08,,,,,,,
3055,2014年01月01日至2014年06月30日,,              1805429,,              1361965,                443464,                443464,,,                 74783,,                154166,,                 34435,                263384,                180080,,,                  9858,,                 -2396,,                      6,                  7456,                187536,,                 19011,                168525,                168525,,,                 -4288,                 -4288,                 -4288,                164237,,                166398,                  2127,,                162110,                  2127,,                              1.30,                              1.30,,                              1.29,                              1.29,                              0,,,,,,
