證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3090,2015年第3季,,              2087375,,              1798638,                288737,                288737,,,                126373,,                 72308,                198681,                 90056,,,                 32444,,                 35461,,                  7946,                 59959,                150015,,                 20808,                129207,                129207,,,                 26509,                  2915,                 29424,                 29424,                158631,,                127676,                  1531,,                157019,                  1612,,                              0.76,                              0.76,,                              0.76,                              0.76,,,,,,
3090,2015年第2季,,              1992005,,              1734741,                257264,                257264,,,                112542,,                 60198,                172740,                 84524,,,                  8119,,                -12371,,                  8786,                -13038,                 71486,,                 23005,                 48481,                 48481,,,                 -7831,                -59883,                -67714,                -67714,                -19233,,                 47459,                  1022,,                -19640,                    407,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,
3090,2015年01月01日至2015年09月30日,,              6175185,,              5310253,                864932,                864932,,,                354841,,                203142,                557983,                306949,,,                 46782,,                 23552,,                 25795,                 44539,                351488,,                 66792,                284696,                284696,,,                 12944,                -50619,                -37675,                -37675,                247021,,                278309,                  6387,,                241179,                  5842,,                              1.67,                              1.67,,                              1.65,                              1.65,,,,,,
3090,2015年01月01日至2015年06月30日,,              4087810,,              3511615,                576195,                576195,,,                228468,,                130834,                359302,                216893,,,                 14338,,                -11909,,                 17849,                -15420,                201473,,                 45984,                155489,                155489,,,                -13565,                -53534,                -67099,                -67099,                 88390,,                150633,                  4856,,                 84160,                  4230,,                              0.90,                              0.90,,                              0.89,                              0.89,,,,,,
3090,2015年01月01日至2015年03月31日,,              2095805,,              1776874,                318931,                318931,,,                115926,,                 70636,                186562,                132369,,,                  6219,,                    462,,                  9063,                 -2382,                129987,,                 22979,                107008,                107008,,,                 -5734,                  6349,                    615,                    615,                107623,,                103174,                  3834,,                103800,                  3823,,                              0.65,                              0.65,,                              0.64,                              0.64,,,,,,
3090,2014年第3季,,              2379534,,              2053671,                325863,                325863,,,                131755,,                184336,                316091,                  9772,,,                 34746,,                 20148,,                  9837,                 45057,                 54829,,                  4250,                 50579,                 50579,,,                 12071,                -61790,                -49719,                -49719,                    860,,                 56157,                 -5578,,                  5956,                 -5096,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,,,
3090,2014年第2季,,              2165511,,              1857219,                308292,                308292,,,                141365,,                 62316,                203681,                104611,,,                  6029,,                -12206,,                  9024,                -15201,                 89410,,                 15637,                 73773,                 73773,,,                -10151,                -21639,                -31790,                -31790,                 41983,,                 63947,                  9826,,                 33770,                  8213,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,
3090,2014年度,,              8543448,,              7313644,              1229804,              1229804,,,                507956,,                370896,                878852,                350952,,,                 55278,,                 61052,,                 37365,                 78965,                429917,,                 47220,                382697,                382697,,,,,,                -58930,                323767,,                360997,                 21700,,                300739,                 23028,,                              2.44,                              2.44,,                              2.42,                              2.42,,                              0,                 24305,                -82417,                   -856,                    -38
3090,2014年01月01日至2014年09月30日,,              6411143,,              5508041,                903102,                903102,,,                390024,,                313375,                703399,                199703,,,                 47777,,                 31165,,                 27633,                 51309,                251012,,                 36622,                214390,                214390,,,                  5245,                -62852,                -57607,                -57607,                156783,,                199688,                 14702,,                141183,                 15600,,                              1.31,                              1.31,,                              1.30,                              1.30,,,,,,
3090,2014年01月01日至2014年06月30日,,              4031609,,              3454370,                577239,                577239,,,                258269,,                129039,                387308,                189931,,,                 13031,,                 11017,,                 17796,                  6252,                196183,,                 32372,                163811,                163811,,,                 -6826,                 -1062,                 -7888,                 -7888,                155923,,                143531,                 20280,,                135227,                 20696,,                              0.95,                              0.95,,                              0.94,                              0.94,,,,,,
3090,2014年01月01日至2014年03月31日,,              1866098,,              1597151,                268947,                268947,,,                116904,,                 66723,                183627,                 85320,,,                  7002,,                 23223,,                  8772,                 21453,                106773,,                 16735,                 90038,                 90038,,,                  3325,                 20577,                 23902,                 23902,                113940,,                 79584,                 10454,,                101457,                 12483,,                              0.55,                              0.55,,                              0.55,                              0.55,,,,,,
3090,2013年第3季,,              1908294,,              1679312,                228982,                228982,,,                117411,,                 73123,                190534,                 38448,,,                 44705,,                 68334,,                 10350,                 99355,                137803,,                  8345,                129458,                129458,,,,,,                -87454,                 42004,,                124445,                  5013,,                 38648,                  3356,,                              0.87,                              0.87,,                              0.87,                              0.87,,                 -3334,                 -6178,                -81276,,
3090,2013年第2季,,              1625484,,              1409151,                216333,                216333,,,                103867,,                 53148,                157015,                 59318,,,                  6831,,                 31511,,                  9896,                 26353,                 85671,,                 11467,                 74204,                 74204,,,,,,                 10942,                 85146,,                 71497,                  2707,,                 82037,                  3109,,                              0.50,                              0.50,,                              0.50,                              0.50,,                 -2093,                  5824,                  5118,,
3090,2013年度,,              6377856,,              5541392,                836464,                836464,,,                397728,,                225111,                622839,                213625,,,                 63242,,                149387,,                 33611,                173389,                387014,,                 54479,                332535,                332535,,,,,,                  1101,                333636,,                320425,                 12110,,                319693,                 13943,,                              2.25,                              2.25,,                              2.23,                              2.23,,                 -5629,                 15545,                -13498,                 -1140,                   -194
3090,2013年07月01日至2013年09月30日,,              1908294,,              1679312,                228982,                228982,,,                117411,,                 73123,                190534,                 38448,,,                 44705,,                 68334,,                 10350,                 99355,                137803,,                  8345,                129458,                129458,,,,,,                -87454,                 42004,,                124445,                  5013,,                 38648,                  3356,,                              0.98,                              0.98,,                              0.97,                              0.97,,                 -3334,                 -6178,                -81276,,
3090,2013年04月01日至2013年06月30日,,              1625484,,              1409151,                216333,                216333,,,                103867,,                 53148,                157015,                 59318,,,                  6831,,                 31511,,                  9896,                 26353,                 85671,,                 11467,                 74204,                 74204,,,,,,                 10942,                 85146,,                 71497,                  2707,,                 82037,                  3109,,                              0.57,                              0.57,,                              0.56,                              0.56,,                 -2093,                  5824,                  5118,,
3090,2013年01月01日至2013年12月31日,,              6377856,,              5541392,                836464,                836464,,,                397728,,                225111,                622839,                213625,,,                 63242,,                149387,,                 33611,                173389,                387014,,                 54479,                332535,                332535,,,,,,                  1101,                333636,,                320425,                 12110,,                319693,                 13943,,                              2.52,                              2.52,,                              2.49,                              2.49,,                 -5629,                 15545,                -13498,                 -1140,                   -194
3090,2013年01月01日至2013年09月30日,,              4498895,,              3908180,                590715,                590715,,,                280833,,                156368,                437201,                153514,,,                 55340,,                116359,,                 23836,                141658,                295172,,                 30671,                264501,                264501,,,,,,                  5184,                269685,,                252987,                 11514,,                258032,                 11653,,                              1.78,                              1.78,,                              1.77,                              1.77,,                 -6205,                  8413,                 -3229,,
3090,2013年01月01日至2013年06月30日,,              2590601,,              2228868,                361733,                361733,,,                163422,,                 83245,                246667,                115066,,,                 10635,,                 48025,,                 13486,                 42303,                157369,,                 22326,                135043,                135043,,,,,,                 92638,                227681,,                128542,                  6501,,                219384,                  8297,,                              0.91,                              0.91,,                              0.90,                              0.90,,                 -2871,                 14591,                 78047,,
3090,2013年01月01日至2013年03月31日,,                965117,,                819717,                145400,                145400,,,                 59555,,                 30097,                 89652,                 55748,,,                  3804,,                 16514,,                  3590,                 15950,                 71698,,                 10859,                 60839,                 60839,,,,,,                 81696,                142535,,                 57045,                  3794,,                137347,                  5188,,                              0.45,                              0.45,,                              0.45,                              0.45,,                   -778,                  8767,                 72929,,
3090,2012年07月01日至2012年09月30日,,                613056,,                501925,                111131,                111131,,,                 42405,,                 19167,                 61572,                 49559,,,                 24002,,                  1335,,                    197,                 25140,                 74699,,                  8979,                 65720,                 65720,,,,,,                 -2323,                 63397,,                 65213,                    507,,                 62874,                    523,,                              0.52,                              0.52,,                              0.52,                              0.52,,                              0,                 -2219,                   -104,,
3090,2012年04月01日至2012年06月30日,,                619343,,                505617,                113726,                113726,,,                 40527,,                 19145,                 59672,                 54054,,,                  7146,,                  4028,,                     33,                 11141,                 65195,,                 10412,                 54783,                 54783,,,,,,                -12775,                 42008,,                 54247,                    536,,                 41738,                    270,,                              0.43,                              0.43,,                              0.43,                              0.43,,                              0,                    916,                -13691,,
3090,2012年01月01日至2012年12月31日,,              2313416,,              1902364,                411052,                411052,,,                156789,,                 70709,                227498,                183554,,,                 34582,,                  1349,,                    394,                 35537,                219091,,                 33642,                185449,                185449,,,,,,                179863,                365312,,                184109,                  1340,,                363027,                  2285,,                              1.46,                              1.46,,                              1.45,                              1.45,,                              0,                 -7683,                190728,                 -3834,                   -652
