證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
3164,2015年第3季,,                163289,,                 68095,                 95194,                 95194,,,                 41818,,                 34635,,                  6889,                 83342,                 11852,,,                  2627,,                  1353,,                              0,                  3980,                 15832,,                  4820,                 11012,                 11012,,,                    352,                  5981,                  6333,                  6333,                 17345,,                 11012,,                 17345,,                              0.12,                              0.12,,,,,,,,,,,,,
3164,2015年第2季,,                126300,,                 67094,                 59206,                 59206,,,                 41244,,                 31161,,                  6932,                 79337,                -20131,,,                    963,,                 -1546,,                              0,                   -583,                -20714,,                  4379,                -25093,                -25093,,,                   -126,                -13408,                -13534,                -13534,                -38627,,                -25093,,                -38627,,                             -0.28,                             -0.28,,,,,,,,,,,,,
3164,2015年01月01日至2015年09月30日,,                410499,,                199820,                210679,                210679,,,                125992,,                 95981,,                 20079,                242052,                -31373,,,                  3803,,                 -1814,,                              0,                  1989,                -29384,,                 11230,                -40614,                -40614,,,                    142,                 -6056,                 -5914,                 -5914,                -46528,,                -40614,,                -46528,,                             -0.46,                             -0.46,,,,,,,,,,,,,
3164,2015年01月01日至2015年06月30日,,                247210,,                131725,                115485,                115485,,,                 84174,,                 61346,,                 13190,                158710,                -43225,,,                  1176,,                 -3167,,                              0,                 -1991,                -45216,,                  6410,                -51626,                -51626,,,                   -210,                -12037,                -12247,                -12247,                -63873,,                -51626,,                -63873,,                             -0.58,                             -0.58,,,,,,,,,,,,,
3164,2015年01月01日至2015年03月31日,,                120910,,                 64631,                 56279,                 56279,,,                 42930,,                 30185,,                  6258,                 79373,                -23094,,,                    213,,                 -1621,,                              0,                 -1408,                -24502,,                  2031,                -26533,                -26533,,,                    -84,                  1371,                  1287,                  1287,                -25246,,                -26533,,                -25246,,                             -0.30,                             -0.30,,,,,,,,,,,,,
3164,2014年第3季,,                176273,,                113139,                 63134,                 63134,,,                 51441,,                 46880,,                  5992,                104313,                -41179,,,                    618,,                 -1397,,                  2906,                 -3685,                -44864,,                  4430,                -49294,                -49294,,,                    210,                 -4366,                 -4156,                 -4156,                -53450,,                -49294,,                -53450,,                             -0.81,                             -0.81,,,,,,,,,,,,,
3164,2014年第2季,,                163361,,                 84929,                 78432,                 78432,,,                 50212,,                 42323,,                  6110,                 98645,                -20213,,,                    735,,                 -1373,,                  3048,                 -3686,                -23899,,                     48,                -23947,                -23947,,,                   -163,                   -571,                   -734,                   -734,                -24681,,                -23947,,                -24681,,                             -0.39,                             -0.39,,,,,,,,,,,,,
3164,2014年度,,                564525,,                311175,                253350,                253350,,,                212834,,                155801,,                 29074,                397709,               -144359,,,                  4821,,               -231399,,                 10094,               -236672,               -381031,,                  5127,               -386158,               -386158,,,,,,                 19199,               -366959,,               -386158,,               -366959,,                             -5.82,                             -5.82,                    306,                  6072,                 15447,                  2626,,,,,,,,,
3164,2014年01月01日至2014年09月30日,,                458571,,                248225,                210346,                210346,,,                139161,,                116095,,                 20711,                275967,                -65621,,,                  2696,,                 -1397,,                  8385,                 -7086,                -72707,,                  8175,                -80882,                -80882,,,                     17,                   -275,                   -258,                   -258,                -81140,,                -80882,,                -81140,,                             -1.33,                             -1.33,,,,,,,,,,,,,
3164,2014年01月01日至2014年06月30日,,                282298,,                135086,                147212,                147212,,,                 87720,,                 69215,,                 14719,                171654,                -24442,,,                  2078,,                              0,,                  5479,                 -3401,                -27843,,                  3745,                -31588,                -31588,,,                   -193,                  4091,                  3898,                  3898,                -27690,,                -31588,,                -27690,,                             -0.52,                             -0.52,,,,,,,,,,,,,
