證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3515,2015年第3季,,              1873994,,              1465631,                408363,                408363,,,                112459,,                 51354,,                151212,                315025,                 93338,,,                 11964,,                -31739,,                  1271,,                 -4415,                -25461,                 67877,,                 18210,                 49667,                 49667,,,                248902,                              0,                248902,                248902,                298569,,                 62811,                -13144,,                311713,                -13144,,                              0.55,,                              0.54,,,,,,,,
3515,2015年第2季,,              1498775,,              1184876,                313899,                313899,,,                 96852,,                 48720,,                127247,                272819,                 41080,,,                 25607,,                 -2888,,                  1166,,                 -4409,                 17144,                 58224,,                 33857,                 24367,                 24367,,,                -54261,                              0,                -54261,                -54261,                -29894,,                 31718,                 -7351,,                -22543,                 -7351,,                              0.28,,                              0.28,,,,,,,,
3515,2015年01月01日至2015年09月30日,,              5206711,,              4112185,              1094526,              1094526,,,                304602,,                144658,,                407484,                856744,                237782,,,                 56328,,                -62257,,                  2437,,                -12918,                -21284,                216498,,                 64624,                151874,                151874,,,                151662,                              0,                151662,                151662,                303536,,                183326,                -31452,,                334988,                -31452,,                              1.59,,                              1.59,,,,,,,,
3515,2015年01月01日至2015年06月30日,,              3332938,,              2624085,                708853,                708853,,,                192143,,                115994,,                256272,                564409,                144444,,,                 44364,,                -30518,,                  1166,,                 -8503,                  4177,                148621,,                 46414,                102207,                102207,,,                -97240,                              0,                -97240,                -97240,                  4967,,                120515,                -18308,,                 23275,                -18308,,                              1.05,,                              1.05,,,,,,,,
3515,2015年01月01日至2015年03月31日,,              1834163,,              1439209,                394954,                394954,,,                 95291,,                 67274,,                129025,                291590,                103364,,,                 18757,,                -27630,,,,                 -4094,                -12967,                 90397,,                 12557,                 77840,                 77840,,,                -42979,                              0,                -42979,                -42979,                 34861,,                 88797,                -10957,,                 45818,                -10957,,                              0.77,,                              0.77,,,                              0,                              0,,,,
3515,2014年第3季,,              2329638,,              1930025,                399613,                399613,,,                109762,,                 55447,,                129631,                294840,                104773,,,                 23172,,                 29671,,                              0,,                 -4742,                 48101,                152874,,                  7377,                145497,                145497,,,                 65631,                              0,                 65631,                 65631,                211128,,                150025,                 -4528,,                215656,                 -4528,,                              1.31,,                              1.30,,,,,,,,
3515,2014年第2季,,              1994180,,              1609101,                385079,                385079,,,                106495,,                 58772,,                104327,                269594,                115485,,,                 26026,,               -157047,,                              0,,                 -2997,               -134018,                -18533,,                    783,                -19316,                -19316,,,                -71335,                 -2992,                -74327,                -74327,                -93643,,                -13187,                 -6129,,                -87514,                 -6129,,                             -0.12,,                             -0.12,,,,,,,,
3515,2014年度,,              8906989,,              7269744,              1637245,              1637245,,,                400144,,                195465,,                469285,              1064894,                572351,,,                 90866,,                -82066,,,,                -13786,                 -4986,                567365,,                 79159,                488206,                488206,,,,,,                228649,                716855,,                506102,                -17896,,                734751,                -17896,,                              4.40,,                              4.37,,,,,                223702,                  1643,                  3980,                    676
3515,2014年01月01日至2014年09月30日,,              6994132,,              5676792,              1317340,              1317340,,,                329479,,                158122,,                342474,                830075,                487265,,,                 72279,,               -128969,,                              0,,                 -7739,                -64429,                422836,,                 45107,                377729,                377729,,,                 73537,                  1643,                 75180,                 75180,                452909,,                390624,                -12895,,                465804,                -12895,,                              3.40,,                              3.38,,,,,,,,
3515,2014年01月01日至2014年06月30日,,              4664833,,              3723037,                941796,                941796,,,                219717,,                126744,,                212843,                559304,                382492,,,                 49107,,               -158640,,                              0,,                 -2997,               -112530,                269962,,                 37730,                232232,                232232,,,                  7906,                  1643,                  9549,                  9549,                241781,,                240599,                 -8367,,                250148,                 -8367,,                              2.09,,                              2.09,,,,,,,,
