證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 銷貨成本,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
3576,2015年第3季,,              5585822,,,              5310344,              5310344,                275478,                              0,                  3885,                279363,,,                281493,,                188200,,                 82046,                551739,,                 -7530,               -279906,,,,                  2713,                              0,                              0,                  3141,                  5854,,                              0,                 69740,                  9979,                 -1408,,                 98826,                 98826,                -37657,,                 62344,,                  1474,                 -1474,                -95621,               -375527,,                 -4912,               -370615,               -370615,,,,                              0,                              0,                              0,,                245049,                 54323,                299372,                299372,                -71243,,               -360877,                 -9738,,                -89812,                 18569,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,,,,,,,,,,,
3576,2015年第2季,,              4987462,,,              5180992,              5180992,               -193530,,                 27849,               -165681,,,                336673,,                135140,,                 97333,                569146,,                -16224,               -751051,,,,                  9898,,                  1082,                  4287,                 15267,,                              0,                 17401,                 -1172,                  4605,,,,                 13968,,                 60916,,                  2282,                 -2282,                -33963,               -785014,,                 -1156,               -783858,               -783858,,,,,,,,                -71007,                -20853,                -91860,                -91860,               -875718,,               -767042,                -16816,,               -853641,                -22077,,                             -0.90,                             -0.90,,                             -0.90,                             -0.90,,              4987462,              5180992,,,,,,,,
3576,2015年01月01日至2015年09月30日,,             15203619,,,             15231603,             15231603,                -27984,                              0,                 42335,                 14351,,,                725748,,                453562,,                264964,              1444274,,                -23754,             -1453677,,,,                 16183,                              0,                  1082,                 11813,                 29078,,                   -955,                 27850,                  9553,                -38290,,                 98826,                 98826,                -43194,,                185471,,                  4281,                 -4281,               -203868,             -1657545,,                -10847,             -1646698,             -1646698,,,,                              0,                              0,                              0,,                124560,                 23846,                148406,                148406,             -1498292,,             -1594824,                -51874,,             -1466183,                -32109,,                             -1.87,                             -1.87,,                             -1.87,                             -1.87,,,,,,,,,,,
3576,2015年01月01日至2015年06月30日,,              9617797,,,              9921259,              9921259,               -303462,,                 38450,               -265012,,,                444255,,                265362,,                182918,                892535,,                -16224,             -1173771,,,,                 13470,,                  1082,                  8672,                 23224,,                   -955,                -41890,                   -426,                -36882,,,,                 -5537,,                123127,,                  2807,                 -2807,               -108247,             -1282018,,                 -5935,             -1276083,             -1276083,,,,,,,,               -120489,                -30477,               -150966,               -150966,             -1427049,,             -1233947,                -42136,,             -1376371,                -50678,,                             -1.45,                             -1.45,,                             -1.45,                             -1.45,,              9617797,              9921259,,,,,,,,
3576,2015年01月01日至2015年03月31日,,              4630335,,,              4740267,              4740267,               -109932,,                 10601,                -99331,,,                107582,,                130222,,                 85585,                323389,,                              0,               -422720,,,,                  3572,,,                  4385,                  7957,,                   -955,                -59291,                    746,                -41487,,,,                -19505,,                 62211,,                    525,                   -525,                -74284,               -497004,,                 -4779,               -492225,               -492225,,,,,,,,                -49482,                 -9624,                -59106,                -59106,               -551331,,               -466905,                -25320,,               -522730,                -28601,,                             -0.55,                             -0.55,,                             -0.55,                             -0.55,,              4630335,,,                              0,,                              0,,,,
3576,2014年第3季,,              5886514,,,              5832101,              5832101,                 54413,                              0,                172243,                226656,,,                127630,,                149776,,                111657,                389063,,                 44015,               -118392,,,,                  3806,                              0,                              0,                 43977,                 47783,,                 -2401,                 16671,                  8935,                  1338,,                              0,                              0,                  3997,,                 69364,,                 27030,                -27030,                -44614,               -163006,,                -10164,               -152842,               -152842,,,,                              0,                              0,                              0,,                115067,                -14970,                100097,                100097,                -52745,,               -182667,                 29825,,                -91076,                 38331,,                             -0.23,                             -0.23,,                             -0.23,                             -0.23,,,,,,,,,,,
3576,2014年第2季,,              7386905,,,              6717868,              6717868,                669037,,                              0,                669037,,,                119996,,                150895,,                117399,                388290,,                 32699,                313446,,,,                  5695,,                              0,                 97710,                103405,,                 28582,                -16849,                  3083,                 -5938,,,,                 14588,,                 52718,,                      6,                     -6,                 65269,                378715,,                 -6391,                385106,                385106,,,,,,,,                -72747,                 -7410,                -80157,                -80157,                304949,,                386701,                 -1595,,                306544,                 -1595,,                              0.49,                              0.49,,                              0.48,                              0.48,,              7386905,              6717868,,,,,,,,
3576,2014年度,,             27580249,,,             26000535,             26000535,              1579714,               -207582,,              1787296,,,                519499,,                605993,,                451574,              1577066,,                 37294,                247524,,,,                 21052,                              0,,                154143,                175195,,                -14072,                151656,                 22022,                 28360,,,,                 87202,,                245238,,                 42694,                -42694,                -25535,                221989,,                -22400,                244389,                244389,,,,,,,,,,,                121446,                365835,,                218562,                 25827,,                332094,                 33741,,                              0.28,                              0.28,,                              0.27,                              0.27,,             27580249,,,,,,                161903,                -40457,,
3576,2014年01月01日至2014年09月30日,,             20550718,,,             19036281,             19036281,              1514437,                              0,                172243,              1686680,,,                400449,,                456312,,                342689,              1199450,,                 76714,                563944,,,,                 12457,                              0,                              0,                145251,                157708,,                 26181,                 70414,                 13650,                  2017,,                              0,                              0,                 80928,,                176284,,                 27036,                -27036,                 35316,                599260,,                -17394,                616654,                616654,,,,                              0,                              0,                              0,,                 37073,                -27710,                  9363,                  9363,                626017,,                611279,                  5375,,                612136,                 13881,,                              0.78,                              0.78,,                              0.76,                              0.76,,,,,,,,,,,
3576,2014年01月01日至2014年06月30日,,             14664204,,,             13204180,             13204180,              1460024,,                              0,              1460024,,,                272819,,                306536,,                231032,                810387,,                 32699,                682336,,,,                  8651,,                              0,                101274,                109925,,                 28582,                 53743,                  4715,                    679,,,,                 76931,,                106920,,                      6,                     -6,                 79930,                762266,,                 -7230,                769496,                769496,,,,,,,,                -77994,                -12740,                -90734,                -90734,                678762,,                793946,                -24450,,                703212,                -24450,,                              1.02,                              1.02,,                              0.99,                              0.99,,             14664204,             13204180,,,,,,,,
3576,2014年01月01日至2014年03月31日,,              7277299,,,              6486312,              6486312,                790987,,                              0,                790987,,,                152823,,                155641,,                113633,                422097,,                              0,                368890,,,,                  2956,,,                  3564,                  6520,,                              0,                 70592,                  1632,                  6617,,,,                 62343,,                 54202,,                              0,                              0,                 14661,                383551,,                   -839,                384390,                384390,,,,,,,,                 -5247,                 -5330,                -10577,                -10577,                373813,,                407245,                -22855,,                396668,                -22855,,                              0.52,                              0.52,,                              0.51,                              0.51,,              7277299,,,                              0,,                              0,,,,
3576,2013年第3季,,              6384118,,,              5468605,              5468605,                915513,                 12432,                              0,                903081,,,                102619,,                163167,,                134917,                400703,,                              0,                502378,,,,                  2664,                  7200,,                  8879,                 18743,,                              0,                 -4543,                    842,                 -7489,,,,                  2104,,                 66612,,                    268,                   -268,                -46033,                456345,,                 -8326,                464671,                464671,,,,,,,,,,,                -67730,                396941,,                464898,                   -227,,                397168,                   -227,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,,,                -33960,                -33770,,
3576,2013年第2季,,              4075712,,,              3618669,              3618669,                457043,,,                457043,,,                120016,,                 97628,,                 77504,                295148,,                -88950,                 72945,,,,                  6118,,,                 11456,                 17574,,                266584,                 21142,                    389,                  1142,,,,                286195,,                 39708,,                    505,                   -505,                263556,                336501,,                  1372,                335129,                335129,,,,,,,,,,,               -141687,                193442,,                330615,                  4514,,                188928,                  4514,,                              0.64,                              0.64,,                              0.64,                              0.64,,              4075712,              3618669,,,,,                  3504,               -145191,,
3576,2013年度,,             20084253,,,             18374388,             18374388,              1709865,                              0,,              1709865,,,                342464,,                506014,,                407519,              1255997,,               -139511,                314357,,,,                 19229,                  7200,,                 41912,                 68341,,                266584,                 37869,                  5330,                 -8354,,,,                307477,,                189174,,                  1582,                 -1582,                185062,                499419,,                -16026,                515445,                515445,,,,,,,,,,,                  5724,                521169,,                502480,                 12965,,                508204,                 12965,,                              0.86,                              0.86,,                              0.85,                              0.85,,             20084253,,,,,,                 42451,                -36727,,
3576,2013年07月01日至2013年09月30日,,              6386387,,,              5470874,              5470874,                915513,                 12432,,                903081,,,                102619,,                163167,,                134917,                400703,,                              0,                502378,,,,                  2664,                  7200,,                  8879,                 18743,,,                 -4543,                    842,                 -7489,,,,                  2104,,                 66612,,                    268,                   -268,                -46033,                456345,,                 -8326,                464671,                464671,,,,,,,,,,,                -67730,                396941,,                464898,                   -227,,                397168,                   -227,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,,,                -33960,                -33770,,                              0
3576,2013年04月01日至2013年06月30日,,              4076461,,,,              3619418,                457043,,,                457043,,,                120016,,                 97628,,                 77504,                295148,,                -88950,                 72945,,,,                  6118,,,                 11456,                 17574,,,                 21142,                    389,                  1142,,,,                 19611,,                 39708,,                    505,                   -505,                263556,                336501,,                  1372,                335129,                335129,,,,,,,,,,,               -141687,                193442,,                330615,                  4514,,                188928,                  4514,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,,,                  3504,               -145191,,                266584
3576,2013年01月01日至2013年12月31日,,             20084253,,,             18374388,             18374388,              1709865,,,              1709865,,,                342464,,                506014,,                407519,              1255997,,               -139511,                314357,,,,                 19229,                  7200,,                 41912,                 68341,,                266584,                 37869,                  5330,                 -8354,,,,                307477,,                189174,,                  1582,                 -1582,                185062,                499419,,                -16026,                515445,                515445,,,,,,,,,,,                  5724,                521169,,                502480,                 12965,,                508204,                 12965,,                              0.86,                              0.86,,                              0.85,                              0.85,,,,,,,,                 42451,                -36727,,
3576,2013年01月01日至2013年09月30日,,             13050853,,,             11972977,             11972977,              1077876,                 12432,                              0,              1065444,,,                322585,,                354354,,                262950,                939889,,               -139480,                -13925,,,,                 12890,                  7200,,                 23136,                 43226,,                266584,                 28687,                   -562,                 -5562,,,,                301395,,                136163,,                  1244,                 -1244,                207214,                193289,,                 -6954,                200243,                200243,,,,,,,,,,,               -104766,                 95477,,                202748,                 -2505,,                 97982,                 -2505,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,                -26249,                -78517,,
3576,2013年01月01日至2013年06月30日,,              6666735,,,              6504372,              6504372,                162363,,,                162363,,,                219966,,                191187,,                128033,                539186,,               -139480,               -516303,,,,                 10226,,,                 14257,                 24483,,                266584,                 33230,                 -1404,                  1927,,,,                299291,,                 69551,,                    976,                   -976,                253247,               -263056,,                  1372,               -264428,               -264428,,,,,,,,,,,                -37036,               -301464,,               -262150,                 -2278,,               -299186,                 -2278,,                             -0.54,                             -0.54,,                             -0.54,                             -0.54,,              6666735,              6504372,,,,,                  7711,                -44747,,
3576,2013年01月01日至2013年03月31日,,              2591023,,,              2885703,              2885703,               -294680,,,               -294680,,,                 99950,,                 93559,,                 50529,                244038,,                -50530,               -589248,,,,                  4108,,,                  2801,                  6909,,,                 12088,                 -1793,                    785,,,,                 13096,,                 29843,,                    471,                   -471,                -10309,               -599557,,                              0,               -599557,               -599557,,,,,,,,,,,                104651,               -494906,,               -592765,                 -6792,,               -488114,                 -6792,,                             -1.29,                             -1.29,,                             -1.29,                             -1.29,,,,,                              0,,,                  4207,                100444,,
3576,2012年07月01日至2012年09月30日,,              2961952,,,              3285495,              3285495,               -323543,                              0,,               -323543,,,                 51944,,                 80357,,                 42210,                174511,,                -56521,               -554575,,,,                  3182,                  1775,,                  2225,                  7182,,,                  3703,                  2007,                    671,,,,                  1025,,                 19667,,                              0,                              0,                -11460,               -566035,,                              0,               -566035,               -566035,,,,,,,,,,,                   -281,               -566316,,               -569822,                  3787,,               -570103,                  3787,,                             -1.33,                             -1.33,,                             -1.33,                             -1.33,,,,,,,,                   -281,                              0,,                              0
3576,2012年04月01日至2012年06月30日,,              3949429,,,,              4149355,               -199926,,,               -199926,,,                 71860,,                 72779,,                 40683,                185322,,                              0,               -385248,,,,                  5670,,,                 12315,                 17985,,,                    594,                  6203,                 -2694,,,,                 -2915,,                 17875,,                              0,                              0,                 -2805,               -388053,,                -40574,               -347479,               -347479,,,,,,,,,,,                              0,               -347479,,               -346656,                   -823,,               -346656,                   -823,,                             -0.81,                             -0.81,,                             -0.81,                             -0.81,,,,,,,,                              0,                              0,,                              0
