證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3702,2015年第3季,,            140469149,,            134786761,              5682388,              5682388,,,              2158679,,              1182014,              3340693,              2341695,,,                 45290,,                -82078,,                360401,,                 14480,               -382709,              1958986,,                341089,              1617897,              1617897,,,              3455350,                -50388,,                  8666,                 37968,              3375660,              3375660,              4993557,,              1617130,                    767,,              4949086,                 44471,,                              0.98,                              0.98,,                              0.90,                              0.90,,,,,,
3702,2015年第2季,,            124452633,,            119077895,              5374738,              5374738,,,              2157416,,              1139591,              3297007,              2077731,,,                 25723,,                 78929,,                332680,,                  4448,               -223580,              1854151,,                689771,              1164380,              1164380,,,               -884852,                -60411,,                    188,                -10609,               -934466,               -934466,                229914,,              1160984,                  3396,,                210185,                 19729,,                              0.70,                              0.70,,                              0.65,                              0.65,,,,,,
3702,2015年第1季,,            108014005,,            103199774,              4814231,              4814231,,,              1782181,,              1031762,              2813943,              2000288,,,                 66844,,                 18861,,                337715,,                  6457,               -245553,              1754735,,                355690,              1399045,              1399045,,,               -619069,                    225,,                 -5706,                 -7362,               -617188,               -617188,                781857,,              1397221,                  1824,,                780578,                  1279,,                              0.84,                              0.84,,                              0.78,                              0.78,,,,,,
3702,2015年01月01日至2015年09月30日,,            372935787,,            357064430,             15871357,             15871357,,,              6098276,,              3353367,              9451643,              6419714,,,                137857,,                 15712,,              1030796,,                 25385,               -851842,              5567872,,              1386550,              4181322,              4181322,,,              1951429,               -110574,,                  3148,                 19997,              1824006,              1824006,              6005328,,              4175335,                  5987,,              5939849,                 65479,,                              2.52,                              2.52,,                              2.34,                              2.34,,,,,,
3702,2015年01月01日至2015年06月30日,,            232466638,,            222277669,             10188969,             10188969,,,              3939597,,              2171353,              6110950,              4078019,,,                 92567,,                 97790,,                670395,,                 10905,               -469133,              3608886,,              1045461,              2563425,              2563425,,,             -1503921,                -60186,,                 -5518,                -17971,             -1551654,             -1551654,              1011771,,              2558205,                  5220,,                990763,                 21008,,                              1.55,                              1.55,,                              1.44,                              1.44,,,,,,
3702,2014年第3季,,            119348828,,            114036280,              5312548,              5312548,,,              2022591,,              1191548,              3214139,              2098409,,,                 73652,,                -10038,,                304904,,                   -188,               -241478,              1856931,,                298455,              1558476,              1558476,,,                898687,                 -4661,,                  1468,                  8598,                886896,                886896,              2445372,,              1555139,                  3337,,              2440996,                  4376,,                              0.94,                              0.94,,                              0.89,                              0.89,,,,,,
3702,2014年第2季,,            113705833,,            108399767,              5306066,              5306066,,,              2101652,,              1048923,              3150575,              2155491,,,                 42659,,                -28632,,                295188,,                  5871,               -275290,              1880201,,                367707,              1512494,              1512494,,,               -985693,                  4990,,                 -4746,                 -8833,               -976616,               -976616,                535878,,              1510952,                  1542,,                535417,                    461,,                              0.91,                              0.91,,                              0.91,                              0.91,,,,,,
3702,2014年第1季,,            102341579,,             97534464,              4807115,              4807115,,,              1928176,,                969731,              2897907,              1909208,,,                 33239,,                 69342,,                281226,,                  2092,               -176553,              1732655,,                336696,              1395959,              1395959,,,              1040501,                -63486,,                  2177,                  9327,                969865,                969865,              2365824,,              1396463,                   -504,,              2365018,                    806,,                              0.84,                              0.84,,                              0.84,                              0.84,,,,,,
3702,2014年度,,            452471998,,            431988193,             20483805,             20483805,,,              8540822,,              4003124,             12543946,              7939859,,,                220250,,                128476,,              1214231,,                 30401,               -835104,              7104755,,              1292242,              5812513,              5812513,,,,,,,,,              2947614,              8760127,,              5807176,                  5337,,              8753315,                  6812,,                              3.51,                              3.51,,                              3.39,                              3.39,              2964449,                -14365,                 29054,,                  2618,                 34142
3702,2014年01月01日至2014年09月30日,,            335396240,,            319970511,             15425729,             15425729,,,              6052419,,              3210202,              9262621,              6163108,,,                149550,,                 30672,,                881318,,                  7775,               -693321,              5469787,,              1002858,              4466929,              4466929,,,                953495,                -63157,,                 -1101,                  9092,                880145,                880145,              5347074,,              4462554,                  4375,,              5341431,                  5643,,                              2.70,                              2.70,,                              2.64,                              2.64,,,,,,
