證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
4141,2015年第3季,,,              2773056,,,                 28836,                 28836,              2801892,,,              1588647,,                 19160,                 19160,              1607807,              1194085,              1194085,,,                544580,,                290171,,                 96777,                931528,,                              0,                262557,,,                 40872,                 40872,,               -514480,,                 78598,               -552206,               -289649,,                 10906,               -300555,               -300555,,,                396481,                396481,,               -231555,               -231555,                164926,               -135629,,               -300555,                              0,                              0,,               -135629,                              0,                              0,,                             -1.98,                             -1.98,,                             -1.98,                             -1.98,
4141,2015年第2季,,,              2561447,,,                 24485,                 24485,              2585932,,,              1686774,,                 15808,                 15808,              1702582,                883350,                883350,,,                491369,,                266731,,                101430,                859530,,                              0,                 23820,,,                 53413,                 53413,,                116397,,                 74792,                 95018,                118838,,                -15392,                134230,                134230,,,                -64602,                -64602,,                 24227,                 24227,                -40375,                 93855,,                134230,                              0,                              0,,                 93855,                              0,                              0,,                              0.88,                              0.88,,                              0.88,                              0.88,
4141,2015年01月01日至2015年09月30日,,,              7532960,,,                 58206,                 58206,              7591166,,,              4593078,,                 38330,                 38330,              4631408,              2959758,              2959758,,,              1408722,,                832941,,                287858,              2529521,,                              0,                430237,,,                138302,                138302,,               -875475,,                230370,               -967543,               -537306,,                 48670,               -585976,               -585976,,,                223677,                223677,,               -384790,               -384790,               -161113,               -747089,,               -585976,                              0,                              0,,               -747089,                              0,                              0,,                             -3.89,                             -3.89,,                             -3.89,                             -3.89,
4141,2015年01月01日至2015年06月30日,,,              4759904,,,                 29370,                 29370,              4789274,,,              3004431,,                 19170,                 19170,              3023601,              1765673,              1765673,,,                864142,,                542770,,                191081,              1597993,,                              0,                167680,,,                 97430,                 97430,,               -360995,,                151772,               -415337,               -247657,,                 37764,               -285421,               -285421,,,               -172804,               -172804,,               -153235,               -153235,               -326039,               -611460,,               -285421,                              0,                              0,,               -611460,                              0,                              0,,                             -1.90,                             -1.90,,                             -1.90,                             -1.90,
4141,2015年01月01日至2015年03月31日,,,              2198457,,,                  4885,                  4885,              2203342,,,              1317657,,                  3362,                  3362,              1321019,                882323,                882323,,,                372773,,                276039,,                 89651,                738463,,                              0,                143860,,,                 44017,                 44017,,               -477392,,                 76980,               -510355,               -366495,,                 53156,               -419651,               -419651,,,               -108202,               -108202,,               -177462,               -177462,               -285664,               -705315,,               -419651,                              0,                              0,,               -705315,                              0,                              0,,                             -2.84,                             -2.84,,                             -2.84,                             -2.84,
4141,2014年第3季,,,              2416531,,,                 54209,                 54209,              2470740,,,              1517776,,                 39544,                 39544,              1557320,                913420,                913420,,,                434194,,                171498,,                 77079,                682771,,                              0,                230649,,,                 22016,                 22016,,               -260727,,                 60311,               -299022,                -68373,,                -77034,                  8661,                  8661,,,                118371,                118371,,                -77764,                -77764,                 40607,                 49268,,                  8661,                              0,                              0,,                 49268,                              0,                              0,,                              0.06,                              0.06,,                              0.06,                              0.06,
4141,2014年第2季,,,              2794374,,,                 26644,                 26644,              2821018,,,              1754848,,                 19925,                 19925,              1774773,              1046245,              1046245,,,                401205,,                292735,,                 98140,                792080,,                              0,                254165,,,                 16961,                 16961,,                 26211,,                 72557,                -29385,                224780,,                 55230,                169550,                169550,,,               -110446,               -110446,,                 15971,                 15971,                -94475,                 75075,,                169550,                              0,                              0,,                 75075,                              0,                              0,,                              1.21,                              1.21,,                              1.18,                              1.18,
4141,2014年度,,,             10543527,,,                116339,                116339,             10659866,,,              6370652,,                 86132,                 86132,              6456784,              4203082,              4203082,,,              1581635,,              1046401,,                385960,              3013996,,                              0,              1189086,,,                 94141,                 94141,,               -403918,,                278197,               -587974,                601112,,                176212,                424900,                424900,,,,,,,,                153768,                578668,,                424900,                              0,                              0,,                578668,                              0,                              0,,                              3.03,                              3.03,,                              2.99,                              2.99,                153768
4141,2014年01月01日至2014年09月30日,,,              7165306,,,                 95597,                 95597,              7260903,,,              4450265,,                 70585,                 70585,              4520850,              2740053,              2740053,,,              1150592,,                764478,,                247142,              2162212,,                              0,                577841,,,                 53385,                 53385,,               -133435,,                185522,               -265572,                312269,,                 58750,                253519,                253519,,,                 90453,                 90453,,               -132934,               -132934,                -42481,                211038,,                253519,                              0,                              0,,                211038,                              0,                              0,,                              1.81,                              1.81,,                              1.80,                              1.80,
4141,2014年01月01日至2014年06月30日,,,              4748775,,,                 41388,                 41388,              4790163,,,              2932489,,                 31041,                 31041,              2963530,              1826633,              1826633,,,                716398,,                592980,,                170063,              1479441,,                              0,                347192,,,                 31369,                 31369,,                127292,,                125211,                 33450,                380642,,                135784,                244858,                244858,,,                -27918,                -27918,,                -55170,                -55170,                -83088,                161770,,                244858,                              0,                              0,,                161770,                              0,                              0,,                              1.75,                              1.75,,                              1.72,                              1.72,
4141,2014年01月01日至2014年03月31日,,,              1954401,,,                 14744,                 14744,              1969145,,,              1177641,,                 11116,                 11116,              1188757,                780388,                780388,,,                315193,,                300245,,                 71923,                687361,,                              0,                 93027,,,                 14408,                 14408,,                101081,,                 52654,                 62835,                155862,,                 80554,                 75308,                 75308,,,                 82528,                 82528,,                -71141,                -71141,                 11387,                 86695,,                 75308,                              0,                              0,,                 86695,                              0,                              0,,                              0.54,                              0.54,,                              0.54,                              0.54,
4141,2013年第3季,,,              2129231,,,                 50448,                 50448,              2179679,,,              1300810,,                 41848,                 41848,              1342658,                837021,                837021,,,                347943,,                244945,,                 75868,                668756,,                              0,                168265,,,                 21146,                 21146,,                 79888,,                 62006,                 39028,                207293,,                 19527,                187766,                187766,,,,,,,,                -89106,                 98660,,                187766,                              0,                              0,,                 98660,                              0,                              0,,                              1.43,                              1.43,,                              1.38,                              1.38,                -89106
4141,2013年第2季,,,              1941973,,,                  9574,                  9574,              1951547,,,              1204398,,                  4957,                  4957,              1209355,                742192,                742192,,,                372972,,                205974,,                 79760,                658706,,                              0,                 83486,,,                 23167,                 23167,,                -81781,,                 57932,               -116546,                -33060,,                  2828,                -35888,                -35888,,,,,,,,                 11558,                -24330,,                -35888,                              0,                              0,,                -24330,                              0,                              0,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,                 11558
4141,2013年度,,,              8576454,,,                 81092,                 81092,              8657546,,,              5297841,,                 63317,                 63317,              5361158,              3296388,              3296388,,,              1487532,,                836759,,                292254,              2616545,,                              0,                679843,,,                 68014,                 68014,,               -112076,,                213625,               -257687,                422156,,                 78080,                344076,                344076,,,,,,,,                114911,                458987,,                344076,                              0,                              0,,                458987,                              0,                              0,,                              2.70,                              2.70,,                              2.67,                              2.67,                114911
