證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
4414,2014年第3季,,,,                646655,                646655,                              0,                  2365,                644290,                644290,,                564899,                 79391,                 79391,,,                 14872,,                 63187,                 78059,                  1332,,,,                     56,                     57,,,                    188,                    301,,                     39,                    173,                 12554,                    -24,                    100,,                              0,                              0,                 12642,,                 10186,                  2757,                  4089,,                  6681,                 -2592,                 -2592,,                 10675,,                  1814,                  8861,                  6269,,                   -780,                 -1812,,                  8081,                 -1812,,                             -0.01,,                             -0.01,,,
4414,2014年第2季,,,,                617052,                617052,                              0,                  3896,                613156,                613156,,                516353,                 96803,                 96803,,,                 31048,,                 48786,                 79834,                 16969,,,,                    332,                     57,,,                     34,                    423,,                              0,,                              0,                     24,                     28,,                              0,                 10991,                -10995,,                  9130,                -19702,                 -2733,,                  7928,                -10661,                -10661,,                -10787,,                 -1833,                 -8954,                -19615,,                -10661,,,                -19615,,,                             -0.09,,                             -0.09,,,
4414,2014年度,,,,              2603831,              2603831,                              0,                 19619,              2584212,              2584212,,              2217866,                366346,                366346,,,                 82776,,                226844,                309620,                 56726,,,,                    920,                    229,                              0,                  1970,                    699,                  3818,,                    220,                    173,                 40214,                              0,                   -471,                              0,                              0,                              0,                 41078,,                 39003,                  5893,                 62619,,                 36229,                 26390,                 26390,,                 39723,                   -816,                  6614,                 32293,                 58683,,                 29392,                 -3002,,                 61685,                 -3002,,                              0.27,,                              0.27,,,
4414,2014年01月01日至2014年09月30日,,,,              1911164,              1911164,                              0,                 17442,              1893722,              1893722,,              1591157,                302565,                302565,,,                 64484,,                160035,                224519,                 78046,,,,                    525,                    171,,,                    470,                  1166,,                    220,                    173,                 12525,                              0,                  1107,,                              0,                              0,                 11811,,                 28549,                -15572,                 62474,,                 26309,                 36165,                 36165,,                 12047,,                  2048,                  9999,                 46164,,                 37977,                 -1812,,                 47976,                 -1812,,                              0.38,,                              0.38,,,
4414,2014年01月01日至2014年06月30日,,,,              1264509,              1264509,                              0,                 15077,              1249432,              1249432,,              1026258,                223174,                223174,,,                 49612,,                 96848,                146460,                 76714,,,,                    469,                    114,,,                    282,                    865,,                    181,,                              0,                     24,                  1007,,                              0,                     29,                   -831,,                 18363,                -18329,                 58385,,                 19628,                 38757,                 38757,,                  1372,,                    234,                  1138,                 39895,,                 38757,,,                 39895,,,                              0.31,,                              0.31,,,
4414,2014年01月01日至2014年03月31日,,,,                647457,                647457,,                 11181,                636276,                636276,,                509905,                126371,                126371,,,                 18564,,                 48062,                 66626,                 59745,,,,                    137,                     57,,,                    248,                    442,,                    181,,                 10962,                   -979,,,                              0,,                 10164,,                  9233,                  1373,                 61118,,                 11700,                 49418,                 49418,,                 12159,,                  2067,                 10092,                 59510,,                 49418,,,                 59510,,,                              0.63,,                              0.62,,,
4414,2013年第3季,,,,                709799,                709799,                     38,                  1293,                708468,                708468,,                594106,                114362,                114362,,,                 23920,,                 50174,                 74094,                 40268,,,,                    476,                     57,,,                    165,                    698,,                   -387,                              0,                              0,                     91,                    153,,                              0,                  3195,                 -3644,,                 12066,                -15012,                 25256,,                   -324,                 25580,                 25580,,                 -8461,,                 -1439,                 -7022,                 18558,,                 25580,                              0,,                 18558,                              0,,                              0.39,,                              0.39,,,
4414,2013年第2季,,,,                790212,                790212,                     20,                  1760,                788432,                788432,,                677824,                110608,                110608,,,                 24326,,                 51090,                 75416,                 35192,,,,                    464,                     57,,,                  3032,                  3553,,                              0,,                  3510,                    140,                  4375,,                              0,                              0,                   -725,,                 12834,                -10006,                 25186,,                    209,                 24977,                 24977,,                  2947,,                    501,                  2446,                 27423,,                 24977,,,                 27423,,,                              0.41,,                              0.33,,,
4414,2013年度,,,,              2950707,              2950707,                     61,                  7986,              2942660,              2942660,,              2514852,                427808,                427808,,,                 92512,,                211260,                303772,                124036,,,,                  1943,                    229,                              0,                              0,                  7043,                  9215,,                              0,                              0,                 10015,                  1407,                  4860,                    540,                    935,                              0,                  5087,,                 48093,                -33791,                 90245,,                    400,                 89845,                 89845,,                 13502,                    834,                  2437,                 11899,                101744,,                 89845,                              0,,                101744,                              0,,                              1.24,,                              1.06,,,
4414,2013年07月01日至2013年09月30日,,,,                709799,                709799,                     38,                  1293,                708468,                708468,,                594106,                114362,                114362,,,                 23920,,                 50174,                 74094,                 40268,,,,                    476,                     57,                              0,,                    165,                    698,,                              0,,                              0,                     91,                    153,                    387,                              0,                  3195,                 -3644,,                 12066,                -15012,                 25256,,                   -324,                 25580,                 25580,,                 -8461,,                 -1439,                 -7022,                 18558,,                 25580,,,                 18558,,,                              0.41,,                              0.34,,,
