證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額
4927,2015年第3季,,              2689624,,              2078479,                611145,                611145,,                235684,                375461,,,                    894,,                -55620,,                 26016,,                              0,                -80742,                294719,,                 45410,                 45410,                249309,                249309,,,                -45860,                              0,                -45860,                -45860,                203449,,                248128,                  1181,,                202474,                    975,,                              2.02,,                              1.83,,,,,,,,,,,,
4927,2015年第2季,,              2085074,,              1728480,                356594,                356594,,                198815,                157779,,,                  2744,,                -44986,,                 22218,,                              0,                -64460,                 93319,,                 15300,                 15300,                 78019,                 78019,,,               -219050,                              0,               -219050,               -219050,               -141031,,                 77613,                    406,,               -140451,                   -580,,                              0.63,,                              0.59,,,,,,,,,,,,
4927,2015年01月01日至2015年09月30日,,              6507702,,              5278550,              1229152,              1229152,,                618929,                610223,,,                  4668,,                -78437,,                 70787,,                              0,               -144556,                465667,,                 73447,                 73447,                392220,                392220,,,               -262259,                              0,               -262259,               -262259,                129961,,                390295,                  1925,,                129216,                    745,,                              3.18,,                              2.89,,,,,,,,,,,,
4927,2015年01月01日至2015年06月30日,,              3818078,,              3200071,                618007,                618007,,                383245,                234762,,,                  3774,,                -22817,,                 44771,,                              0,                -63814,                170948,,                 28037,                 28037,                142911,                142911,,,               -216399,                              0,               -216399,               -216399,                -73488,,                142167,                    744,,                -73258,                   -230,,                              1.16,,                              1.07,,,,,,,,,,,,
4927,2015年01月01日至2015年03月31日,,              1733004,,              1471591,                261413,                261413,,                184430,                 76983,,,                  1030,,                 22169,,                 22553,,                              0,                    646,                 77629,,                 12737,                 12737,                 64892,                 64892,,,                  2651,                              0,                  2651,                  2651,                 67543,,                 64554,                    338,,                 67193,                    350,,                              0.53,,                              0.48,,,,,,,,,,,,
4927,2014年第3季,,              2031282,,              1635968,                395314,                395314,,                211598,                183716,,,                     67,,                 17237,,                 24986,,                              0,                 -7682,                176034,,                 10466,                 10466,                165568,                165568,,,                 66100,                              0,                 66100,                 66100,                231668,,                164710,                    858,,                230454,                  1214,,                              1.56,,                              1.31,,,,,,,,,,,,
4927,2014年第2季,,              1834971,,              1517695,                317276,                317276,,                191822,                125454,,,                  1731,,                  3187,,                 26593,,                              0,                -21675,                103779,,                 10948,                 10948,                 92831,                 92831,,,                -63134,                              0,                -63134,                -63134,                 29697,,                 92269,                    562,,                 29480,                    217,,                              0.95,,                              0.86,,,,,,,,,,,,
4927,2014年度,,              7366819,,              6044806,              1322013,              1322013,,                782431,                539582,,,                  6701,,                 19376,,                102520,,                              0,                -76443,                463139,,,                 33495,                429644,                429644,,,,,,                211543,                641187,,                427281,                  2363,,                637780,                  3407,,                              4.06,,                              3.39,                 33495,                211543,,,,,,,,,,
4927,2014年01月01日至2014年09月30日,,              5510597,,              4486168,              1024429,              1024429,,                584956,                439473,,,                  3005,,                 33764,,                 79202,,                              0,                -42433,                397040,,                 31833,                 31833,                365207,                365207,,,                 98987,                              0,                 98987,                 98987,                464194,,                363161,                  2046,,                461609,                  2585,,                              3.65,,                              2.93,,,,,,,,,,,,
4927,2014年01月01日至2014年06月30日,,              3479315,,              2850200,                629115,                629115,,                373358,                255757,,,                  2938,,                 16527,,                 54216,,                              0,                -34751,                221006,,                 21367,                 21367,                199639,                199639,,,                 32887,                              0,                 32887,                 32887,                232526,,                198451,                  1188,,                231155,                  1371,,                              2.04,,                              1.83,,,,,,,,,,,,
