證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 外幣兌換利益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5434,2015年第3季,,,,              4254089,              4254089,,,                282289,                282289,,                157779,              4694157,,,              3745231,,                253622,                 47255,              4046108,                648049,                648049,,,                182468,,                161425,                343893,                304156,,,                  3219,,                 27029,,                  1448,                -28477,,                  4461,,                 48378,                 18659,                322815,,                 60877,                261938,                261938,,,                 49077,                 -9477,,                    206,                  8106,                 31700,                 31700,                293638,,                261694,                    244,,                293394,                    244,,                              1.61,,                              1.60,,,,,,,,,,,
5434,2015年第2季,,,,,              4137418,,,,                254108,,                135972,              4527498,,,              3693414,,                226703,                 37520,              3957637,                569861,                569861,,,                186559,,                158183,                344742,                225119,,,                 27518,,                 -4435,,                  1650,                  2785,,                  3803,,                 53571,                 80071,                305190,,                 68752,                236438,                236438,,,                 -5458,                 -3530,,                    -52,                   -992,                 -8048,                 -8048,                228390,,                235858,                    580,,                227810,                    580,,                              1.49,,                              1.48,                              0,,,,,,,,,,
5434,2015年01月01日至2015年09月30日,,,,             12856650,             12856650,,,                866639,                866639,,                425245,             14148534,,,             11433171,,                776101,                122360,             12331632,              1816902,              1816902,,,                537456,,                478064,              1015520,                801382,,,                 34442,,                 18373,,                 25706,                -44079,,                 11803,,                126348,                104908,                906290,,                190033,                716257,                716257,,,                  8129,                 -7112,,                    129,                  1512,                   -366,                   -366,                715891,,                715116,                  1141,,                714750,                  1141,,                              4.40,,                              4.36,,,,,,,,,,,
5434,2015年01月01日至2015年06月30日,,,,,              8602561,,,,                584350,,                267466,              9454377,,,              7687940,,                522479,                 75105,              8285524,              1168853,              1168853,,,                354988,,                316639,                671627,                497226,,,                 31223,,                 -8656,,                 24258,                -15602,,                  7342,,                 77970,                 86249,                583475,,                129156,                454319,                454319,,,                -40948,                  2365,,                    -77,                 -6594,                -32066,                -32066,                422253,,                453422,                    897,,                421356,                    897,,                              2.87,,                              2.85,                              0,,,,,,,,,,
5434,2015年01月01日至2015年03月31日,,,,,              4465143,,,,                330242,,                131494,              4926879,,,              3994526,,                295776,                 37585,              4327887,                598992,                598992,,,                168429,,                158456,                326885,                272107,,,                  3705,,                   -538,,                 22608,                -18387,,                  3539,,                 24399,                  6178,                278285,,                 60404,                217881,                217881,,,                -35490,                  5895,,                    -25,                 -5602,                -24018,                -24018,                193863,,                217564,                    317,,                193546,                    317,,                              1.38,,                              1.37,                              0,                  3683,,                              0,,,,,,,
5434,2014年第3季,,,,              4347115,              4347115,,,                297867,                297867,,                134131,              4779113,,,              3901206,,                278486,                 34445,              4214137,                564976,                564976,,,                165450,,                159079,                324529,                240447,,,                 14419,,                -12233,,                  4616,                  7617,,                  2462,,                 28075,                 47649,                288096,,                 42773,                245323,                245323,,,                  5048,                 -5377,,                    199,                  1069,                 -1199,                 -1199,                244124,,                244489,                    834,,                243290,                    834,,                              1.50,,                              1.50,,,,,,,,,,,
5434,2014年第2季,,,,,              4340283,,,,                248599,,                138833,              4727715,,,              3917497,,                219922,                 38857,              4176276,                551439,                551439,,,                163246,,                147701,                310947,                240492,,,                 16875,,                 -6525,,                  1654,                  4871,,                  2082,,                 12410,                 32074,                272566,,                 53618,                218948,                218948,,,                -12129,                  5879,,                    -62,                 -1958,                 -4354,                 -4354,                214594,,                218808,                    140,,                214454,                    140,,                              1.39,,                              1.38,                              0,,,,,,,,,,
5434,2014年度,,,,,             16536367,,,,                995124,,                560790,             18092281,,,             14844916,,                923814,                156370,             15925100,              2167181,              2167181,,,                678714,,                571911,              1250625,                916556,,,                 45640,,,,,                  4834,,                  9991,,                 94299,                134782,              1051338,,                189425,                861913,                861913,,,,,,,,,                  6450,                868363,,                859697,                  2216,,                866147,                  2216,,                              5.44,,                              5.40,,,,,                              0,                 20445,                  4564,                -18171,,                    249,                    637
5434,2014年01月01日至2014年09月30日,,,,             12420102,             12420102,,,                677409,                677409,,                402355,             13499866,,,             11164868,,                606306,                116992,             11888166,              1611700,              1611700,,,                492164,,                440918,                933082,                678618,,,                 39219,,                 -7700,,                  6819,                    881,,                  6992,,                 65157,                 98265,                776883,,                133897,                642986,                642986,,,                 -1929,                  8608,,                    212,                    -97,                  6988,                  6988,                649974,,                641363,                  1623,,                648351,                  1623,,                              3.94,,                              3.92,,,,,,,,,,,
5434,2014年01月01日至2014年06月30日,,,,,              8072987,,,,                379542,,                268224,              8720753,,,              7263662,,                327820,                 82547,              7674029,              1046724,              1046724,,,                326714,,                281839,                608553,                438171,,,                 24800,,                  4533,,                  2203,                 -6736,,                  4530,,                 37082,                 50616,                488787,,                 91124,                397663,                397663,,,                 -6977,                 13985,,                     13,                 -1166,                  8187,                  8187,                405850,,                396874,                    789,,                405061,                    789,,                              2.51,,                              2.50,                              0,,,,,,,,,,
