證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 其他綜合損益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益
5519,2015年第3季,,                574260,,                441862,                132398,                132398,,,                 17130,,                 38362,                 55492,                 76906,,,                  1266,,                   -845,,                    545,,                    498,                    374,                 77280,,                 -2824,                 80104,                 80104,,,                  4198,                    714,                  3484,                  3484,                 83588,,                 80104,,                 83588,,                              0.44,,                              0.39,,,,,,,,,,
5519,2015年第2季,,                656111,,                509797,                146314,                146314,,,                 13305,,                 36358,                 49663,                 96651,,,                  1706,,                    -79,,                    426,,                  1725,                  2926,                 99577,,                  5696,                 93881,                 93881,,,                 -2164,                   -368,                 -1796,                 -1796,                 92085,,                 93881,,                 92085,,                              0.54,,                              0.54,,,,,,,,,,
5519,2015年01月01日至2015年09月30日,,              1834410,,              1443961,                390449,                390449,,,                 63651,,                101952,                165603,                224846,,,                  4114,,                   -716,,                  1414,,                  1540,                  3524,                228370,,                  3154,                225216,                225216,,,                  2034,                    346,                  1688,                  1688,                226904,,                225216,,                226904,,                              1.23,,                              1.10,,,,,,,,,,
5519,2015年01月01日至2015年06月30日,,              1260150,,              1002099,                258051,                258051,,,                 46521,,                 63590,                110111,                147940,,,                  2848,,                    129,,                    869,,                  1042,                  3150,                151090,,                  5978,                145112,                145112,,,                 -2164,                   -368,                 -1796,                 -1796,                143316,,                145112,,                143316,,                              0.84,,                              0.84,,,,,,,,,,
5519,2015年01月01日至2015年03月31日,,                604039,,                492302,                111737,                111737,,,                 33216,,                 27232,                 60448,                 51289,,,                  1142,,                    208,,                    443,,                   -683,                    224,                 51513,,                    282,                 51231,                 51231,,,,,,,                 51231,,                 51231,,                 51231,,                              0.30,,                              0.30,,,,,,,,,,
5519,2014年第3季,,              1102554,,                883399,                219155,                219155,,,                 24141,,                 36840,                 60981,                158174,,,                    698,,                   -148,,                    751,,                 -4127,                 -4328,                153846,,                  1088,                152758,                152758,,,                              0,                              0,                              0,                              0,                152758,,                152758,,                152758,,                              0.83,,                              0.75,,,,,,,,,,
5519,2014年第2季,,                871737,,                651587,                220150,                220150,,,                 23644,,                 28941,                 52585,                167565,,,                  1643,,                    538,,                    369,,                 -1101,                    711,                168276,,                 17401,                150875,                150875,,,                              0,                              0,                              0,                              0,                150875,,                150875,,                150875,,                              0.87,,                              0.87,,,,,,,,,,
5519,2014年度,,              4067260,,              3211786,                855474,                855474,,,                160865,,                129678,                290543,                564931,,,                  5301,,                   -801,,                  1982,,                 -7881,                 -5363,                559568,,                 16218,                543350,                543350,,,,,,                  8288,                551638,,                543350,,                551638,,                              3.15,,                              3.13,                 16218,                  9986,                  1698,,,,,,,
5519,2014年01月01日至2014年09月30日,,              2673620,,              2080175,                593445,                593445,,,                105048,,                 90141,                195189,                398256,,,                  4301,,                    487,,                  1417,,                 -6146,                 -2775,                395481,,                 18327,                377154,                377154,,,                              0,                              0,                              0,                              0,                377154,,                377154,,                377154,,                              2.06,,                              1.84,,,,,,,,,,
5519,2014年01月01日至2014年06月30日,,              1571066,,              1196776,                374290,                374290,,,                 80907,,                 53301,                134208,                240082,,,                  3603,,                    635,,                    666,,                 -2019,                  1553,                241635,,                 17239,                224396,                224396,,,                              0,                              0,                              0,                              0,                224396,,                224396,,                224396,,                              1.30,,                              1.30,,,,,,,,,,
5519,2014年01月01日至2014年03月31日,,                699329,,                545189,                154140,                154140,,,                 57263,,                 24360,                 81623,                 72517,,,                  1960,,                     97,,                    297,,                   -918,                    842,                 73359,,                   -162,                 73521,                 73521,,,,,,,                 73521,,                 73521,,                 73521,,                              0.43,,                              0.43,,,,,,,,,,
5519,2013年第3季,,              1972573,,              1492933,                479640,                479640,,,                 45750,,                 39177,                 84927,                394713,,,                  1531,,                   -244,,                    513,,                   -986,                   -212,                394501,,                   -624,                395125,                395125,,,,,,,                395125,,                395125,,                395125,,                              2.29,,                              2.28,,,,,,,,,,
5519,2013年第2季,,                708784,,                599779,                109005,                109005,,,                 53577,,                 20316,                 73893,                 35112,,,                  1342,,                   -221,,                    468,,                   -847,                   -194,                 34918,,                    671,                 34247,                 34247,,,,,,,                 34247,,                 34247,,                 34247,,                              0.23,,                              0.23,,,,,,,,,,
5519,2013年度,,              4552161,,              3704106,                848055,                848055,,,                152776,,                110032,                262808,                585247,,,                 27132,,                   -414,,                  3074,,                 -3025,                 20619,                605866,,                 -1008,                606874,                606874,,,,,,                  1017,                607891,,                606874,,                607891,,                              3.52,,                              3.50,                 -1008,                  1225,                    208,,,,,,,
5519,2013年07月01日至2013年09月30日,,              1972573,,              1492933,                479640,                479640,,,                 45750,,                 39177,                 84927,                394713,,,                  1531,,                   -244,,                    513,,                   -986,                   -212,                394501,,                   -624,                395125,                395125,,,,,,,                395125,,                395125,,                395125,,                              2.63,,                              2.63,,,,,,,,,,
5519,2013年04月01日至2013年06月30日,,                708784,,                599779,                109005,                109005,,,                 53577,,                 20316,                 73893,                 35112,,,                  1342,,                   -221,,                    468,,                   -847,                   -194,                 34918,,                    671,                 34247,                 34247,,,,,,                              0,                 34247,,                 34247,,                 34247,,                              0.29,,                              0.29,,,,,                              0,                              0,                              0,                              0,,
5519,2013年01月01日至2013年12月31日,,              4552161,,              3704106,                848055,                848055,,,                152776,,                110032,                262808,                585247,,,                 27132,,                   -414,,                  3074,,                 -3025,                 20619,                605866,,                 -1008,                606874,                606874,,,,,,                  1017,                607891,,                606874,,                607891,,                              4.05,,                              4.03,                 -1008,                  1225,                    208,,,,,,,
5519,2013年01月01日至2013年09月30日,,              3399008,,              2740240,                658768,                658768,,,                124470,,                 78132,                202602,                456166,,,                 24062,,                   -517,,                  2482,,                 -2300,                 18763,                474929,,                    -60,                474989,                474989,,,,,,,                474989,,                474989,,                474989,,                              2.75,,                              2.74,,,,,,,,,,
5519,2013年01月01日至2013年06月30日,,              1426435,,              1247307,                179128,                179128,,,                 78720,,                 38955,                117675,                 61453,,,                 22531,,                   -273,,                  1969,,                 -1314,                 18975,                 80428,,                    564,                 79864,                 79864,,,,,,,                 79864,,                 79864,,                 79864,,                              0.53,,                              0.53,,,,,,,,,,
5519,2013年01月01日至2013年03月31日,,                717651,,                647528,                 70123,                 70123,,,                 25143,,                 18639,                 43782,                 26341,,,                 21189,,                    -52,,                  1501,,                   -467,                 19169,                 45510,,                   -107,                 45617,                 45617,,,,,,,                 45617,,                 45617,,                 45617,,                              0.30,,                              0.30,,,,,,,,,,
5519,2012年07月01日至2012年09月30日,,                766258,,                576648,                189610,                189610,,,                 18125,,                 29109,                 47234,                142376,,,                  1013,,                              0,,                  2288,,                   -413,                 -1688,                140688,,                   -292,                140980,                140980,,,,,,,                140980,,                140980,,                140980,,                              0.94,,                              0.94,,,,,,,,,,
5519,2012年04月01日至2012年06月30日,,              1036467,,                802964,                233503,                233503,,,                 17375,,                 28568,                 45943,                187560,,,                  1754,,                    -26,,                  1890,,                    -68,                   -230,                187330,,                   -256,                187586,                187586,,,,,,                              0,                187586,,                187586,,                187586,,                              1.56,,                              1.56,,,,,                              0,                              0,                              0,                              0,,
5519,2012年01月01日至2012年12月31日,,              3070043,,              2410379,                659664,                659664,,,                 58964,,                111372,                170336,                489328,,,                  4930,,                    -79,,                  7723,,                  2171,                   -701,                488627,,                    563,                488064,                488064,,,,,,                 -4560,                483504,,                488064,,                483504,,                              3.25,,                              3.24,                    563,                 -5494,                   -934,,,,,,,
