證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 餐旅服務收入,　　　　 餐旅服務收入淨額,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5533,2015年第3季,,,                  2127,,,                101016,                101016,,                357344,                460487,,,                    790,,,                 88662,                 88662,,                197203,                286655,                173832,                173832,,                 57748,                116084,,,                    576,,                     90,,                 12492,                -11826,                104258,,                 13050,                 91208,                 91208,,,                 -1117,                 -1117,                 -1117,                 90091,,                 91208,,                 90091,,                              0.34,                              0.34,,                              0.34,                              0.34,,,
5533,2015年第2季,,,                  2427,,,                109117,                109117,,                334832,                446376,,,                    825,,,                 93393,                 93393,,                185910,                280128,                166248,                166248,,                 62380,                103868,,,                  4245,,                    109,,                 14931,                -10577,                 93291,,                 12656,                 80635,                 80635,,,                   -238,                   -238,                   -238,                 80397,,                 80635,,                 80397,,                              0.30,                              0.30,,                              0.30,                              0.30,,,
5533,2015年01月01日至2015年09月30日,,,                  6956,,,                327055,                327055,,              1951093,              2285104,,,                  2440,,,                283128,                283128,,              1094462,              1380030,                905074,                905074,,                179922,                725152,,,                  4844,,                    384,,                 45060,                -39832,                685320,,                127690,                557630,                557630,,,                 -1039,                 -1039,                 -1039,                556591,,                557630,,                556591,,                              2.06,                              2.06,,                              2.05,                              2.05,,,
5533,2015年01月01日至2015年06月30日,,,                  4829,,,                226039,                226039,,              1593749,              1824617,,,                  1650,,,                194466,                194466,,                897259,              1093375,                731242,                731242,,                122174,                609068,,,                  4268,,                    294,,                 32568,                -28006,                581062,,                114640,                466422,                466422,,,                     78,                     78,                     78,                466500,,                466422,,                466500,,                              1.72,                              1.72,,                              1.72,                              1.72,,,
5533,2015年01月01日至2015年03月31日,,,                  2402,,,                116922,                116922,,              1258917,              1378241,,,                    825,,,                101073,                101073,,                711349,                813247,                564994,                564994,,                 59794,                505200,,,                     23,,                    185,,                 17637,                -17429,                487771,,                101984,                385787,                385787,,,                    316,                    316,                    316,                386103,,                385787,,                386103,,                              1.51,                              1.51,,                              1.51,                              1.51,,,
5533,2014年第3季,,,                  2330,,,                 95883,                 95883,,                922939,              1021152,,,                    792,,,                105215,                105215,,                579844,                685851,                335301,                335301,,                 78862,                256439,,,                    192,,                     52,,                  8407,                 -8163,                248276,,                 19148,                229128,                229128,,,                    -53,                    -53,                    -53,                229075,,                229128,,                229075,,                              0.85,                              0.85,,                              0.84,                              0.84,,,
5533,2014年第2季,,,                  2195,,,                 84862,                 84862,,              1290027,              1377084,,,                    776,,,                 78777,                 78777,,                695013,                774566,                602518,                602518,,                 86802,                515716,,,                  4095,,                      2,,                 11771,                 -7674,                508042,,                 15847,                492195,                492195,,,                     77,                     77,                     77,                492272,,                492195,,                492272,,                              1.82,                              1.82,,                              1.81,                              1.81,,,
5533,2014年度,,,                 10607,,,                379678,                379678,,              3248125,              3638410,,,                  3168,,,                373576,                373576,,              1871777,              2248521,              1389889,              1389889,,                266893,              1122996,,,                  5170,,                    716,,                 41004,                -35118,              1087878,,                110297,                977581,                977581,,,,,                   -436,                977145,,                977581,,                977145,,                              3.83,                              3.83,,                              3.82,                              3.82,                    321,                   -912,                   -155
5533,2014年01月01日至2014年09月30日,,,                  6692,,,                277584,                277584,,              2807244,              3091520,,,                  2343,,,                275194,                275194,,              1640213,              1917750,              1173770,              1173770,,                195339,                978431,,,                  4321,,                     68,,                 24119,                -19730,                958701,,                101294,                857407,                857407,,,                    272,                    272,                    272,                857679,,                857407,,                857679,,                              3.17,                              3.17,,                              3.16,                              3.16,,,
5533,2014年01月01日至2014年06月30日,,,                  4362,,,                181701,                181701,,              1884305,              2070368,,,                  1551,,,                169979,                169979,,              1060369,              1231899,                838469,                838469,,                143379,                695090,,,                  4129,,                     16,,                 15712,                -11567,                683523,,                 55244,                628279,                628279,,,                    325,                    325,                    325,                628604,,                628279,,                628604,,                              2.32,                              2.32,,                              2.32,                              2.32,,,
