證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6117,2015年第3季,,                558169,,                475665,                 82504,                 82504,,,                 41443,,                 66034,,                 32312,                139789,                -57285,,,                  5978,,                  7469,,                  3835,                  9612,                -47673,,                 -4221,                -43452,                -43452,,,                 29346,                    786,                    134,                 29998,                 29998,                -13454,,                -43452,                              0,,                -13454,                              0,,                             -0.49,,                             -0.49,,,,,,,
6117,2015年第2季,,                479171,,                428158,                 51013,                 51013,,,                 40561,,                 65455,,                 33364,                139380,                -88367,,,                  9987,,                 -4901,,                  4243,                    843,                -87524,,                -13173,                -74351,                -74351,,,                 -8326,                -27442,                 -4665,                -31103,                -31103,               -105454,,                -74351,                              0,,               -105454,                              0,,                             -0.84,,                             -0.84,,,,,,,
6117,2015年01月01日至2015年09月30日,,              1494093,,              1285100,                208993,                208993,,,                115185,,                194908,,                 97602,                407695,               -198702,,,                 25453,,                 -6537,,                 12672,                  6244,               -192458,,                -21443,               -171015,               -171015,,,                  1533,                -26656,                 -4531,                -20592,                -20592,               -191607,,               -171015,                              0,,               -191607,                              0,,                             -1.93,,                             -1.93,,,,,,,
6117,2015年01月01日至2015年06月30日,,                935924,,                809435,                126489,                126489,,,                 73742,,                128874,,                 65290,                267906,               -141417,,,                 19475,,                -14006,,                  8837,                 -3368,               -144785,,                -17222,               -127563,               -127563,,,                -27813,                -27442,                 -4665,                -50590,                -50590,               -178153,,               -127563,                              0,,               -178153,                              0,,                             -1.44,,                             -1.44,,,,,,,
6117,2015年01月01日至2015年03月31日,,                456753,,                381277,                 75476,                 75476,,,                 33181,,                 63419,,                 31926,                128526,                -53050,,,                  9488,,                 -9105,,                  4594,                 -4211,                -57261,,                 -4049,                -53212,                -53212,,,                -19487,,                              0,                -19487,                -19487,                -72699,,                -53212,,,                -72699,,,                             -0.60,,                             -0.60,,                456753,,,,,
6117,2014年第3季,,                665941,,                562290,                103651,                103651,,,                 39106,,                 63315,,                 31701,                134122,                -30471,,,                 10066,,                  4536,,                  4292,                 10310,                -20161,,                 -3457,                -16704,                -16704,,,                 15913,                              0,                              0,                 15913,                 15913,                   -791,,                -16704,                              0,,                   -791,                              0,,                             -0.19,,                             -0.19,,,,,,,
6117,2014年第2季,,                914843,,                712075,                202768,                202768,,,                 44928,,                 71341,,                 34295,                150564,                 52204,,,                  6161,,                 -3326,,                  4325,                 -1490,                 50714,,                  8765,                 41949,                 41949,,,                -21028,                              0,                              0,                -21028,                -21028,                 20921,,                 41949,                              0,,                 20921,                              0,,                              0.47,,                              0.47,,,,,,,
6117,2014年度,,              2987845,,              2416516,                571329,                571329,,,                158073,,                261036,,                127035,                546144,                 25185,,,                 30987,,                 14187,,                 17242,                 27932,                 53117,,                 15135,                 37982,                 37982,,,,,,,                 53478,                 91460,,                 37982,                              0,,                 91460,                              0,,                              0.43,,                              0.43,,,                              0,                              0,                 53378,                    121,                     21
6117,2014年01月01日至2014年09月30日,,              2442345,,              1960316,                482029,                482029,,,                122206,,                202930,,                 95400,                420536,                 61493,,,                 22821,,                  2023,,                 12793,                 12051,                 73544,,                 14493,                 59051,                 59051,,,                 10048,                              0,                              0,                 10048,                 10048,                 69099,,                 59051,                              0,,                 69099,                              0,,                              0.67,,                              0.67,,,,,,,
6117,2014年01月01日至2014年06月30日,,              1776404,,              1398026,                378378,                378378,,,                 83100,,                139615,,                 63699,                286414,                 91964,,,                 12755,,                 -2513,,                  8501,                  1741,                 93705,,                 17950,                 75755,                 75755,,,                 -5865,                              0,                              0,                 -5865,                 -5865,                 69890,,                 75755,                              0,,                 69890,                              0,,                              0.85,,                              0.85,,,,,,,
6117,2014年01月01日至2014年03月31日,,                861561,,                685951,                175610,                175610,,,                 38172,,                 68274,,                 29404,                135850,                 39760,,,                  6594,,                    813,,                  4176,                  3231,                 42991,,                  9185,                 33806,                 33806,,,                 15163,,                              0,                 15163,                 15163,                 48969,,                 33806,,,                 48969,,,                              0.38,,                              0.38,,                861561,,,,,
6117,2013年第3季,,                744263,,                633761,                110502,                110502,,,                 38563,,                 65676,,                 30414,                134653,                -24151,,,                  8785,,                 -4421,,                  4083,                    281,                -23870,,                  1652,                -25522,                -25522,,,,,,,                 -8756,                -34278,,                -25522,,,                -34278,,,                             -0.29,,                             -0.29,,,,,                 -8756,,
6117,2013年第2季,,                725351,,                572259,                153092,                153092,,,                 41311,,                 65631,,                 27387,                134329,                 18763,,,                  6173,,                  4011,,                  4105,                  6079,                 24842,,                  7987,                 16855,                 16855,,,,,,,                 19310,                 36165,,                 16855,                              0,,                 36165,                              0,,                              0.19,,                              0.19,,,,,                 19310,,
6117,2013年度,,              3152587,,              2578204,                574383,                574383,,,                160267,,                268463,,                115746,                544476,                 29907,,,                 19849,,                 11559,,                 16626,                 14782,                 44689,,                 24214,                 20475,                 20475,,,,,,,                 62822,                 83297,,                 20475,                              0,,                 83297,                              0,,                              0.23,,                              0.23,,,                              0,                              0,                 54475,                 10057,                  1710
6117,2013年07月01日至2013年09月30日,,                744263,,                633761,                110502,                110502,,,                 38563,,                 65676,,                 30414,                134653,                -24151,,,                  9734,,                 -5370,,                  4083,                    281,                -23870,,                  1652,                -25522,                -25522,,,,,,,                 -8756,                -34278,,                -25522,                              0,,                -34278,                              0,,                             -0.29,,,,,,,                 -8756,,
6117,2013年04月01日至2013年06月30日,,                725351,,                572259,                153092,                153092,,,                 41311,,                 65631,,                 27387,                134329,                 18763,,,                  6314,,                  3870,,                  4105,                  6079,                 24842,,                  7987,                 16855,                 16855,,,,,,,                 19310,                 36165,,                 16855,                              0,,                 36165,                              0,,                              0.19,,,,,,,                 19310,,
