證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6128,2015年第3季,,                482460,,                277432,                205028,                   -954,                              0,                205982,,,                 63898,,                 31223,,                 20823,                115944,                 90038,,,                  1307,,                 29826,,                  5231,,                 -2457,                 23445,                113483,,                 22618,                 90865,                 90865,,,                 44823,                  7620,                 37203,                 37203,                128068,,                 90865,                              0,,                128068,                              0,,                              1.00,,                              0.99,,,,,,,
6128,2015年第2季,,                519757,,                296905,                222852,                  2790,                              0,                220062,,,                 58458,,                 37809,,                 17505,                113772,                106290,,,                  1467,,                 -5811,,                  4772,,                 -2335,                -11451,                 94839,,                 21244,                 73595,                 73595,,,                 -9943,                 -1690,                 -8253,                 -8253,                 65342,,                 73595,,,                 65342,,,                              0.81,,                              0.81,,                519757,,,,,
6128,2015年01月01日至2015年09月30日,,              1449513,,                832345,                617168,                  5061,                  4602,                616709,,,                172943,,                106346,,                 57458,                336747,                279962,,,                  5337,,                 17061,,                 14966,,                 -6696,                    736,                280698,,                 58805,                221893,                221893,,,                 26916,                  4576,                 22340,                 22340,                244233,,                221893,                              0,,                244233,                              0,,                              2.44,,                              2.42,,,,,,,
6128,2015年01月01日至2015年06月30日,,                967053,,                554913,                412140,                  6015,                  4602,                410727,,,                109045,,                 75123,,                 36635,                220803,                189924,,,                  4030,,                -12765,,                  9735,,                 -4239,                -22709,                167215,,                 36187,                131028,                131028,,,                -17907,                 -3044,                -14863,                -14863,                116165,,                131028,,,                116165,,,                              1.44,,                              1.43,,                967053,,,,,
6128,2015年01月01日至2015年03月31日,,                447296,,                258008,                189288,                  3225,                  4602,                190665,,,                 50587,,                 37314,,                 19130,                107031,                 83634,,,                  2563,,                 -6954,,                  4963,,                 -1904,                -11258,                 72376,,                 14943,                 57433,                 57433,,,                 -7964,                 -1354,                 -6610,                 -6610,                 50823,,                 57433,                              0,,                 50823,                              0,,                              0.63,,                              0.63,,                447296,,                258008,,,
6128,2014年第3季,,                460274,,                272235,                188039,                   -958,                              0,                188997,,,                 55860,,                 33017,,                 21773,                110650,                 78347,,,                  1874,,                  5306,,                  4994,,                 -4558,                 -2372,                 75975,,                 17125,                 58850,                 58850,,,                 12678,                  2155,                 10523,                 10523,                 69373,,                 58850,                              0,,                 69373,                              0,,                              0.65,,                              0.64,,,,,,,
6128,2014年第2季,,                483379,,                272831,                210548,                    906,                              0,                209642,,,                 59852,,                 38793,,                 22791,                121436,                 88206,,,                  2004,,                 -6966,,                  3803,,                 -2134,                -10899,                 77307,,                 13685,                 63622,                 63622,,,                -13780,                 -2342,                -11438,                -11438,                 52184,,                 63622,,,                 52184,,,                              0.70,,                              0.70,,                483379,,,,,
6128,2014年度,,              1857185,,              1074718,                782467,                  4602,                  5430,                783295,,,                216293,,                143167,,                 85589,                445049,                338246,,,                 12060,,                 24671,,                 16572,,                 -9038,                 11121,                349367,,                 69083,                280284,                280284,,,,,,                 36250,                316534,,                280284,                              0,,                316534,                              0,,                              3.08,,                              3.05,,              1857185,,,                 39370,                  4304,                  7424
6128,2014年01月01日至2014年09月30日,,              1395261,,                804795,                590466,                  5497,                  5430,                590399,,,                165575,,                106985,,                 63541,                336101,                254298,,,                  6731,,                  6346,,                 11363,,                 -8307,                 -6593,                247705,,                 48334,                199371,                199371,,,                 12847,                  2184,                 10663,                 10663,                210034,,                199371,                              0,,                210034,                              0,,                              2.19,,                              2.18,,,,,,,
6128,2014年01月01日至2014年06月30日,,                934987,,                532560,                402427,                  6455,                  5430,                401402,,,                109715,,                 73968,,                 41768,                225451,                175951,,,                  4857,,                  1040,,                  6369,,                 -3749,                 -4221,                171730,,                 31209,                140521,                140521,,,                    169,                     29,                    140,                    140,                140661,,                140521,,,                140661,,,                              1.54,,                              1.54,,                934987,,,,,
6128,2014年01月01日至2014年03月31日,,                451608,,                259729,                191879,                  5549,                  5430,                191760,,,                 49863,,                 35175,,                 18977,                104015,                 87745,,,                  2853,,                  8006,,                  2566,,                 -1615,                  6678,                 94423,,                 17524,                 76899,                 76899,,,                 13949,                  2371,                 11578,                 11578,                 88477,,                 76899,                              0,,                 88477,                              0,,                              0.84,,                              0.84,,                451608,,                259729,,,
6128,2013年第3季,,                432934,,                265629,                167305,                   -501,                              0,                167806,,,                 44821,,                 33763,,                 18628,                 97212,                 70594,,,                  4406,,                 -7081,,                  3023,,                   -161,                 -5859,                 64735,,                 13982,                 50753,                 50753,,,,,,                 -5277,                 45476,,                 50753,                              0,,                 45476,                              0,,                              0.56,,                              0.55,,                432934,,,                 -6359,,                 -1082
6128,2013年第2季,,                431777,,                262083,                169694,                    -84,                              0,                169778,,,                 49946,,                 35270,,                 18238,                103454,                 66324,,,                  1543,,                  6425,,                  2348,,                 -1586,                  4034,                 70358,,                 16878,                 53480,                 53480,,,,,,                  2514,                 55994,,                 53480,                              0,,                 55994,                              0,,                              0.59,,                              0.59,,                431777,,,                  3030,,                    516
6128,2013年度,,              1725652,,              1048360,                677292,                  5430,                  6085,                677947,,,                193960,,                140150,,                 72818,                406928,                271019,,,                  9841,,                 12834,,                  9098,,                 -3632,                  9945,                280964,,                 61230,                219734,                219734,,,,,,                 12455,                232189,,                219734,                              0,,                232189,                              0,,                              2.41,,                              2.40,,              1725652,,,                  9250,                  5757,                  2552
6128,2013年07月01日至2013年09月30日,,                432934,,                265629,                167305,                   -501,                              0,                167806,,,                 44821,,                 33763,,                 18628,                 97212,                 70594,,,                  4406,,                 -7081,,                  3023,,                   -161,                 -5859,                 64735,,                 13982,                 50753,                 50753,,,,,,                 -5277,                 45476,,                 50753,                              0,,                 45476,                              0,,                              0.56,,                              0.55,,                432934,,,                 -6359,,                 -1082
6128,2013年04月01日至2013年06月30日,,                431777,,                262083,                169694,                    -84,                              0,                169778,,,                 49946,,                 35270,,                 18238,                103454,                 66324,,,                  1543,,                  6425,,                  2348,,                 -1586,                  4034,                 70358,,                 16878,                 53480,                 53480,,,,,,                  2514,                 55994,,                 53480,                              0,,,                 55994,,                              0.59,,                              0.59,,                431777,,                262083,                  3030,,                    516
6128,2013年01月01日至2013年12月31日,,              1725652,,              1048360,                677292,                  5430,                  6085,                677947,,,                193960,,                140150,,                 72818,                406928,                271019,,,                  9841,,                 12834,,                  9098,,                 -3632,                  9945,                280964,,                 61230,                219734,                219734,,,,,,                 12455,                232189,,                219734,,,                232189,,,                              2.41,,                              2.40,,              1725652,,,                  9250,                  5757,                  2552
6128,2013年01月01日至2013年09月30日,,              1265629,,                761373,                504256,                  5052,                  6085,                505289,,,                142202,,                101556,,                 53725,                297483,                207806,,,                  7779,,                  8110,,                  6373,,                 -2801,                  6715,                214521,,                 46445,                168076,                168076,,,,,,                  5153,                173229,,                168076,                              0,,                173229,                              0,,                              1.85,,                              1.84,,              1265629,,,                  6208,,                  1055
6128,2013年01月01日至2013年06月30日,,                832695,,                495744,                336951,                  5553,                  6085,                337483,,,                 97381,,                 67793,,                 35097,                200271,                137212,,,                  3373,,                 15191,,                  3350,,                 -2640,                 12574,                149786,,                 32463,                117323,                117323,,,,,,                 10430,                127753,,                117323,                              0,,                127753,                              0,,                              1.29,,                              1.29,,                832695,,,                 12567,,                  2137
6128,2013年01月01日至2013年03月31日,,                400918,,                233661,                167257,                  5637,                  6085,                167705,,,                 47435,,                 32523,,                 16859,                 96817,                 70888,,,                  1830,,                  8766,,                  1002,,                 -1054,                  8540,                 79428,,                 15585,                 63843,                 63843,,,,,,                  7916,                 71759,,                 63843,                              0,,                 71759,                              0,,                              0.70,,                              0.70,,                400918,,,                  9537,,                  1621
6128,2012年07月01日至2012年09月30日,,                372107,,                208718,                163389,                    538,                              0,                162851,,,                 46281,,                 25848,,                 16974,                 89103,                 73748,,,                  3025,,                 -4655,,                    828,,                   -171,                 -2629,                 71119,,                 12435,                 58684,                 58684,,,,,,                 -5479,                 53205,,                 58684,                              0,,                 53205,                              0,,                              0.64,,                              0.64,,                372107,,,                 -6601,,                 -1122
6128,2012年04月01日至2012年06月30日,,                339330,,                207492,                131838,                   -537,                              0,                132375,,,                 40576,,                 24113,,                 17975,                 82664,                 49711,,,                  1892,,                    790,,                    154,,                   -459,                  2069,                 51780,,                  9045,                 42735,                 42735,,,,,,                  3117,                 45852,,                 42735,                              0,,,                 45852,,                              0.47,,                              0.46,,                339330,,                207492,                  3755,,                    638
6128,2012年01月01日至2012年12月31日,,              1419529,,                829417,                590112,                  6085,                  6064,                590091,,,                157886,,                108810,,                 68247,                334943,                255148,,,                 10135,,                -13563,,                  2139,,                 -1719,                 -7286,                247862,,                 51770,                196092,                196092,,,,,,                -17145,                178947,,                196092,,,                178947,,,                              2.15,,                              2.14,,              1419529,,,                -12263,                 -8395,                 -3513
6128,2012年01月01日至2012年09月30日,,              1015603,,                605553,                410050,                  4386,                  6064,                411728,,,                122338,,                 70298,,                 51609,                244245,                167483,,,                  6798,,                 -9607,,                  1272,,                 -1566,                 -5647,                161836,,                 28892,                132944,                132944,,,,,,                 -8607,                124337,,                132944,                              0,,                124337,                              0,,                              1.46,,                              1.45,,              1015603,,,                -10370,,                 -1763
6128,2012年01月01日至2012年06月30日,,                643496,,                396835,                246661,                  3848,                  6064,                248877,,,                 76057,,                 44450,,                 34635,                155142,                 93735,,,                  3773,,                 -4952,,                    444,,                 -1395,                 -3018,                 90717,,                 16457,                 74260,                 74260,,,,,,                 -3128,                 71132,,                 74260,                              0,,,                 71132,,                              0.82,,                              0.81,,                643496,,                396835,                 -3769,,                   -641
6128,2012年01月01日至2012年03月31日,,                304166,,                189343,                114823,                  4385,                  6064,                116502,,,                 35481,,                 20337,,                 16660,                 72478,                 44024,,,                  1881,,                 -5742,,                    290,,                   -936,                 -5087,                 38937,,                  7412,                 31525,                 31525,,,,,,                 -6245,                 25280,,                 31525,                              0,,                 25280,                              0,,                              0.35,,                              0.35,,                304166,,,                 -7524,,                 -1279
