證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　　 與可能重分類之項目相關之所得稅,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6142,2015年第3季,,,,              1079906,              1079906,              1079906,,,                926822,                926822,                926822,                153084,                153084,,,                 44813,,                 36483,,                 99438,                180734,,                  1130,                -26520,,,,                 23363,                  1516,                 24879,,                  3820,                              0,                 65019,                  1065,                              0,                              0,                 50984,                              0,                 16790,,                  7539,                  7539,                 34130,                  7610,,                              0,                  7610,                  7610,,,                 51857,                -21568,                 30289,                 30289,                 37899,,                  7610,                              0,,                 37899,                              0,,                              0.03,,                              0.03,,,,,,,,,,,,,,,,,,
6142,2015年第2季,,,,              1191991,              1191991,              1191991,,,              1056496,              1056496,              1056496,                135495,                135495,,,                 48432,,                 37258,,                105839,                191529,,                  1918,                -54116,,,,                 31253,                  1791,                 33044,,                  1755,                    519,                              0,                     17,,                              0,                              0,                  3711,                 -1454,,                 10714,                 10714,                 20876,                -33240,,                 -2799,                -30441,                -30441,,,                -18333,                -28010,                -46343,                -46343,                -76784,,                -30441,                              0,,                -76784,                              0,,                             -0.11,,                             -0.11,,                              0,                              0,,,,,,,,,,,,,,,
6142,2015年01月01日至2015年09月30日,,,,              3325154,              3325154,              3325154,,,              2935626,              2935626,              2935626,                389528,                389528,,,                143974,,                112659,,                316623,                573256,,                  6560,               -177168,,,,                 91389,                  8551,                 99940,,                  5575,                              0,                 53333,                  1084,                              0,                  1025,                 49428,                              0,                  7371,,                 34282,                 34282,                 73029,               -104139,,                 -2799,               -101340,               -101340,,,                 21031,                -61482,                -40451,                -40451,               -141791,,               -101340,                              0,,               -141791,                              0,,                             -0.38,,                             -0.38,,,,,,,,,,,,,,,,,,
6142,2015年01月01日至2015年06月30日,,,,              2245248,              2245248,              2245248,,,              2008804,              2008804,              2008804,                236444,                236444,,,                 99161,,                 76176,,                217185,                392522,,                  5430,               -150648,,,,                 68026,                  7035,                 75061,,                  1755,                  1556,                              0,                     19,,                  1025,                              0,                 11686,                 -9419,,                 26743,                 26743,                 38899,               -111749,,                 -2799,               -108950,               -108950,,,                -30826,                -39914,                -70740,                -70740,               -179690,,               -108950,                              0,,               -179690,                              0,,                             -0.41,,                             -0.41,,                              0,                              0,,,,,,,,,,,,,,,
6142,2015年01月01日至2015年03月31日,,,,              1053257,              1053257,              1053257,,,                952308,                952308,                952308,                100949,                100949,,,                 50729,,                 38918,,                111346,                200993,,                  3512,                -96532,,,,                 36773,                  5244,                 42017,,                              0,                  1037,                              0,                      2,,                  1025,                              0,                  7975,                 -7965,,                 16029,                 16029,                 18023,                -78509,,                              0,                -78509,                -78509,,,                -12493,                -11904,                -24397,                -24397,               -102906,,                -78509,                              0,,               -102906,                              0,,                             -0.29,,                             -0.29,,                              0,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,
6142,2014年第3季,,,,              1191818,              1191818,              1191818,,,              1074170,              1074170,              1074170,                117648,                117648,,,                 47881,,                 36143,,                116654,                200678,,                  1373,                -81657,,,,                 50486,                  7414,                 57900,,                              0,                 16483,                 14114,                      5,                    187,                              0,                              0,                              0,                 30405,,                 21300,                 21300,                 67005,                -14652,,                              0,                -14652,                -14652,,,                 36082,                 -8835,                 27247,                 27247,                 12595,,                -14652,                              0,,                 12595,                              0,,                             -0.05,,                             -0.05,,,,,,,,,,,,,,,,,,
6142,2014年第2季,,,,              1309613,              1309613,              1309613,,,              1200812,              1200812,              1200812,                108801,                108801,,,                 50592,,                 41232,,                119510,                211334,,                  1431,               -101102,,,,                 44845,                    502,                 45347,,                              0,                  3645,                              0,                    441,,                              0,                              0,                 15211,                -12007,,                 16776,                 16776,                 16564,                -84538,,                  7086,                -91624,                -91624,,,                -23846,                -12701,                -36547,                -36547,               -128171,,                -91624,                              0,,               -128171,                              0,,                             -0.34,,                             -0.34,,                              0,                              0,,,,,,,,,,,,,,,
6142,2014年度,,,,,              5134566,              5134566,,,,              4700717,              4700717,                433849,                433849,,,                205121,,                162075,,                472895,                840091,,                  7259,               -398983,,,,                184227,                 50478,                234705,,                 13846,                              0,                 33488,                    595,,,                 56126,,                 -9387,,,                 73151,                152167,               -246816,,                 -4573,               -242243,               -242243,,,,,,                 55282,               -186961,,               -242243,,,               -186961,,,                             -0.90,,                             -0.90,,                              0,,,,,,,,,,,,,                 45734,                  6330,                  3218,                              0
6142,2014年01月01日至2014年09月30日,,,,              3982304,              3982304,              3982304,,,              3646844,              3646844,              3646844,                335460,                335460,,,                150715,,                122866,,                355546,                629127,,                  7554,               -286113,,,,                139793,                 48200,                187993,,                              0,                              0,                              0,                    472,                    157,                              0,                 34296,                    509,                -35434,,                 56996,                 56996,                 95563,               -190550,,                              0,               -190550,               -190550,,,                  6037,                  3179,                  9216,                  9216,               -181334,,               -190550,                              0,,               -181334,                              0,,                             -0.71,,                             -0.71,,,,,,,,,,,,,,,,,,
6142,2014年01月01日至2014年06月30日,,,,              2790486,              2790486,              2790486,,,              2572674,              2572674,              2572674,                217812,                217812,,,                102834,,                 86723,,                238892,                428449,,                  6181,               -204456,,,,                 89307,                 40786,                130093,,                     30,                              0,                              0,                    467,,                              0,                 50779,                 14623,                -65839,,                 35696,                 35696,                 28558,               -175898,,                              0,               -175898,               -175898,,,                -30045,                 12014,                -18031,                -18031,               -193929,,               -175898,                              0,,               -193929,                              0,,                             -0.66,,                             -0.66,,                              0,                              0,,,,,,,,,,,,,,,
