證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 權益工具投資之利益（損失）
6155,2015年第3季,,                167086,,                121007,                 46079,                              0,                              0,                 46079,,,                 12849,,                 13033,,                  4909,                 30791,                 15288,,,                 16758,,                 48497,,                  1488,                 63767,                 79055,,                 14322,                 64733,                 64733,,,                 13580,                -61688,                  2308,                -50416,                -50416,                 14317,,                 64733,                              0,,                 14317,                              0,,                              0.76,,                              0.76,,,,,,,,,
6155,2015年第2季,,                161311,,                115505,                 45806,,,                 45806,,,                  9992,,                 11606,,                  4740,                 26338,                 19468,,,                  3960,,                 -3171,,                  1597,                   -808,                 18660,,                  1982,                 16678,                 16678,,,                 -4668,                -42498,                   -794,                -46372,                -46372,                -29694,,                 16678,                              0,,                -29694,                              0,,                              0.20,,                              0.20,                              0,,,,,,,,
6155,2015年01月01日至2015年09月30日,,                482399,,                349152,                133247,                              0,                              0,                133247,,,                 33694,,                 35807,,                 14544,                 84045,                 49202,,,                 25070,,                 37105,,                  4310,                 57865,                107067,,                 17508,                 89559,                 89559,,,                  2417,                -93074,                    410,                -91067,                -91067,                 -1508,,                 89559,                              0,,                 -1508,                              0,,                              1.05,,                              1.05,,,,,,,,,
6155,2015年01月01日至2015年06月30日,,                315313,,                228145,                 87168,,,                 87168,,,                 20845,,                 22774,,                  9635,                 53254,                 33914,,,                  8312,,                -11392,,                  2822,                 -5902,                 28012,,                  3186,                 24826,                 24826,,,                -11163,                -31386,                 -1898,                -40651,                -40651,                -15825,,                 24826,                              0,,                -15825,                              0,,                              0.29,,                              0.29,                              0,,,,,,,,
6155,2015年01月01日至2015年03月31日,,                154002,,                112640,                 41362,,,                 41362,,,                 10853,,                 11168,,                  4895,                 26916,                 14446,,,                  4352,,                 -8221,,                  1225,                 -5094,                  9352,,                  1204,                  8148,                  8148,,,                 -6495,                 11112,                 -1104,                  5721,                  5721,                 13869,,                  8148,                              0,,                 13869,                              0,,                              0.10,,                              0.10,,,                              0,                              0,,,,,
6155,2014年第3季,,                171122,,                123767,                 47355,                              0,                              0,                 47355,,,                 10954,,                 11141,,                  4886,                 26981,                 20374,,,                 12696,,                 12136,,                  1733,                 23099,                 43473,,                  7843,                 35630,                 35630,,,                 10575,                -10593,                  1798,                 -1816,                 -1816,                 33814,,                 35630,                              0,,                 33814,                              0,,                              0.42,,                              0.42,,,,,,,,,
6155,2014年第2季,,                175869,,                133669,                 42200,,,                 42200,,,                 10654,,                 10282,,                  4540,                 25476,                 16724,,,                  5051,,                -13429,,                  1506,                 -9884,                  6840,,                    979,                  5861,                  5861,,,                 -7613,                 17174,                 -1294,                 10855,                 10855,                 16716,,                  5861,                              0,,                 16716,                              0,,                              0.07,,                              0.07,                              0,,,,,,,,
6155,2014年度,,                673016,,                505708,                167308,                              0,                              0,                167308,,,                 44721,,                 45143,,                 19171,                109035,                 58273,,,                 28533,,                 60625,,                  6884,                 82274,                140547,,                 19086,                121461,                121461,,,,,,,                 50150,                171611,,                121461,                              0,,                171611,                              0,,                              1.45,,                              1.44,,,,,                 19437,                 33538,                    479,                  3304,
6155,2014年01月01日至2014年09月30日,,                495727,,                370196,                125531,                              0,                              0,                125531,,,                 32196,,                 32647,,                 14091,                 78934,                 46597,,,                 22544,,                 19783,,                  4827,                 37500,                 84097,,                 13558,                 70539,                 70539,,,                  4610,                 29670,                    784,                 33496,                 33496,                104035,,                 70539,                              0,,                104035,                              0,,                              0.83,,                              0.83,,,,,,,,,
6155,2014年01月01日至2014年06月30日,,                324605,,                246429,                 78176,,,                 78176,,,                 21242,,                 21506,,                  9205,                 51953,                 26223,,,                  9848,,                  7647,,                  3094,                 14401,                 40624,,                  5715,                 34909,                 34909,,,                 -5965,                 40263,                 -1014,                 35312,                 35312,                 70221,,                 34909,                              0,,                 70221,                              0,,                              0.41,,                              0.41,                              0,,,,,,,,
