證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與待出售非流動資產直接相關之權益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
6225,2015年第3季,,,                 19964,                 19964,,,                 14739,                 14739,                 14739,                  5225,                  5225,,,                  7696,,                 10074,,                  2503,                 20273,                -15048,,,                 11658,,                 -1316,,                     97,,                              0,                 10245,                 -4803,,                  5531,                -10334,                -10334,,,                 11139,                              0,                 -7212,                  3927,                  3927,                 -6407,,                -10334,,                 -6407,,                             -0.11,,,,,,,,,,,
6225,2015年第2季,,,                 21382,                 21382,,,                 14384,                 14384,                 14384,                  6998,                  6998,,,                 10693,,                 11496,,                  2125,                 24314,                -17316,,,                  2776,,                 -2287,,                    130,,                              0,                    359,                -16957,,                 12616,                -29573,                -29573,,,                  2013,                  3450,,                  5463,                  5463,                -24110,,                -29573,,                -24110,,                             -0.35,,                              0,                              0,                              0,,,,,,,
6225,2015年01月01日至2015年09月30日,,,                 76280,                 76280,,,                 45988,                 45988,                 45988,                 30292,                 30292,,,                 27924,,                 33066,,                  6676,                 67666,                -37374,,,                 14542,,                 -6039,,                    362,,                              0,                  8141,                -29233,,                 19672,                -48905,                -48905,,,                  1266,                  3451,                 -7212,                 -2495,                 -2495,                -51400,,                -48905,,                -51400,,                             -0.56,,,,,,,,,,,
6225,2015年01月01日至2015年06月30日,,,                 56316,                 56316,,,                 31249,                 31249,                 31249,                 25067,                 25067,,,                 20228,,                 22992,,                  4173,                 47393,                -22326,,,                  2884,,                 -4723,,                    265,,                              0,                 -2104,                -24430,,                 14141,                -38571,                -38571,,,                 -9873,                  3451,,                 -6422,                 -6422,                -44993,,                -38571,,                -44993,,                             -0.45,,                              0,                              0,                              0,,,,,,,
6225,2015年01月01日至2015年03月31日,,,,                 34934,,,,,                 16865,                 18069,                 18069,,,                  9535,,                 11496,,                  2048,                 23079,                 -5010,,,                    108,,                 -2436,,                    135,,                              0,                 -2463,                 -7473,,                  1525,                 -8998,                 -8998,,,                -11886,                      1,,                -11885,                -11885,                -20883,,                 -8998,,                -20883,,                             -0.11,,,,,                             -0.11,,,,,,
6225,2014年第3季,,,                 40570,                 40570,,,                 33879,                 33879,                 33879,                  6691,                  6691,,,                  8163,,                 12694,,                  4259,                 25116,                -18425,,,                  7256,,                 -6832,,                     20,,                              0,                    404,                -18021,,                    245,                -18266,                -18266,,,                 -4502,                              0,                              0,                 -4502,                 -4502,                -22768,,                -18266,,                -22768,,                             -0.28,,,,,,,,,,,
6225,2014年第2季,,,                 40873,                 40873,,,                 35570,                 35570,                 35570,                  5303,                  5303,,,                  8691,,                 16000,,                  5476,                 30167,                -24864,,,                  1824,,                 -5362,,                     53,,                    748,                 -2843,                -27707,,                              0,                -27707,                -27707,,,                 -4750,                 -5952,,                -10702,                -10702,                -38409,,                -27707,,                -38409,,                             -0.42,,                              0,                              0,                              0,,,,,,,
6225,2014年度,,,,                141656,,,,,                136007,                  5649,                  5649,,,                 33456,,                 66639,,                 18330,                118425,               -112776,,,                  4154,,                 -7406,,                  2265,,                  1366,                 -4151,               -116927,,                 24571,               -141498,               -141498,,,,,,,                -17084,               -158582,,               -141498,,               -158582,,                             -2.16,,,,,                             -2.16,                 -7878,                 -9206,                              0,,                              0,                              0
6225,2014年01月01日至2014年09月30日,,,                104572,                104572,,,                 94042,                 94042,                 94042,                 10530,                 10530,,,                 24357,,                 44357,,                 15570,                 84284,                -73754,,,                  9836,,                -12213,,                    167,,                  1366,                 -1178,                -74932,,                    586,                -75518,                -75518,,,                 -6918,                 -6498,                              0,                -13416,                -13416,                -88934,,                -75518,,                -88934,,                             -1.17,,,,,,,,,,,
6225,2014年01月01日至2014年06月30日,,,                 64002,                 64002,,,                 60163,                 60163,                 60163,                  3839,                  3839,,,                 16194,,                 31663,,                 11311,                 59168,                -55329,,,                  2580,,                 -5381,,                    147,,                  1366,                 -1582,                -56911,,                    341,                -57252,                -57252,,,                 -2416,                 -6498,,                 -8914,                 -8914,                -66166,,                -57252,,                -66166,,                             -0.89,,                              0,                              0,                              0,,,,,,,
