證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資損失,　　　 壞帳轉回利益,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 股利收入,　　　 處分投資性不動產利益,　　 遞延所得稅費用（利益）
6226,2015年第3季,,,,                276717,                276717,                  9004,                267713,,                              0,,                     21,                267734,,,                194617,                194617,,                              0,                     18,                194635,                 73099,                 73099,,,                 29811,,                 33555,,                  5936,                 69302,                  3797,,,                  3936,,                   -833,                   -303,                 16690,                    -20,                    480,,                  5263,                  9791,,                  6423,,                 -4136,                 -4136,                  3168,                  6965,,                  4314,                  2651,                  2651,,,                 28518,                 -5976,                              0,                 22542,                 22542,                 25193,,                  3701,                 -1050,,                 26243,                 -1050,,                              0.04,,                              0.00,,,,,,,,,,,,,,,,,
6226,2015年第2季,,,,                278846,                278846,                  1633,                277213,,                 29721,,                  5316,                312250,,,                194354,                194354,,                 30882,                  4478,                229714,                 82536,                 82536,,,                 31058,,                 65103,,                  5774,                101935,                -19399,,,                  1530,,                   -340,                              0,,                    -19,                  1155,,                  4705,                -10266,,                  6250,,                   -902,                   -902,                -15888,                -35287,,                 -4110,                -31177,                -31177,,,                -10483,                  1226,                              0,                 -9257,                 -9257,                -40434,,                -31091,                    -86,,                -40348,                    -86,,                             -0.34,,                              0.00,,                    345,                  1185,                  4047,,,,,,,,,,,,,
6226,2015年01月01日至2015年09月30日,,,,                787113,                787113,                 11690,                775423,,                 77820,,                  5337,                858580,,,                558712,                558712,,                 79059,                  4496,                642267,                216313,                216313,,,                 91345,,                141376,,                 17192,                249913,                -33600,,,                  8845,,                 -1226,                   -303,                 11699,                   -117,                  2516,,                  9968,                 -2431,,                 18630,,                 -6464,                 -6464,                -18680,                -52280,,                 -3734,                -48546,                -48546,,,                  9837,                  1179,                              0,                 11016,                 11016,                -37530,,                -46944,                 -1602,,                -35928,                 -1602,,                             -0.50,,                              0.00,,,,,,,,,,,,,,,,,
6226,2015年01月01日至2015年06月30日,,,,                510396,                510396,                  2686,                507710,,                 77820,,                  5316,                590846,,,                364095,                364095,,                 79059,                  4478,                447632,                143214,                143214,,,                 61534,,                107821,,                 11256,                180611,                -37397,,,                  4909,,                   -393,                              0,,                    -97,                  2036,,                  4705,                -12222,,                 12207,,                 -2328,                 -2328,                -21848,                -59245,,                 -8048,                -51197,                -51197,,,                -18682,                  7155,                              0,                -11527,                -11527,                -62724,,                -50645,                   -552,,                -62172,                   -552,,                             -0.55,,                              0.00,,                    744,                  4165,                  4991,,,,,,,,,,,,,
6226,2015年01月01日至2015年03月31日,,,,,,,                278596,,,,,                278596,,,,                217918,,,,                217918,                 60678,                 60678,,,                 30476,,                 42718,,                  5482,                 78676,                -17998,,,                  3379,,,,,,,,,                 -1956,,                  5957,,,                 -1426,                 -5960,                -23958,,                 -3938,                -20020,                -20020,,,                 -8199,                  5929,                              0,                 -2270,                 -2270,                -22290,,                -19554,                   -466,,                -21824,                   -466,,                             -0.21,,,,,,,,,,,,,,,,,,,
6226,2014年第3季,,,,                257707,                257707,                   -474,                258181,,                  4568,,                    -46,                262703,,,                168107,                168107,,                  4400,                  9956,                182463,                 80240,                 80240,,,                 31425,,                 40663,,                  3661,                 75749,                  4491,,,                  8724,,                     16,                              0,                  7518,                              0,                  1249,,                              0,                  6285,,                  6023,,                    496,                    496,                  9482,                 13973,,                  2589,                 11384,                 11384,,,                 19356,                   -539,                              0,                 18817,                 18817,                 30201,,                 14735,                 -3351,,                 33552,                 -3351,,                              0.16,,                              0.16,,,,,,,,,,,,,,,,,
6226,2014年第2季,,,,                288004,                288004,                  2987,                285017,,                  1894,,                 21254,                308165,,,                169624,                169624,,                  1779,                 12911,                184314,                123851,                123851,,,                 28076,,                 43757,,                  3251,                 75084,                 48767,,,                    226,,                   -343,                              0,,                              0,                  2560,,                  6168,                -13987,,                  6462,,                   -453,                   -453,                -20676,                 28091,,                  5732,                 22359,                 22359,,,                -12894,                     22,                              0,                -12872,                -12872,                  9487,,                 19628,                  2731,,                  6756,                  2731,,                              0.21,,                              0.21,,                    226,                              0,                  4916,,,,,,,,,,,,,
6226,2014年度,,,,,              1035571,                  5198,              1030373,,,,,              1030373,,,,                701084,,,,                701084,                329289,                329289,,,                118023,,                167453,,                 16988,                302464,                 26825,,,                 26704,,,,,,,,,                   -341,,                 25435,,,                     45,                    973,                 27798,,                    374,                 27424,                 27424,,,,,,,                 24821,                 52245,,                 29209,                 -1785,,                 54030,                 -1785,,                              0.34,,                              0.33,,,,,                    374,                 25335,                   -514,                              0,,,,,,,,,
6226,2014年01月01日至2014年09月30日,,,,                749952,                749952,                  3893,                746059,,                  6462,,                 24231,                776752,,,                482505,                482505,,                  6179,                 25571,                514255,                262497,                262497,,,                 85193,,                121271,,                 10781,                217245,                 45252,,,                 14259,,                   -276,                  1276,                    858,                              0,                  4425,,                  6168,                 -8735,,                 18880,,                   -540,                   -540,                -13896,                 31356,,                  7262,                 24094,                 24094,,,                  4664,                 -1096,                              0,                  3568,                  3568,                 27662,,                 24818,                   -724,,                 28386,                   -724,,                              0.29,,                              0.28,,,,,,,,,,,,,,,,,
6226,2014年01月01日至2014年06月30日,,,,                492245,                492245,                  4367,                487878,,                  1894,,                 24277,                514049,,,                314398,                314398,,                  1779,                 15615,                331792,                182257,                182257,,,                 53768,,                 80608,,                  7120,                141496,                 40761,,,                  5535,,                   -292,                  1276,,                              0,                  3176,,                  6168,                -15021,,                 12857,,                 -1035,                 -1035,                -23378,                 17383,,                  4673,                 12710,                 12710,,,                -14692,                   -557,                              0,                -15249,                -15249,                 -2539,,                 10083,                  2627,,                 -5166,                  2627,,                              0.12,,                              0.12,,                    353,                  5182,                  6661,,,,,,,,,,,,,
6226,2014年01月01日至2014年03月31日,,,,,,,                205884,,,,,                205884,,,,                147478,,,,                147478,                 58406,                 58406,,,                 25692,,                 38002,,                  3869,                 67563,                 -9157,,,                  6460,,,,,,,,,                 -1033,,                  6395,,,                   -583,                 -1551,                -10708,,                 -1059,                 -9649,                 -9649,,,                 -1798,                   -535,                              0,                 -2333,                 -2333,                -11982,,                 -9545,                   -104,,                -11878,                   -104,,                             -0.13,,,,,,,,,,,,,,,,,,,
6226,2013年第3季,,,,,,,                389281,,,,,                389281,,,,                303822,,,,                303822,                 85459,                 85459,,,                 28493,,                 38217,,                  4607,                 71317,                 14142,,,                  6009,,                    -50,,                              0,                    -20,                  1865,,                              0,                 -5560,,                  7228,,,                   -835,                 -7614,                  6528,,                 -2410,                  8938,                  8938,,,,,,,                 -7653,                  1285,,                  2730,                  6208,,                 -4923,                  6208,,                              0.04,,                              0.04,,,,                  3625,,                 -7479,                   -174,                              0,                              0,,,,,,,,
6226,2013年第2季,,,,,                320716,                  1655,                319061,,,,,                319061,,,,,,,,                232044,                 87017,                 87017,,,                 18917,,                 39146,,                  5111,                 63174,                 23843,,,                  7618,,,,,,,,,                  1490,,                  7502,,,                    513,                  2119,                 25962,,                  8119,                 17843,                 17843,,,,,,,                 10275,                 28118,,                  8530,                  9313,,                 18805,                  9313,,                              0.12,,                              0.00,,,,,                  8119,                 11010,                   -735,                              0,,,,,,,,,
6226,2013年度,,,,,              1618485,                  7250,              1611235,,,,,              1611235,,,,              1261993,,,,              1261993,                349242,                349242,,,                110052,,                156045,,                 18287,                284384,                 64858,,,                 23125,,,,,,,,,                 15148,,                 28893,,,                     50,                  9430,                 74288,,                 10057,                 64231,                 64231,,,,,,,                 33133,                 97364,,                 23433,                 40798,,                 56566,                 40798,,                              0.33,,                              0.33,,,,,                 10057,                 33778,                   -645,                              0,,,,,,,,,
6226,2013年07月01日至2013年09月30日,,,,,                391518,                  2237,                389281,,,,,                389281,,,                303822,                303822,,,,                303822,                 85459,                 85459,,,                 28493,,                 38217,,                  4607,                 71317,                 14142,,,                  6009,,,,                              0,                              0,                  1865,,                              0,                 -5560,,                  7228,,                              0,                   -835,                 -7614,                  6528,,                 -2410,                  8938,                  8938,,,,,,,                 -7653,                  1285,,                  2730,                  6208,,                 -4923,                  6208,,                              0.04,,                              0.04,,                     87,                  5276,                  3625,                 -2410,                 -7479,                   -174,                              0,                              0,                    643,                     50,                     20,                  7228,                    835,                      3,                              0,
6226,2013年04月01日至2013年06月30日,,,,,                320716,                  1655,                319061,,,,,                319061,,,                232044,                232044,,,,                232044,                 87017,                 87017,,,                 18917,,                 39146,,                  5111,                 63174,                 23843,,,                  7618,,                     73,,                  5291,                  3631,                  1337,,                  6168,                  1490,,                  7502,,                    513,                    513,                  2119,                 25962,,                  8119,                 17843,                 17843,,,,,,,                 10275,                 28118,,                  8530,                  9313,,                 18811,                  9307,,                              0.09,,,,                    181,                  1590,                              0,                  8119,                 11010,                   -735,                              0,                              0,                  5847,                              0,,                  7502,                              0,,                              0,
6226,2013年01月01日至2013年12月31日,,,,,              1618485,                  7250,              1611235,,,,,              1611235,,,              1261993,              1261993,,,,              1261993,                349242,                349242,,,                110052,,                156045,,                 18287,                284384,                 64858,,,                 23125,,                    297,,                 22990,                  3917,                  5889,,                  6167,                 15148,,                 28893,,                     50,                     50,                  9430,                 74288,,                 10057,                 64231,                 64231,,,,,,,                 33133,                 97364,,                 23433,                 40798,,                 56566,                 40798,,                              0.33,,                              0.33,,                    910,                 14371,                              0,                 10057,                 33778,                   -645,                              0,                              0,                  7844,                              0,                              0,                 28893,                              0,,,
