證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
6269,2015年第3季,,              4568498,,              3422648,              1145850,              1145850,,,                 33295,,                119312,,                180290,                332897,                812953,,,                 50648,,                294291,,                 11469,                333470,              1146423,,                247299,                899124,                899124,,,                125625,                125625,                125625,              1024749,,                899124,,              1024749,,                              3.34,                              3.34,,                              3.12,                              3.12,
6269,2015年第2季,,              4190723,,              3005895,              1184828,              1184828,,,                 31269,,                109502,,                185148,                325919,                858909,,,                 56316,,               -236280,,                 22063,               -202027,                656882,,                297573,                359309,                359309,,,                -24850,                -24850,                -24850,                334459,,                359309,,                334459,,                              1.50,                              1.50,,                              1.38,                              1.38,
6269,2015年第1季,,              4030756,,              2895515,              1135241,              1135241,,,                 33653,,                128880,,                171260,                333793,                801448,,,                 58364,,                 42167,,                 29263,                 71268,                872716,,                160970,                711746,                711746,,,                -51138,                -51138,                -51138,                660608,,                711746,,                660608,,                              3.28,                              3.28,,                              2.45,                              2.45,
6269,2015年01月01日至2015年09月30日,,             12789977,,              9324058,              3465919,              3465919,,,                 98217,,                357694,,                536698,                992609,              2473310,,,                165328,,                100178,,                 62795,                202711,              2676021,,                705842,              1970179,              1970179,,,                 49637,                 49637,                 49637,              2019816,,              1970179,,              2019816,,                              7.90,                              7.90,,                              7.06,                              7.06,
6269,2015年01月01日至2015年06月30日,,              8221479,,              5901410,              2320069,              2320069,,,                 64922,,                238382,,                356408,                659712,              1660357,,,                114680,,               -194113,,                 51326,               -130759,              1529598,,                458543,              1071055,              1071055,,,                -75988,                -75988,                -75988,                995067,,              1071055,,                995067,,                              4.69,                              4.69,,                              4.45,                              4.45,
6269,2014年第3季,,              3150487,,              2455779,                694708,                694708,,,                 34298,,                107282,,                147705,                289285,                405423,,,                 44132,,                 51520,,                 28111,                 67541,                472964,,                113385,                359579,                359579,,,                 47074,                 47074,                 47074,                406653,,                359579,,                406653,,                              1.54,                              1.54,,                              1.48,                              1.48,
6269,2014年第2季,,              2096820,,              1674854,                421966,                421966,,,                 16499,,                 70833,,                143669,                231001,                190965,,,                 49084,,                -92771,,                 28029,                -71716,                119249,,                 95695,                 23554,                 23554,,,                -62797,                -62797,                -62797,                -39243,,                 23554,,                -39243,,                              0.11,                              0.11,,                              0.05,                              0.05,
6269,2014年第1季,,              2510762,,              2198803,                311959,                311959,,,                 22719,,                 92004,,                143681,                258404,                 53555,,,                 55323,,                125197,,                 27708,                152812,                206367,,                 21642,                184725,                184725,,,                 29594,                 29594,                 29594,                214319,,                184725,,                214319,,                              0.83,                              0.83,,                              0.69,                              0.69,
6269,2014年度,,             13071783,,             10178801,              2892982,              2892982,,,                128214,,                395533,,                585630,              1109377,              1783605,,,                188527,,                197927,,                111663,                274791,              2058396,,                571871,              1486525,              1486525,,,,,                171950,              1658475,,              1486525,,              1658475,,                              6.71,                              6.71,,                              5.74,                              5.74,                171950
6269,2014年01月01日至2014年09月30日,,              7758069,,              6329436,              1428633,              1428633,,,                 73516,,                270119,,                435055,                778690,                649943,,,                148539,,                 83946,,                 83848,                148637,                798580,,                230722,                567858,                567858,,,                 13871,                 13871,                 13871,                581729,,                567858,,                581729,,                              2.44,                              2.44,,                              2.04,                              2.04,
6269,2014年01月01日至2014年06月30日,,              4607582,,              3873657,                733925,                733925,,,                 39218,,                162837,,                287350,                489405,                244520,,,                104407,,                 32426,,                 55737,                 81096,                325616,,                117337,                208279,                208279,,,                -33203,                -33203,                -33203,                175076,,                208279,,                175076,,                              0.94,                              0.94,,                              0.70,                              0.70,
6269,2014年01月01日至2014年03月31日,,              2510762,,              2198803,                311959,                311959,,,                 22719,,                 92004,,                143681,                258404,                 53555,,,                 55323,,                125197,,                 27708,                152812,                206367,,                 21642,                184725,                184725,,,,,                 29594,                214319,,                184725,,                214319,,                              0.92,                              0.92,,                              0.75,                              0.75,                 29594
6269,2013年第3季,,              3981884,,              2982099,                999785,                999785,,,                 35230,,                116408,,                150534,                302172,                697613,,,                 84071,,                -54010,,                 24566,                  5495,                703108,,                140568,                562540,                562540,,,,,                -43861,                518679,,                562540,,                518679,,                              2.55,                              2.55,,                              2.49,                              2.49,                -43861
6269,2013年第2季,,              2189224,,              1652556,                536668,                536668,,,                 24368,,                 84079,,                187032,                295479,                241189,,,                 51176,,                 46805,,                 10688,                 87293,                328482,,                127319,                201163,                201163,,,,,                 37867,                239030,,                201163,,                239030,,                              1.01,                              1.01,,                              1.00,                              1.00,                 37867
6269,2013年度,,             13605211,,             10377682,              3227529,              3227529,,,                126252,,                445759,,                606582,              1178593,              2048936,,,                240577,,                293774,,                 70852,                463499,              2512435,,                584637,              1927798,              1927798,,,,,                120582,              2048380,,              1927798,,              2048380,,                              8.76,                              8.76,,                              7.55,                              7.55,                120582
6269,2013年07月01日至2013年09月30日,,              3981884,,              2982099,                999785,                999785,,,                 35230,,                116408,,                150534,                302172,                697613,,,                 84071,,                -54010,,                 24566,                  5495,                703108,,                140568,                562540,                562540,,,,,                -43861,                518679,,                562540,,                518679,,                              2.80,                              2.80,,                              2.73,                              2.73,                -43861
