證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 勞務收入,　　　 維修收入,　　　　 維修收入,　　　　 維修收入淨額,　　　 勞務收入合計,　　　 銷貨成本
6414,2015年第3季,,,              2797917,              2797917,,,              2293769,              2293769,                504148,                504148,,,                 61650,,                 67869,,                 80056,                209575,                294573,,,,                 10243,,                 88924,,                  3103,,,                 96064,                390637,,                 69884,                320753,                320753,,,,,,,                  6176,                -14522,                 -8346,                 -8346,                312407,,                246884,                 73869,,                242953,                 69454,,                              3.59,                              3.59,,                              3.42,                              3.42,,,,,,,,,,,,,,,,,
6414,2015年第2季,,,,              2613356,,,,              2152340,                461016,                461016,,,                 51660,,                 48924,,                 71802,                172386,                288630,,,,                  2317,,                 10983,,                  2761,,,                 10539,                299169,,                 55010,                244159,                244159,,,,,,,                   -872,                -34753,                -35625,                -35625,                208534,,                202899,                 41260,,                184885,                 23649,,                              2.95,                              2.95,,                              2.81,                              2.81,,,,,,,,,,,,,,,,,
6414,2015年度,,,             11056658,             11056658,,,              9040108,              9040108,              2016550,              2016550,,,                247498,,                253408,,                328580,                829486,              1187064,,,                 16823,                 16823,,                110997,,                 10335,,                  5385,                122870,              1309934,,                234274,              1075660,              1075660,,,                   -206,                    -35,                   -171,,                   -998,                -44913,                -45911,                -46082,              1029578,,                865701,                209959,,                845076,                184502,,                             12.57,                             12.57,,                             12.34,                             12.34,,,,,,,,,,,,,,,,,
6414,2015年01月01日至2015年09月30日,,,              7797538,              7797538,,,              6400306,              6400306,              1397232,              1397232,,,                156691,,                171756,,                222054,                550501,                846731,,,,                 13747,,                 91469,,                  7302,,,                 97914,                944645,,                171702,                772943,                772943,,,,,,,                  4779,                -50565,                -45786,                -45786,                727157,,                623509,                149434,,                601315,                125842,,                              9.07,                              9.07,,                              8.79,                              8.79,,,,,,,,,,,,,,,,,
6414,2015年01月01日至2015年06月30日,,,,              4999621,,,,              4106537,                893084,                893084,,,                 95041,,                103887,,                141998,                340926,                552158,,,,                  3504,,                  2545,,                  4199,,,                  1850,                554008,,                101818,                452190,                452190,,,,,,,                 -1397,                -36043,                -37440,                -37440,                414750,,                376625,                 75565,,                358362,                 56388,,                              5.48,                              5.48,,                              5.24,                              5.24,,,,,,,,,,,,,,,,,
6414,2015年01月01日至2015年03月31日,,,,              2386265,,,,              1954197,                432068,                432068,,,                 43381,,                 54963,,                 70196,                168540,                263528,,,,                  1187,,                 -8438,,                  1438,,,                 -8689,                254839,,                 46808,                208031,                208031,,,,,,,                   -525,                 -1290,                 -1815,                 -1815,                206216,,                173726,                 34305,,                173477,                 32739,,                              2.53,                              2.53,,                              2.52,                              2.52,,,,,,,,,,,,,,,,,
6414,2014年第3季,,,              1300908,              1300908,,,              1069377,              1069377,                231531,                231531,,,                 30990,,                 13174,,                 31210,                 75374,                156157,,,,                  1926,,                 16442,,                              0,,,                 18368,                174525,,                 29977,                144548,                144548,,,,,,,                    866,                  2080,                  2946,                  2946,                147494,,                145029,                   -481,,                147975,                   -481,,                              2.18,                              2.18,,                              2.17,                              2.17,,,,,,,,,,,,,,,,,
6414,2014年第2季,,,,                955745,,,,                753194,                202551,                202551,,,                 22604,,                  5619,,                 26154,                 54377,                148174,,,,                  2688,,                 -4964,,                              0,,,                 -2276,                145898,,                 24260,                121638,                121638,,,,,,,                   -810,                              0,                   -810,                   -810,                120828,,                121638,                              0,,                120828,                              0,,                              1.83,                              1.83,,                              1.82,                              1.82,,,,,,,,,,,,,,,,,
6414,2014年度,,,              5052080,              5052080,,,              4110358,              4110358,                941722,                941722,,,                115221,,                 67469,,                136889,                319579,                622143,,,                  7144,                  7144,,                 74598,,                     31,,                              0,                 81711,                703854,,                121509,                582345,                582345,,,                     71,                     12,                     59,,                   -141,                 68771,                 68630,                 68689,                651034,,                562161,                 20184,,                574877,                 76157,,                              8.63,                              8.63,,                              8.60,                              8.60,                   -141,                 68771,                     71,                     12,,,,,,,,,,,,,
6414,2014年01月01日至2014年09月30日,,,              2949028,              2949028,,,              2366350,              2366350,                582678,                582678,,,                 76159,,                 34811,,                 83256,                194226,                388452,,,,                  6798,,                 23202,,                     31,,,                 29969,                418421,,                 71020,                347401,                347401,,,,,,,                    199,                  2080,                  2279,                  2279,                349680,,                347882,                   -481,,                350161,                   -481,,                              5.38,                              5.38,,                              5.36,                              5.36,,,,,,,,,,,,,,,,,
