證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 國外營運機構財務報表換算之兌換差額,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 當期所得稅費用（利益）
6451,2015年第3季,,,              1315111,              1315111,,,                962607,                962607,                962607,                352504,                352504,,,                  7021,,                 55343,,                 48787,                111151,                241353,,,                 18604,,                132819,,                    722,                150701,                392054,,                 36678,                  1342,                 38020,                354034,                354034,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                140174,                140174,                140174,                494208,,                354034,,                494208,,                              3.36,                              3.36,,                              3.35,                              3.35,,,,,,,,,,,
6451,2015年第2季,,,              1330051,              1330051,,,              1079854,              1079854,              1079854,                250197,                250197,,,                  7281,,                 47472,,                 35761,                 90514,                159683,,,                 11512,,                 27830,,                     61,                 39281,                198964,,,,                 12669,                186295,                186295,,,,,,,,,,,,,,                -48503,                -48503,                -48503,                137792,,                186295,,                137792,,                              1.77,                              1.77,,                              1.76,                              1.76,,              1330051,              1330051,,,,,,,,
6451,2015年01月01日至2015年09月30日,,,              4339909,              4339909,,,              3360289,              3360289,              3360289,                979620,                979620,,,                 20392,,                146149,,                127938,                294479,                685141,,,                 38811,,                181953,,                  1808,                218956,                904097,,                119532,                 12394,                131926,                772171,                772171,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 85432,                 85432,                 85432,                857603,,                772171,,                857603,,                              7.44,                              7.44,,                              7.40,                              7.40,,,,,,,,,,,
6451,2015年01月01日至2015年06月30日,,,              3024798,              3024798,,,              2397682,              2397682,              2397682,                627116,                627116,,,                 13371,,                 90806,,                 79151,                183328,                443788,,,                 20207,,                 49134,,                  1086,                 68255,                512043,,,,                 93906,                418137,                418137,,,,,,,,,,,,,,                -54742,                -54742,                -54742,                363395,,                418137,,                363395,,                              4.06,                              4.06,,                              4.04,                              4.04,,              3024798,              3024798,,,,,,,,
6451,2015年01月01日至2015年03月31日,,,              1694747,              1694747,,,              1317828,              1317828,              1317828,                376919,                376919,,,                  6090,,                 43334,,                 43390,                 92814,                284105,,,                  8695,,                 21304,,                  1025,                 28974,                313079,,                 81237,,                 81237,                231842,                231842,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -6239,                 -6239,                 -6239,                225603,,                231842,,                225603,,,                              2.30,,,                              2.30,,,,,,,,,,,
6451,2014年第3季,,,              1648791,              1648791,,,              1255350,              1255350,              1255350,                393441,                393441,,,                  8832,,                 43911,,                 64421,                117164,                276277,,,                 17561,,                -16810,,                    988,                   -237,                276040,,                 36036,                  6867,                 42903,                233137,                233137,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                135214,                135214,                135214,                368351,,                233137,,                368351,,                              2.56,                              2.56,,                              2.54,                              2.54,,,,,,,,,,,
6451,2014年第2季,,,              1009251,              1009251,,,                690340,                690340,                690340,                318911,                318911,,,                  6524,,                 33824,,                 49034,                 89382,                229529,,,                 19564,,                 13403,,                              0,                 32967,                262496,,,,                 57454,                205042,                205042,,,,,,,,,,,,,,                -79358,                -79358,                -79358,                125684,,                205042,,                125684,,                              2.25,                              2.25,,                              2.24,                              2.24,,              1009251,              1009251,,,,,,,,
6451,2014年度,,,              5376274,              5376274,,,,,              3984148,              1392126,              1392126,,,                 28841,,                205436,,                252248,                486525,                905601,,,                 59000,,                -19084,,                  3308,                 36608,                942209,,,,                 18373,                923836,                923836,,,,,,,,,,,,,,,,                166773,              1090609,,                923836,,              1090609,,,                             10.23,,,                             10.12,,,              5424676,                  3498,                 44904,                166773,                              0,                              0,                              0,                              0,
6451,2014年01月01日至2014年09月30日,,,              3416855,              3416855,,,              2429733,              2429733,              2429733,                987122,                987122,,,                 20266,,                140512,,                156191,                316969,                670153,,,                 45334,,                 12924,,                    988,                 57270,                727423,,                121597,                 35080,                156677,                570746,                570746,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 15987,                 15987,                 15987,                586733,,                570746,,                586733,,                              6.33,                              6.33,,                              6.29,                              6.29,,,,,,,,,,,
6451,2014年01月01日至2014年06月30日,,,              1768064,              1768064,,,              1174383,              1174383,              1174383,                593681,                593681,,,                 11434,,                 96601,,                 91770,                199805,                393876,,,                 27773,,                 29734,,                              0,                 57507,                451383,,,,                113774,                337609,                337609,,,,,,,,,,,,,,               -119227,               -119227,               -119227,                218382,,                337609,,                218382,,                              3.76,                              3.76,,                              3.75,                              3.75,,              1768064,              1768064,,,,,,,,
