證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
6456,2015年第3季,,             27032820,,             24210860,              2821960,              2821960,,,                151035,,                810839,,                435290,              1397164,              1424796,,,                 16290,,               -188606,,                 95861,,                              0,               -268177,              1156619,,                200463,                956156,                956156,,,                431945,                  1815,                433760,                433760,              1389916,,                956156,                              0,,              1389916,                              0,,                              3.11,                              3.11,,                              3.08,                              3.08,
6456,2015年第2季,,             13915304,,             12980178,                935126,                935126,,,                 80306,,                579406,,                305971,                965683,                -30557,,,                 66204,,                136562,,                 86148,,                              0,                116618,                 86061,,                -11898,                 97959,                 97959,,,                -84365,                 -1815,                -86180,                -86180,                 11779,,                 97959,                              0,,                 11779,                              0,,                              0.34,                              0.34,,                              0.34,                              0.34,
6456,2015年01月01日至2015年09月30日,,             56169341,,             51639379,              4529962,              4529962,,,                333317,,              1987036,,                988022,              3308375,              1221587,,,                173454,,                155389,,                240979,,                -13180,                 74684,              1296271,,                204796,              1091475,              1091475,,,                279116,                              0,                279116,                279116,              1370591,,              1091475,                              0,,              1370591,                              0,,                              3.72,                              3.72,,                              3.68,                              3.68,
6456,2015年01月01日至2015年06月30日,,             29136521,,             27428519,              1708002,              1708002,,,                182282,,              1176197,,                552732,              1911211,               -203209,,,                157164,,                343995,,                145118,,                -13180,                342861,                139652,,                  4333,                135319,                135319,,,               -152829,                 -1815,               -154644,               -154644,                -19325,,                135319,                              0,,                -19325,                              0,,                              0.47,                              0.47,,                              0.47,                              0.47,
6456,2015年01月01日至2015年03月31日,,             15221217,,             14448341,                772876,                772876,,,                101976,,                596791,,                246761,                945528,               -172652,,,                 90960,,                207433,,                 58970,,                -13180,                226243,                 53591,,                 16231,                 37360,                 37360,,,                -68464,,                -68464,                -68464,                -31104,,                 37360,                              0,,                -31104,                              0,,                              0.13,                              0.13,,                              0.13,                              0.13,
6456,2014年第3季,,             20417820,,             18827344,              1590476,              1590476,,,                104097,,                563411,,                278896,                946404,                644072,,,                 99532,,                 15081,,                116503,,                -22219,                -24109,                619963,,                 77988,                541975,                541975,,,                161845,                              0,                161845,                161845,                703820,,                541975,                              0,,                703820,                              0,,                              1.92,                              1.92,,                              1.91,                              1.91,
6456,2014年第2季,,             14563725,,             13566165,                997560,                997560,,,                 46578,,                545649,,                220052,                812279,                185281,,,                 68961,,                 59723,,                121111,,                 -4003,                  3570,                188851,,                 43296,                145555,                145555,,,               -108485,                              0,               -108485,               -108485,                 37070,,                145555,                              0,,                 37070,                              0,,                              0.53,                              0.53,,                              0.52,                              0.52,
6456,2014年度,,             75963195,,             70272560,              5690635,              5690635,,,                430981,,              2442694,,              1013325,              3887000,              1803635,,,                282584,,                 61011,,                483154,,                -49779,               -189338,              1614297,,                279025,              1335272,              1335272,,,,,,                272944,              1608216,,              1335272,                              0,,              1608216,                              0,,                              4.81,                              4.81,,                              4.75,                              4.75,                272944
6456,2014年01月01日至2014年09月30日,,             51829709,,             48065260,              3764449,              3764449,,,                258091,,              1695534,,                683658,              2637283,              1127166,,,                250255,,                 -3691,,                369304,,                -48495,               -171235,                955931,,                171232,                784699,                784699,,,                 66286,                              0,                 66286,                 66286,                850985,,                784699,                              0,,                850985,                              0,,                              2.84,                              2.84,,                              2.81,                              2.81,
6456,2014年01月01日至2014年06月30日,,             31411889,,             29237916,              2173973,              2173973,,,                153994,,              1132123,,                404762,              1690879,                483094,,,                150723,,                -18772,,                252801,,                -26276,               -147126,                335968,,                 93244,                242724,                242724,,,                -95559,                              0,                -95559,                -95559,                147165,,                242724,                              0,,                147165,                              0,,                              0.89,                              0.89,,                              0.88,                              0.88,
