證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 維修收入,　　　　 維修收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 維修成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額
8114,2015年第3季,,,                794390,,,                              0,,                  2349,                  2349,                796739,,,                453353,,,                              0,                  1360,                  1360,                454713,                342026,                342026,,,                 65160,,                 62211,,                 23547,                150918,                191108,,,                  2295,                  2295,,                 54698,,                  3785,                 53208,                244316,,                 40838,                203478,                203478,,,                  3792,                  3792,                  3792,                207270,,                203889,                   -411,,                207180,                     90,,                              3.01,,                              2.83,,,,,,,,,
8114,2015年第2季,,,                754236,,,                  1716,,                  4863,                  6579,                760815,,,                429604,,,                    465,                    553,                  1018,                430622,                330193,                330193,,,                 54696,,                 57131,,                 29821,                141648,                188545,,,                  2495,                  2495,,                -12733,,                  3348,                -13586,                174959,,                 16699,                158260,                158260,,,                 -2748,                 -2748,                 -2748,                155512,,                156866,                  1394,,                154654,                    858,,                              2.32,,                              2.19,,,,,,,,,
8114,2015年01月01日至2015年09月30日,,,              2206292,,,                  2753,,                  8936,                 11689,              2217981,,,              1270019,,,                    711,                  3549,                  4260,              1274279,                943702,                943702,,,                179242,,                172341,,                 75227,                426810,                516892,,,                  7636,                  7636,,                 33301,,                 10897,                 30040,                546932,,                 73455,                473477,                473477,,,                    781,                    781,                    781,                474258,,                470365,                  3112,,                471260,                  2998,,                              6.95,,                              6.55,,,,,,,,,
8114,2015年01月01日至2015年06月30日,,,              1411902,,,                  2753,,                  6587,                  9340,              1421242,,,                816666,,,                    711,                  2189,                  2900,                819566,                601676,                601676,,,                114082,,                110130,,                 51680,                275892,                325784,,,                  5341,                  5341,,                -21397,,                  7112,                -23168,                302616,,                 32617,                269999,                269999,,,                 -3011,                 -3011,                 -3011,                266988,,                266476,                  3523,,                264080,                  2908,,                              3.94,,                              3.73,,,,,,,,,
8114,2015年01月01日至2015年03月31日,,,                657666,,,                  1037,,                  1724,                  2761,                660427,,,                387062,,,                    246,                  1636,                  1882,                388944,                271483,                271483,,,                 59386,,                 52999,,                 21859,                134244,                137239,,,                  2846,                  2846,,                 -8664,,                  3764,                 -9582,                127657,,                 15918,                111739,                111739,,,                   -263,                   -263,                   -263,                111476,,                109610,                  2129,,                109426,                  2050,,                              1.68,,                              1.60,,,,,,,,,
8114,2014年第3季,,,                637424,,,                  1184,,                  3477,                  4661,                642085,,,                363485,,,                    146,                  3407,                  3553,                367038,                275047,                275047,,,                 53539,,                 47961,,                 24076,                125576,                149471,,,                  3096,                  3096,,                 16290,,                  3758,                 15628,                165099,,                 31273,                133826,                133826,,,                  1732,                  1732,                  1732,                135558,,                133007,                    819,,                134860,                    698,,                              1.97,,                              1.93,,,,,,,,,
8114,2014年第2季,,,                748407,,,                    995,,                  3008,                  4003,                752410,,,                434579,,,                    249,                  3165,                  3414,                437993,                314417,                314417,,,                 46055,,                 46528,,                 21342,                113925,                200492,,,                  2326,                  2326,,                -14765,,                    736,                -13175,                187317,,                 30462,                156855,                156855,,,                   -948,                   -948,                   -948,                155907,,                157076,                   -221,,                156374,                   -467,,                              2.32,,                              2.31,,,,,,,,,
8114,2014年度,,,              2796819,,,                  7212,,                 15444,                 22656,              2819475,,,              1625917,,,                  1058,                 15384,                 16442,              1642359,              1177116,              1177116,,,                207447,,                218427,,                 96326,                522200,                654916,,,                 11664,                 11664,,                 44986,,                 10141,                 46509,                701425,,                116134,                585291,                585291,,,,,                    756,                586047,,                580115,                  5176,,                580676,                  5371,,                              8.88,,                              8.63,                 10141,                  1511,                   -909,                   -154,,,,,
8114,2014年01月01日至2014年09月30日,,,              2127798,,,                  3215,,                 11791,                 15006,              2142804,,,              1236200,,,                    687,                  9237,                  9924,              1246124,                896680,                896680,,,                156693,,                154596,,                 71364,                382653,                514027,,,                  8409,                  8409,,                 26149,,                  5542,                 29016,                543043,,                 96479,                446564,                446564,,,                   -266,                   -266,                   -266,                446298,,                443321,                  3243,,                443001,                  3297,,                              6.55,,                              6.45,,,,,,,,,
8114,2014年01月01日至2014年06月30日,,,              1490374,,,                  2031,,                  8314,                 10345,              1500719,,,                872715,,,                    541,                  5830,                  6371,                879086,                621633,                621633,,,                103154,,                106635,,                 47288,                257077,                364556,,,                  5313,                  5313,,                  9859,,                  1784,                 13388,                377944,,                 65206,                312738,                312738,,,                 -1998,                 -1998,                 -1998,                310740,,                310314,                  2424,,                308141,                  2599,,                              4.59,,                              4.55,,,,,,,,,
