證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8163,2015年第3季,,              4799535,,              4378671,                420864,                420864,,,                290234,,                172085,,                245134,                707453,,                718530,                431941,,,                 28847,,                200640,,                 11055,                218432,                650373,,                152500,                497873,                497873,,,                340813,                -26330,                              0,                314483,                314483,                812356,,                495943,                  1930,,                810426,                  1930,,                              1.58,,                              1.55,,,,
8163,2015年第2季,,              4891803,,              4302717,                589086,                589086,,,                227687,,                139432,,                198005,                565124,,,                 23962,,,                 12896,,                  1910,,                 10347,                  4459,                 28421,,                  5514,                 22907,                 22907,,,                -85931,                -34650,,               -120581,               -120581,                -97674,,                 22061,                    846,,                -98520,                    846,,                              0.07,,                              0.07,,,,
8163,2015年01月01日至2015年09月30日,,             14876251,,             13236970,              1639281,              1639281,,,                754263,,                455571,,                647438,              1857272,,                718530,                500539,,,                 52812,,                202272,,                 33265,                221819,                722358,,                166858,                555500,                555500,,,                182015,                -72672,                              0,                109343,                109343,                664843,,                553387,                  2113,,                662730,                  2113,,                              1.74,,                              1.72,,,,
8163,2015年01月01日至2015年06月30日,,             10076716,,              8858299,              1218417,              1218417,,,                464029,,                283486,,                402304,              1149819,,,                 68598,,,                 23965,,                  1632,,                 22210,                  3387,                 71985,,                 14358,                 57627,                 57627,,,               -158798,                -46342,,               -205140,               -205140,               -147513,,                 57444,                    183,,               -147696,                    183,,                              0.18,,                              0.18,,,,
8163,2015年01月01日至2015年03月31日,,              5184913,,              4555582,                629331,                629331,,,                236342,,                144054,,                204299,                584695,,,                 44636,,,                 11069,,                   -278,,                 11863,                 -1072,                 43564,,                  8844,                 34720,                 34720,,,                -72867,                -11692,                              0,                -84559,                -84559,                -49839,,                 35383,                   -663,,                -49176,                   -663,,                              0.11,,                              0.11,,,,
8163,2014年第3季,,              5554901,,              4889773,                665128,                665128,,,                248707,,                150091,,                213853,                612651,,                              0,                 52477,,,                 27284,,                 15610,,                 20257,                 22637,                 75114,,                    407,                 74707,                 74707,,,                141774,                  9190,                              0,                150964,                150964,                225671,,                 74993,                   -286,,                225957,                   -286,,                              0.24,,                              0.24,,,,
8163,2014年第2季,,              5352161,,              4750826,                601335,                601335,,,                244105,,                147720,,                209161,                600986,,,                    349,,,                 23060,,                 64935,,                 23208,                 64787,                 65136,,                 14150,                 50986,                 50986,,,               -117647,                -11024,,               -128671,               -128671,                -77685,,                 51320,                   -334,,                -77351,                   -334,,                              0.16,,                              0.16,,,,
8163,2014年度,,             21577869,,             19152305,              2425564,              2425564,,,                980111,,                589047,,                838342,              2407500,,,                 18064,,,                 85816,,                 92848,,                 84137,                 94527,                112591,,                 34117,                 78474,                 78474,,,,,,,                303833,                382307,,                 78119,                    355,,                381952,                    355,,                              0.24,,                              0.24,                295977,                 10434,                 -3094,                   -516
8163,2014年01月01日至2014年09月30日,,             15751612,,             14050171,              1701441,              1701441,,,                722350,,                434454,,                616092,              1772896,,                              0,                -71455,,,                 69410,,                 86752,,                 68986,                 87176,                 15721,,                 14557,                  1164,                  1164,,,                 77212,                  8521,                              0,                 85733,                 85733,                 86897,,                  1671,                   -507,,                 87404,                   -507,,                              0.01,,                              0.01,,,,
8163,2014年01月01日至2014年06月30日,,             10196711,,              9160398,              1036313,              1036313,,,                473643,,                284363,,                402239,              1160245,,,               -123932,,,                 42126,,                 71142,,                 48729,                 64539,                -59393,,                 14150,                -73543,                -73543,,,                -64562,                   -669,,                -65231,                -65231,               -138774,,                -73322,                   -221,,               -138553,                   -221,,                             -0.23,,                             -0.23,,,,
