證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）
8249,2015年第3季,,              1418168,,              1175336,                242832,                242832,,,                 25436,,                 50236,,                 34594,                110266,                132566,,,                 42114,,                 35894,,                  7889,,                 13347,                 83466,                216032,,                 75423,                140609,                140609,,,                 54851,                    328,,                 -5786,                 49393,                 49393,                190002,,                140609,,                190002,,                              1.11,                              1.11,,                              1.09,                              1.09,,,,,,,,,,
8249,2015年第2季,,              1348125,,              1140461,                207664,                207664,,,                 33074,,                 41093,,                 30357,                104524,                103140,,,                 11056,,                  2503,,                    567,,                  3372,                 16364,                119504,,                 35314,                 84190,                 84190,,,                -23627,                -87761,,                -14015,               -125403,               -125403,                -41213,,                 84190,,                -41213,,                              0.66,                              0.66,,                              0.65,                              0.65,                              0,,,,,,,,,
8249,2015年01月01日至2015年09月30日,,              4037971,,              3410853,                627118,                627118,,,                 91084,,                129667,,                 90094,                310845,                316273,,,                 63799,,                 38837,,                  9405,,                 18091,                111322,                427595,,                137198,                290397,                290397,,,                 32853,                -96848,,                -15810,                -79805,                -79805,                210592,,                290397,,                210592,,                              2.29,                              2.29,,                              2.23,                              2.23,,,,,,,,,,
8249,2015年01月01日至2015年06月30日,,              2619803,,              2235517,                384286,                384286,,,                 65648,,                 79431,,                 55500,                200579,                183707,,,                 21685,,                  2943,,                  1516,,                  4744,                 27856,                211563,,                 61775,                149788,                149788,,,                -21998,                -97176,,                -10024,               -129198,               -129198,                 20590,,                149788,,                 20590,,                              1.18,                              1.18,,                              1.16,                              1.16,                              0,,,,,,,,,
8249,2015年01月01日至2015年03月31日,,              1271678,,              1095056,                176622,                176622,,,                 32574,,                 38338,,                 25143,                 96055,                 80567,,,                 10629,,                    440,,                    949,,                  1372,                 11492,                 92059,,                 26461,                 65598,                 65598,,,                  1629,                 -9415,,                  3991,                 -3795,                 -3795,                 61803,,                 65598,,                 61803,,                              0.52,                              0.52,,                              0.51,                              0.51,,,,,,,,,,
8249,2014年第3季,,              1513020,,              1292810,                220210,                220210,,,                 27010,,                 44891,,                 30517,                102418,                117792,,,                 45788,,                -12202,,                  1913,,                  5891,                 37564,                155356,,                 34539,                120817,                120817,,,                 59456,                -27787,,                 -4940,                 26729,                 26729,                147546,,                120817,,                147546,,                              0.95,                              0.95,,                              0.94,                              0.94,,,,,,,,,,
8249,2014年第2季,,              1432946,,              1250013,                182933,                182933,,,                 21049,,                 37030,,                 25177,                 83256,                 99677,,,                 18018,,                 -7557,,                  1517,,                  3786,                 12730,                112407,,                 32917,                 79490,                 79490,,,                -42007,                -33876,,                 -3607,                -79490,                -79490,                              0,,                 79490,,                              0,,                              0.63,                              0.63,,                              0.62,                              0.62,                              0,,,,,,,,,
8249,2014年度,,              5374179,,              4652951,                721228,                721228,,,                 94457,,                167675,,                112361,                374493,                346735,,,                 88747,,                -40219,,                  6367,,                 15452,                 57613,                404348,,                 95852,                308496,                308496,,,,,,,,                 -8138,                300358,,                308496,,                300358,,                              2.43,                              2.43,,                              2.39,                              2.39,                              0,                 84742,                -88934,                  2046,,                 -5644,                    348,                              0,                              0,                              0
8249,2014年01月01日至2014年09月30日,,              4248549,,              3679430,                569119,                569119,,,                 68031,,                122968,,                 81758,                272757,                296362,,,                 73397,,                -19650,,                  4720,,                 15004,                 64031,                360393,,                 89365,                271028,                271028,,,                  7160,                -73231,,                 -2730,                -68801,                -68801,                202227,,                271028,,                202227,,                              2.13,                              2.13,,                              2.10,                              2.10,,,,,,,,,,
8249,2014年01月01日至2014年06月30日,,              2735529,,              2386620,                348909,                348909,,,                 41021,,                 78077,,                 51241,                170339,                178570,,,                 27609,,                 -7448,,                  2807,,                  9113,                 26467,                205037,,                 54826,                150211,                150211,,,                -52296,                -45444,,                  2210,                -95530,                -95530,                 54681,,                150211,,                 54681,,                              1.18,                              1.18,,                              1.17,                              1.17,                              0,,,,,,,,,
