證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
8926,2014年第3季,,,                288321,,                 46213,,                 48341,                382875,,,                183675,,                 63544,                 48877,                296096,                 86779,                 86779,,                 59589,                 27190,,,                 27899,                  4028,                 31927,,                  8159,,                 10063,,                373550,                403573,                430763,,                -52643,                483406,                483406,,                 -1190,                -20800,,                  1910,                  1436,                  3346,                 -3170,                -15474,                467932,,                483406,,                467932,,                              0.82,                              0.82,,                              0.82,                              0.82,,,,
8926,2014年第2季,,,                263466,,                168963,,                 36811,                469240,,,                190216,,                170545,                 37277,                398038,                 71202,                 71202,,                 52295,                 18907,,,                              0,                 12886,                 12886,,                 -3145,,                 10421,,                386134,                385454,                404361,,                 10479,                393882,                393882,,                  1694,                -20000,,                 -2869,                    990,                 -1879,                 -3431,                -16754,                377128,,                393882,,                377128,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,
8926,2014年01月01日至2014年09月30日,,,                777889,,                342130,,                112456,              1232475,,,                544827,,                350711,                113747,              1009285,                223190,                223190,,                171581,                 51609,,,                402379,                 21593,                423972,,                 13369,,                 28690,,                990230,              1398881,              1450490,,                 16431,              1434059,              1434059,,                  2972,                -14200,,                 -1381,                  3583,                  2202,                 -1535,                 -7491,              1426568,,              1434059,,              1426568,,                              2.43,                              2.43,,                              2.42,                              2.42,,,,
8926,2014年01月01日至2014年06月30日,,,                489568,,                295917,,                 64115,                849600,,,                361152,,                287167,                 64870,                713189,                136411,                136411,,                111992,                 24419,,,                374480,                 17565,                392045,,                  5210,,                 18627,,                616680,                995308,              1019727,,                 69074,                950653,                950653,,                  4162,                  6600,,                 -3291,                  2147,                 -1144,                  1635,                  7983,                958636,,                950653,,                958636,,                              1.61,                              1.61,,                              1.61,                              1.61,,,,
8926,2014年01月01日至2014年03月31日,,,                226102,,                126954,,                 27304,                380360,,,                170936,,                116622,                 27593,                315151,                 65209,                 65209,,                 59697,                  5512,,,                374480,                  4679,                379159,,                  8355,,                  8206,,                230546,                609854,                615366,,                 58595,                556771,                556771,,                  2468,                 26600,,                   -422,                  1157,                    735,                  5066,                 24737,                581508,,                556771,,                581508,,                              0.95,                              0.95,,                              0.94,                              0.94,,,,
8926,2013年第3季,,,                262565,,                275365,,                 44601,                582531,,,                202007,,                265080,                 45301,                512388,                 70143,                 70143,,                 49798,                 20345,,,                              0,                  4677,                  4677,,                -30069,,                  8169,,                287659,                254098,                274443,,                  2153,                272290,                272290,,                 -4084,                 20600,,                    332,                  1339,                  1671,                              0,                 18187,                290477,,                272290,,                290477,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,
8926,2013年第2季,,,                239366,,                414196,,                 35972,                689534,,,                200690,,                754599,                 36421,                991710,               -302176,               -302176,,                 37216,               -339392,,,                              0,                 29298,                 29298,,                 -7319,,                  8043,,                313114,                327050,                -12342,,                 15389,                -27731,                -27731,,                -20028,                  1000,,                    170,                  1385,                  1555,                              0,                -17473,                -45204,,                -27731,,                -45204,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,,
8926,2013年07月01日至2013年09月30日,,,                262565,,                275365,,                 44601,                582531,,,                202007,,                265080,                 45301,                512388,                 70143,                 70143,,                 49798,                 20345,,,,,                  4677,,                -30069,,                  8169,,                287659,                254098,                274443,,                  2153,                272290,                272290,,                 -4084,                 20600,,                    332,                  1339,                  1671,,                 18187,                290477,,                272290,,                290477,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,
8926,2013年04月01日至2013年06月30日,,,                239366,,                414196,,                 35972,                689534,,,                200690,,                754599,                 36421,                991710,               -302176,               -302176,,                 37216,               -339392,,,,,                 31010,,                 -9031,,                  8043,,                313114,                327050,                -12342,,                 15389,                -27731,                -27731,,                -20028,                  1000,,                    170,                  1385,                  1555,,                -17473,                -45204,,                -27731,,                -45204,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,,
8926,2013年01月01日至2013年12月31日,,,                966132,,              1567702,,                138986,              2672820,,,                767971,,              1862203,                140925,              2771099,                -98279,                -98279,,                179089,               -277368,,,,,                 53829,,                -21196,,                 31119,,              1070023,              1071537,                794169,,                 28090,                766079,                766079,,                -18513,                 19400,,                  2051,                  4209,                  4574,                  3662,                  1904,                767983,,                766079,,                767983,,                              1.30,                              1.30,,                              1.30,                              1.30,                    105,                 -1686,,
8926,2013年01月01日至2013年09月30日,,,                706742,,              1188671,,                106934,              2002347,,,                579171,,              1504853,                108428,              2192452,               -190105,               -190105,,                133692,               -323797,,,                              0,                 47073,                 47073,,                -30188,,                 23432,,                819992,                813445,                489648,,                 21263,                468385,                468385,,                -14399,                 26000,,                  1182,                  3811,                  4993,                              0,                 16594,                484979,,                468385,,                484979,,                              0.80,                              0.80,,                              0.79,                              0.79,,,,
8926,2013年01月01日至2013年06月30日,,,                444177,,                913306,,                 62333,              1419816,,,                377164,,              1239773,                 63127,              1680064,               -260248,               -260248,,                 83894,               -344142,,,                              0,                 42396,                 42396,,                   -119,,                 15263,,                532333,                559347,                215205,,                 19110,                196095,                196095,,                -10315,                  5400,,                    850,                  2472,                  3322,                              0,                 -1593,                194502,,                196095,,                194502,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,
8926,2013年01月01日至2013年03月31日,,,                204811,,                499110,,                 26361,                730282,,,                176474,,                485174,                 26706,                688354,                 41928,                 41928,,                 46678,                 -4750,,,                              0,                 13098,                 13098,,                  7200,,                  7220,,                219219,                232297,                227547,,                  3721,                223826,                223826,,                  9713,                  4400,,                    680,                  1087,                  1767,                              0,                 15880,                239706,,                223826,,                239706,,                              0.38,                              0.38,,                              0.38,                              0.38,,,                              0,                              0
8926,2012年07月01日至2012年09月30日,,,                274111,,                585733,,                 45206,                905050,,,                193539,,                572090,                 46173,                811802,                 93248,                 93248,,                 57469,                 35779,,,,,                  3968,,                 -3536,,                  7779,,                302187,                294840,                330619,,                  1529,                329090,                329090,,                 -5200,                -15800,,                    434,                    716,                  1150,,                -19850,                309240,,                329090,,                309240,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,
8926,2012年04月01日至2012年06月30日,,,                238706,,                373210,,                 31430,                643346,,,                203750,,                386309,                 32315,                622374,                 20972,                 20972,,                 57734,                -36762,,,,,                 25080,,                 -4984,,                 16550,,                313993,                317539,                280777,,                  3718,                277059,                277059,,                 15098,                 20400,,                     32,                 -1038,                 -1006,,                 34492,                311551,,                277059,,                311551,,                              0.47,                              0.47,,                              0.47,                              0.47,,,,
8926,2012年01月01日至2012年12月31日,,,                952454,,              2289189,,                128435,              3370078,,,                764624,,              2577075,                131566,              3473265,               -103187,               -103187,,                203618,               -306805,,,,,                 29085,,                -17347,,                 42649,,              1079144,              1048233,                741428,,                 10639,                730789,                730789,,                 11798,                -34600,,                    723,                  3148,                  2916,                 -2413,                -31665,                699124,,                730789,,                699124,,                              1.24,                              1.24,,                              1.23,                              1.23,                -14192,                   -955,,
8926,2012年01月01日至2012年09月30日,,,                705622,,              1635667,,                 99119,              2440408,,,                578287,,              1696807,                101626,              2376720,                 63688,                 63688,,                171192,               -107504,,,,,                 32188,,                -22042,,                 35425,,                901533,                876254,                768750,,                 11248,                757502,                757502,,                  7732,                 10600,,                    466,                  1660,                  2126,,                 20458,                777960,,                757502,,                777960,,                              1.29,                              1.29,,                              1.28,                              1.28,,,,
8926,2012年01月01日至2012年06月30日,,,                431511,,              1049934,,                 53913,              1535358,,,                384748,,              1124717,                 55453,              1564918,                -29560,                -29560,,                113723,               -143283,,,,,                 28220,,                -18506,,                 27646,,                599346,                581414,                438131,,                  9719,                428412,                428412,,                 12932,                 26400,,                     32,                    944,                    976,,                 40308,                468720,,                428412,,                468720,,                              0.73,                              0.73,,                              0.72,                              0.72,,,,
8926,2012年01月01日至2012年03月31日,,,                192805,,                676724,,                 22483,                892012,,,                180998,,                738408,                 23138,                942544,                -50532,                -50532,,                 55989,               -106521,,,,,                  3140,,                -13522,,                 11096,,                285353,                263875,                157354,,                  6001,                151353,                151353,,                 -2166,                  6000,,                              0,                  1982,                  1982,,                  5816,                157169,,                151353,,                157169,,                              0.26,                              0.26,,                              0.26,                              0.26,,,                              0,                              0
