證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
9933,2015年第3季,,             16439837,,             15083701,              1356136,              1356136,,,                844567,,                 31765,                876332,                479804,,,                 66617,,                318995,,                 19365,,                  9254,                375501,                855305,,                230497,                624808,                624808,,,                              0,                              0,,                120447,               -128746,                 -8299,                 -8299,                616509,,                451780,                173028,,                458670,                157839,,                              0.59,                              0.59,,                              0.59,                              0.59,,
9933,2015年第2季,,             16485313,,             15231743,              1253570,              1253570,,,                341098,,                 16436,                357534,                896036,,,                 51644,,                -66969,,                 17729,,                   -655,                -33709,                862327,,                167303,                695024,                695024,,,                              0,                              0,,                -53868,                -35366,                -89234,                -89234,                605790,,                566360,                128664,,                494067,                111723,,                              0.75,                              0.75,,                              0.74,                              0.74,,
9933,2015年第1季,,             13378271,,             12222546,              1155725,              1155725,,,                383113,,                 26117,                409230,                746495,,,                 53405,,                -80826,,                 22800,,                 -7873,                -58094,                688401,,                155277,                533124,                533124,,,                              0,                              0,,                -40710,                -21982,                -62692,                -62692,                470432,,                422287,                110837,,                363911,                106521,,                              0.56,                              0.56,,                              0.55,                              0.55,,
9933,2015年01月01日至2015年09月30日,,             46303421,,             42537990,              3765431,              3765431,,,              1568778,,                 74318,              1643096,              2122335,,,                171666,,                171200,,                 59894,,                    726,                283698,              2406033,,                553077,              1852956,              1852956,,,                              0,                              0,,                 25869,               -186094,               -160225,               -160225,              1692731,,              1440427,                412529,,              1316648,                376083,,                              1.90,                              1.90,,                              1.89,                              1.89,,
9933,2015年01月01日至2015年06月30日,,             29863584,,             27454289,              2409295,              2409295,,,                724211,,                 42553,                766764,              1642531,,,                105049,,               -147795,,                 40529,,                 -8528,                -91803,              1550728,,                322580,              1228148,              1228148,,,                              0,                              0,,                -94578,                -57348,               -151926,               -151926,              1076222,,                988647,                239501,,                857978,                218244,,                              1.31,                              1.31,,                              1.30,                              1.30,,
9933,2014年第3季,,             14555478,,             13485018,              1070460,              1070460,,,                412294,,                 23157,                435451,                635009,,,                 99311,,                 85322,,                 11144,,                  4525,                178014,                813023,,                152036,                660987,                660987,,,                 28457,                 28457,,                 52717,                -56412,                 -3695,                 24762,                685749,,                515944,                145043,,                541464,                144285,,                              0.69,                              0.69,,                              0.68,                              0.68,,
9933,2014年第2季,,             13884242,,             12844858,              1039384,              1039384,,,                356271,,                 26182,                382453,                656931,,,                128745,,               -122761,,                  8263,,                 13392,                 11113,                668044,,                137909,                530135,                530135,,,                 28458,                 28458,,                -39884,                 53010,                 13126,                 41584,                571719,,                432228,                 97907,,                474309,                 97410,,                              0.58,                              0.58,,                              0.57,                              0.57,,
9933,2014年第1季,,             12125362,,             11137553,                987809,                987809,,,                330105,,                 23176,                353281,                634528,,,                 64973,,                -41968,,                 17571,,                 10412,                 15846,                650374,,                115669,                534705,                534705,,,                 28458,                 28458,,                  4903,                -13391,                 -8488,                 19970,                554675,,                435012,                 99693,,                452665,                102010,,                              0.58,                              0.58,,                              0.58,                              0.58,,
9933,2014年度,,             57691937,,             53526514,              4165423,              4165423,,,              1617734,,                103994,              1721728,              2443695,,,                352471,,                167836,,                 89005,,                 31199,                462501,              2906196,,                584468,              2321728,              2321728,,,,,,,,,                    583,              2322311,,              1882119,                439609,,              1903144,                419167,,                              2.51,                              2.51,,                              2.48,                              2.48,                 87199,                -86616
9933,2014年01月01日至2014年09月30日,,             40565082,,             37467429,              3097653,              3097653,,,              1098670,,                 72515,              1171185,              1926468,,,                293029,,                -79407,,                 36978,,                 28329,                204973,              2131441,,                405614,              1725827,              1725827,,,                 85373,                 85373,,                 17736,                -16793,                    943,                 86316,              1812143,,              1383184,                342643,,              1468438,                343705,,                              1.85,                              1.85,,                              1.82,                              1.82,,
