證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 分期付款銷貨收入,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 利息收入,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 利息費用,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9941,2015年第3季,,,,              1541434,              1541434,                217232,              1758666,,                388719,                388719,,              1745074,,                216293,,                 96315,                 96315,              4205067,,,                717551,,                243290,                243290,,              1497107,                 25779,              2483727,              1721340,              1721340,,              1218806,,                116588,                619122,,,                 12828,,               -323524,,                  5633,               -305063,                314059,,                 33768,                280291,                280291,,,                105504,                   -802,,                 -2316,                102386,                102386,                382677,,                252653,                 27638,,                345420,                 37257,,                              0.95,                              0.95,,                              0.93,                              0.93,,,,,,
9941,2015年第2季,,,,              1541237,              1541237,                206496,              1747733,,                357035,                357035,,              1712847,,                215232,,                 90967,                 90967,              4123814,,,                702191,,                220643,                220643,,              1475191,                 17618,              2415643,              1708171,              1708171,,              1159487,,                 91129,                639813,,,                 10454,,                 33324,,                  5465,                 49243,                689056,,                162793,                526263,                526263,,,                -37801,                    153,,                   -837,                -38485,                -38485,                487778,,                494400,                 31863,,                459281,                 28497,,                              1.86,                              1.86,,                              1.81,                              1.81,,,,,,
9941,2015年01月01日至2015年09月30日,,,,              4657095,              4657095,                615718,              5272813,,              1082478,              1082478,,              5184949,,                654037,,                272345,                272345,             12466622,,,              2178539,,                676134,                676134,,              4440410,                 63508,              7358591,              5108031,              5108031,,              3537056,,                320940,              1891915,,,                 31185,,               -313558,,                 17680,               -264693,              1627222,,                341055,              1286167,              1286167,,,                  1341,                   -975,,                 -2735,                 -2369,                 -2369,              1283798,,              1192694,                 93473,,              1190032,                 93766,,                              4.50,                              4.50,,                              4.36,                              4.36,,,,,,
9941,2015年01月01日至2015年06月30日,,,,              3115661,              3115661,                398486,              3514147,,                693759,                693759,,              3439875,,                437744,,                176030,                176030,              8261555,,,              1460988,,                432844,                432844,,              2943303,                 37729,              4874864,              3386691,              3386691,,              2318250,,                204352,              1272793,,,                 18357,,                  9966,,                 12047,                 40370,              1313163,,                307287,              1005876,              1005876,,,               -104163,                   -173,,                   -419,               -104755,               -104755,                901121,,                940041,                 65835,,                844612,                 56509,,                              3.56,                              3.56,,                              3.45,                              3.45,,,,,,
9941,2015年01月01日至2015年03月31日,,,,              1574424,              1574424,                191990,              1766414,,                336724,                336724,,              1727028,,                222512,,                 85063,                 85063,              4137741,,,                758797,,                212201,                212201,,              1468112,                 20111,              2459221,              1678520,              1678520,,              1158763,,                113223,                632980,,,                  7903,,                -23358,,                  6582,                 -8873,                624107,,                144494,                479613,                479613,,,                -66362,                   -326,,                    418,                -66270,                -66270,                413343,,                445641,                 33972,,                385331,                 28012,,                              1.70,                              1.70,,                              1.64,                              1.64,,,,,,
9941,2014年第3季,,,,              1432219,              1432219,                178733,              1610952,,                299648,                299648,,              1723900,,                236860,,                 95688,                 95688,              3967048,,,                679891,,                195675,                195675,,              1491378,                 17849,              2384793,              1582255,              1582255,,              1162804,,                126859,                546310,,,                  2883,,                 -1013,,                  4805,                  6675,                552985,,                141307,                411678,                411678,,,                 45036,                     11,,                   -394,                 44653,                 44653,                456331,,                379911,                 31767,,                420404,                 35927,,                              1.47,                              1.47,,                              1.40,                              1.40,,,,,,
9941,2014年第2季,,,,              1363630,              1363630,                172254,              1535884,,                186692,                186692,,              1754253,,                244629,,                 74553,                 74553,              3796011,,,                650493,,                180844,                180844,,              1458345,                 17528,              2307210,              1488801,              1488801,,              1015061,,                113699,                587439,,,                 13196,,                  8755,,                  4830,                 26781,                614220,,                145072,                469148,                469148,,,                -47777,                     -5,,                    543,                -47239,                -47239,                421909,,                437918,                 31230,,                395167,                 26742,,                              1.72,                              1.72,,                              1.62,                              1.62,,,,,,
9941,2014年度,,,,              5720588,              5720588,                701027,              6421615,,                840494,                840494,,              7098817,,                946385,,                330026,                330026,             15637337,,,              2774955,,                752729,                752729,,              5907523,                 72558,              9507765,              6129572,              6129572,,              4480637,,                457861,              2106796,,,                 30063,,                  3481,,                 13928,                 47472,              2154268,,                517455,              1636813,              1636813,,,,,,,,                118402,              1755215,,              1514421,                122392,,              1623293,                131922,,                              5.90,                              5.90,,                              5.58,                              5.58,                131822,                 -1127,                -15995,,                    701,                 -3001
9941,2014年01月01日至2014年09月30日,,,,              4101696,              4101696,                517992,              4619688,,                675593,                675593,,              5214916,,                724484,,                234531,                234531,             11469212,,,              1965224,,                541706,                541706,,              4395844,                 51526,              6954300,              4514912,              4514912,,              3145930,,                355644,              1724626,,,                 21264,,                -34068,,                 14201,                  1397,              1726023,,                405842,              1320181,              1320181,,,                 14825,                     15,,                    508,                 15348,                 15348,              1335529,,              1223162,                 97019,,              1237584,                 97945,,                              4.80,                              4.80,,                              4.50,                              4.50,,,,,,
9941,2014年01月01日至2014年06月30日,,,,              2669477,              2669477,                339259,              3008736,,                375945,                375945,,              3491016,,                487624,,                138843,                138843,              7502164,,,              1285333,,                346031,                346031,,              2904466,                 33677,              4569507,              2932657,              2932657,,              1983126,,                228785,              1178316,,,                 18381,,                -33055,,                  9396,                 -5278,              1173038,,                264535,                908503,                908503,,,                -30211,                      4,,                    902,                -29305,                -29305,                879198,,                843251,                 65252,,                817180,                 62018,,                              3.33,                              3.33,,                              3.12,                              3.12,,,,,,
