年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2005,2,1101,台泥,致遠會計師事務所,李明昱,陳慕賢,94-08-24,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1102,亞泥,勤業眾信會計師事務所,范有偉,郭俐雯,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1103,嘉泥,勤業眾信會計師事務所,涂三遷,方小萍,94-08-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1104,環泥,資誠會計師事務所,陳美姿,張明輝,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1108,幸福,勤業眾信會計師事務所,吳恩銘(YYY代表會計師,施景彬(YYY代表會計師,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1109,信大,致遠會計師事務所,賴宗羲,李秀玲,94-07-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1110,東泥,建興聯合會計師事務所,劉吉雄,蔡淑滿,94-08-11,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1201,味全,資誠會計師事務所,吳郁隆,吳漢期,94-08-24,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1203,味王,大中國際聯合會計師事務所,溫明郁,許伯彥,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1210,大成,安侯建業會計師事務所,鍾丹丹,陳眉芳,94-08-30,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1213,大飲,致遠會計師事務所,何 志 儒(YYY代表會計,阮 呂 艷(YYY代表會計,94-08-05,無保留意見
2005,2,1215,卜蜂,資誠會計師事務所,李燕松,王輝賢,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1216,統一,資誠會計師事務所,李明憲,劉子猛,94-08-17,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1217,愛之味,建興聯合會計師事務所,劉吉雄,黃有慶,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1218,泰山,安侯建業會計師事務所,簡蒂暖,林瞳,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1219,福壽,群智聯合會計師事務所,黃春生,陳郁惠,94-07-29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,94-08-12,修正式無保留意見--會計原則變動
2005,2,1225,福懋油,勤業眾信會計師事務所,吳恩銘,謝建新,94-08-03,修正式無保留意見--欲強調某一事項
2005,2,1227,佳格,勤業眾信會計師事務所,張銘政,郭文吉,95-03-22,修正式無保留意見--會計原則變動、欲強調某一事項
2005,2,1229,聯華,安侯建業會計師事務所,許淑敏,江忠儀,94-08-18,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1231,聯華食,勤 業 眾  信  會 計 師 事 務 所,張清福,陳清祥,94-08-01,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1232,大統益,資誠會計師事務所,李明憲,劉子猛,94-08-17,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1233,天仁,致遠 聯 合 會 計 師 事 務 所,"蕭翠慧 (YYY代表會計�/td>鄧泗堂 (YYY代表會計�/td>94/08/02
無保留意見","鄧泗堂 (YYY代表會計�/td>94/08/02
無保留意見",94-08-02,無保留意見
2005,2,1234,黑松,勤 業 眾 信 會 計 師 事 務 所,林義峰,游素環,94-07-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1235,興泰,第一聯合會計師事務所,王戊昌,張福郎,94-08-05,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1236,宏亞,致 遠 會 計 師 事 務 所,徐榮煌,徐憶芳,94-07-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1301,台塑,安侯建業會計師事務所,吳秋華,寇惠植,94-08-16,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1303,南亞,安侯建業會計師事務所,吳秋華,李慈慧,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1304,台聚,勤業眾信會計師事務所,韋亮發,王小蕙,94-08-10,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1305,華夏,勤 業 眾 信 會 計 師 事 務 所,黃秀椿,郭慈容,94-07-27,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1307,三芳,安侯建業會計師事務所,楊博任,陳惠媛,94-08-10,無保留意見
2005,2,1308,亞聚,勤 業 眾 信 會 計 師 事 務 所,王 小 蕙,黃 秀 椿,94-08-01,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1309,台達化,勤業眾信會計師事務所,韋亮發,王小蕙,94-08-09,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1310,台苯,正風聯合會計師事務所,黃國師,周銀來,94-08-19,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1312,國喬,第一聯合會計師事務所,蕭英嘉,林志隆,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1313,聯成,勤業眾信會計師事務所,張銘政,許庭禎,94-08-18,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1314,中石化,安侯建業會計師事務所,陳眉芳,鍾丹丹,93-08-16,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1315,達新,第一聯合會計師事務所,林克武,張福郎,94-08-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1316,上曜,資誠會計師事務所,李明憲,劉子猛,94-08-16,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1319,東陽,致遠會計師事務所,吳健源,蔡清典,94-08-22,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1321,大洋,眾信聯合會計師事務所,吳清堅,蔡松棋,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1323,永裕,勤業眾信會計師事務所,黃李松,林卉娟,94-08-10,無保留意見
2005,2,1324,地球,致遠會計師事務所,楊文安,佟韻玲,94-07-29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1325,恆大,勤業眾信會計師事務所,陳照敏,曾有財,94-07-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1326,台化,致遠會計師事務所,阮呂艷,何志儒,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1402,遠東新,勤業眾信會計師事務所,施景彬,吳恩銘,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
