"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","46434.33","14.60","9.93","10.15","7.97"
"1102","亞泥","32252.76","10.63","6.20","15.89","14.19"
"1103","嘉泥","1408.79","-5.92","-18.04","-0.68","-4.80"
"1104","環球水泥","2558.28","8.43","1.90","26.25","23.91"
"1108","幸福水泥","2636.96","21.77","15.80","14.95","11.71"
"1109","信大水泥","2052.24","10.00","0.70","0.26","-1.42"
"1110","東泥","958.84","8.92","5.94","6.04","6.35"
"1201","味全公司","10243.10","26.26","-6.88","-7.69","-5.92"
"1203","味王公司","3305.34","23.79","10.68","12.52","9.57"
"1210","大成長城","38795.61","9.86","1.19","1.12","0.59"
"1213","大飲","346.48","16.38","3.70","4.37","3.27"
"1215","卜蜂企業","7937.95","11.26","4.45","4.83","3.62"
"1216","統一","209965.31","33.56","5.97","8.21","6.45"
"1217","愛之味","2159.61","31.76","-4.62","-6.17","-5.99"
"1218","泰山企業","3892.57","15.00","-2.39","-0.49","-0.57"
"1219","福壽實業","4630.94","7.55","0.17","0.46","0.26"
"1220","台榮","1601.48","8.23","0.71","1.21","0.91"
"1225","福懋油","5340.28","6.05","1.51","1.09","0.85"
"1227","佳格","12342.59","31.99","12.69","13.10","10.52"
"1229","聯華實業","2562.25","12.38","3.77","39.87","38.94"
"1231","聯華食品","3142.07","19.13","4.36","5.17","4.11"
"1232","大統益","8941.20","9.02","5.84","5.83","4.73"
"1233","天仁","1063.86","58.54","9.66","10.59","8.75"
"1234","黑松","2861.93","32.85","0.00","11.50","9.65"
"1235","興泰","48.89","8.73","-19.36","-65.77","-66.16"
"1236","宏亞食品","1118.77","26.36","4.58","5.07","4.29"
"1262","F-綠悅","2983.04","36.30","29.76","29.54","25.06"
"1301","台塑","98704.48","11.78","6.42","16.90","14.70"
"1303","南亞塑膠","161549.60","14.48","8.89","15.97","12.83"
"1304","台聚","27141.29","11.52","4.72","5.06","4.00"
"1305","華夏","7345.92","14.96","7.60","7.42","5.97"
"1307","三芳化工","5525.50","27.46","12.43","11.61","9.13"
"1308","亞聚","2487.48","12.23","8.38","14.56","12.11"
"1309","台達化工","9101.49","7.53","3.42","3.34","2.99"
"1310","台苯","6469.21","12.97","10.26","9.64","7.84"
"1312","國喬石化","11019.40","16.99","11.28","13.61","11.30"
"1313","聯成","22723.47","5.31","1.41","3.40","2.47"
"1314","中石化","15051.43","2.78","-1.31","3.65","3.53"
