"公司代號","公司名稱","股利所屬年度","權利分派基準日","股票股利-股東配發內容-盈餘轉增資配股(元/股)","股票股利-股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)","股票股利-除權交易日","股票股利-員工紅利-配股總股數(股)","股票股利-員工紅利-配股總金額(元)","股票股利-員工紅利-配股總股數佔盈餘配股總股數之比例(%)","股票股利-員工紅利-員工紅利配股率","現金股利-股東配發內容-盈餘分配之股東現金股利(元/股)","現金股利-股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)","現金股利-除息交易日","現金股利-現金股利發放日","現金股利-員工紅利總金額(元)","現金增資總股數(股)","現金增資認股比率(%)","現金增資認購價(元/股)","董監酬勞(元)","公告日期","公告時間","普通股每股面額"
"1101","台泥","98","2010/07/20","","","","","","",0.00000000,1.80000000,0.0,"2010/07/14","",60847156,"","","",185157641,"2010/06/28","17:00:14","新台幣                 10.0000元"
"1101","台泥","99","2010/12/04",0.0,0.0,"2010/11/26",0.0,0.0,"0.00",0.00000000,"","","","","",400000000,9.720015355,27.00,185157641,"2010/11/19","17:09:45","新台幣                 10.0000元"
"1102","亞泥","98","2010/08/30",0.3000000000,0.0,"2010/08/24",0.0,0.0,"0.00",0.00000000,1.80000000,0.0,"2010/08/24","",269679334,0,0.000000000,0.00,202259500,"2010/08/06","17:43:56","新台幣                 10.0000元"
"1103","嘉泥","98","2010/08/18",0.2000000000,0.0,"2010/08/12",0.0,0.0,"0.00",0.00000000,0.20000000,0.0,"2010/08/12","",13490000,0,0.000000000,0.00,12070000,"2010/07/28","14:54:11","新台幣                 10.0000元"
"1104","環球水泥","98","2010/07/23","","","","","","",0.00000000,0.50000000,0.0,"2010/07/15","",9637000,"","","",9637000,"2010/06/30","16:56:34","新台幣                 10.0000元"
"1108","幸福水泥","98","2010/09/15","","","","","","",0.00000000,0.17000000,0.0,"2010/09/09","",3462912,"","","",5771520,"2010/08/23","14:36:34","新台幣                 10.0000元"
"1109","信大水泥","98","2010/07/20","","","","","","",0.00000000,0.35000000,0.0,"2010/07/14","",971764,"","","",4858818,"2010/06/25","14:26:15","新台幣                 10.0000元"
"1110","東泥","98","2010/07/29","","","","","","",0.00000000,0.20000000,0.0,"2010/07/22","",1191669,"","","",3575005,"2010/07/06","16:15:23","新台幣                 10.0000元"
"1201","味全公司","98","2010/08/04","","","","","","",0.00000000,0.60000000,0.0,"2010/07/29","","","","","",0,"2010/07/08","10:22:29","新台幣                 10.0000元"
"1203","味王公司","98","2010/09/21",0.9231694000,0.0,"2010/09/15",0.0,0.0,"0.00",0.00000000,0.57683060,0.0,"2010/09/15","",7087628,0,0.000000000,0.00,17719068,"2010/09/01","17:34:57","新台幣                 10.0000元"
"1210","大成長城","98","2010/08/16",0.5000000000,0.0,"2010/08/10",0.0,0.0,"0.00",0.00000000,1.20000000,0.0,"2010/08/10","",15000000,0,0.000000000,0.00,15000000,"2010/07/26","15:15:56","新台幣                 10.0000元"
"1215","卜蜂企業","98","2010/07/13","","","","","","",0.00000000,1.00000000,0.0,"2010/07/07","",3367000,"","","",0,"2010/06/22","18:47:39","新台幣                 10.0000元"
"1216","統一","98","2010/08/18",1.0000000000,0.0,"2010/08/12",0.0,0.0,"0.00",0.00000000,0.80000000,0.0,"2010/08/12","",650964871,0,0.000000000,0.00,141494913,"2010/07/28","15:29:00","新台幣                 10.0000元"
"1218","泰山企業","98","2010/08/18",0.4000000000,0.0,"2010/08/12",0.0,0.0,"0.00",0.00000000,0.20000000,0.0,"2010/08/12","",4120638,0,0.000000000,0.00,10301596,"2010/07/27","16:27:47","新台幣                 10.0000元"
"1219","福壽實業","98","2010/07/10","","","","","","",0.00000000,0.32000000,0.0,"2010/07/02","",2237715,"","","",11188577,"2010/06/17","17:23:16","新台幣                 10.0000元"
"1219","福壽實業","98","2010/08/10",0.3500000000,0.0,"2010/08/04",0.0,0.0,"0.00",0.00000000,"","","","",2237715,0,0.000000000,0.00,11188577,"2010/07/16","17:10:41","新台幣                 10.0000元"
"12190","特別股0","98","2010/08/10",0.0000000000,0.0000000000,"2010/08/04","","","","","","","","","","","","","","2010/07/16","17:10:41","新台幣                 10.0000元"
"1225","福懋油","98","2010/09/13",0.3365337440,0.0,"2010/09/07",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","",3163611,0,0.000000000,0.00,3163611,"2010/08/20","10:59:26","新台幣                 10.0000元"
"1227","佳格","98","2010/08/08",1.5000000000,0.0,"2010/08/02",0.0,0.0,"0.00",0.00000000,2.00000000,0.0,"2010/08/02","",16256635,0,0.000000000,0.00,11611879,"2010/07/07","19:26:37","新台幣                 10.0000元"
"1229","聯華實業","98","2010/07/05","","","","","","",0.00000000,0.80000000,0.0,"2010/06/29","",23456354,"","","",8000000,"2010/06/09","17:21:49","新台幣                 10.0000元"
